,group,variable,month,INGRESOS ESPONTÁNEOS CANTIDAD,INGRESOS ESPONTÁNEOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,internaciones,ingresos espontaneos,2021-01-01,0,3,0,3,3
ACHACACHI,internaciones,ingresos espontaneos,2021-01-01,10,59,10,59,69
ACHOCALLA,internaciones,ingresos espontaneos,2021-01-01,0,5,0,5,5
AIQUILE,internaciones,ingresos espontaneos,2021-01-01,6,41,6,41,47
ALALAY,internaciones,ingresos espontaneos,2021-01-01,2,0,2,0,2
ALCALA,internaciones,ingresos espontaneos,2021-01-01,0,1,0,1,1
ALTO BENI,internaciones,ingresos espontaneos,2021-01-01,0,7,0,7,7
ANDAMARCA,internaciones,ingresos espontaneos,2021-01-01,0,1,0,1,1
ANZALDO,internaciones,ingresos espontaneos,2021-01-01,7,1,7,1,8
APOLO,internaciones,ingresos espontaneos,2021-01-01,3,12,3,12,15
ARANI,internaciones,ingresos espontaneos,2021-01-01,0,4,0,4,4
ARBIETO,internaciones,ingresos espontaneos,2021-01-01,0,9,0,9,9
ARQUE,internaciones,ingresos espontaneos,2021-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,ingresos espontaneos,2021-01-01,69,133,69,133,202
ATOCHA,internaciones,ingresos espontaneos,2021-01-01,11,10,11,10,21
AUCAPATA,internaciones,ingresos espontaneos,2021-01-01,0,4,0,4,4
AYATA,internaciones,ingresos espontaneos,2021-01-01,1,2,1,2,3
AYO AYO,internaciones,ingresos espontaneos,2021-01-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos espontaneos,2021-01-01,8,27,8,27,35
AZURDUY,internaciones,ingresos espontaneos,2021-01-01,6,33,6,33,39
BATALLAS,internaciones,ingresos espontaneos,2021-01-01,0,9,0,9,9
BAURES,internaciones,ingresos espontaneos,2021-01-01,25,14,25,14,39
BELLA FLOR,internaciones,ingresos espontaneos,2021-01-01,1,0,1,0,1
BERMEJO,internaciones,ingresos espontaneos,2021-01-01,70,100,70,100,170
BETANZOS,internaciones,ingresos espontaneos,2021-01-01,1,22,1,22,23
BOLIVAR,internaciones,ingresos espontaneos,2021-01-01,0,2,0,2,2
BOYUIBE,internaciones,ingresos espontaneos,2021-01-01,2,12,2,12,14
BUENA VISTA,internaciones,ingresos espontaneos,2021-01-01,11,20,11,20,31
CAIROMA,internaciones,ingresos espontaneos,2021-01-01,0,5,0,5,5
"CAIZA ""D""",internaciones,ingresos espontaneos,2021-01-01,0,7,0,7,7
CAJUATA,internaciones,ingresos espontaneos,2021-01-01,0,20,0,20,20
CALACOTO,internaciones,ingresos espontaneos,2021-01-01,0,1,0,1,1
CALAMARCA,internaciones,ingresos espontaneos,2021-01-01,0,4,0,4,4
CAMARGO,internaciones,ingresos espontaneos,2021-01-01,24,27,24,27,51
CAMIRI,internaciones,ingresos espontaneos,2021-01-01,67,91,67,91,158
CAPINOTA,internaciones,ingresos espontaneos,2021-01-01,4,23,4,23,27
CAQUIAVIRI,internaciones,ingresos espontaneos,2021-01-01,1,4,1,4,5
CARACOLLO,internaciones,ingresos espontaneos,2021-01-01,0,17,0,17,17
CARANAVI,internaciones,ingresos espontaneos,2021-01-01,18,80,18,80,98
CARAPARI,internaciones,ingresos espontaneos,2021-01-01,0,0,0,0,0
CARMEN RIVERO TORREZ,internaciones,ingresos espontaneos,2021-01-01,11,16,11,16,27
CHALLAPATA,internaciones,ingresos espontaneos,2021-01-01,40,72,40,72,112
CHAQUI,internaciones,ingresos espontaneos,2021-01-01,1,3,1,3,4
CHARAGUA,internaciones,ingresos espontaneos,2021-01-01,18,41,18,41,59
CHAYANTA,internaciones,ingresos espontaneos,2021-01-01,0,4,0,4,4
CHIMORE,internaciones,ingresos espontaneos,2021-01-01,3,37,3,37,40
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos espontaneos,2021-01-01,19,26,19,26,45
CHUMA,internaciones,ingresos espontaneos,2021-01-01,3,2,3,2,5
CKOCHAS,internaciones,ingresos espontaneos,2021-01-01,0,8,0,8,8
CLIZA,internaciones,ingresos espontaneos,2021-01-01,0,29,0,29,29
