,group,variable,month,FALLECIDOS ANTES DE LAS 48 HRS. CANTIDAD,FALLECIDOS ANTES DE LAS 48 HRS. CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,0,0,0,0,0
AIQUILE,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,0,0,0,0,0
ATOCHA,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,1,10,1,10,11
AYOPAYA (V. DE INDEPENDENCIA),internaciones,fallecidos antes de las 48 hrs.,2021-01-01,0,1,0,1,1
BAURES,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,4,4,4,4,8
BERMEJO,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,1,2,1,2,3
CAMIRI,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,2,1,2,1,3
CARAPARI,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,0,0,0,0,0
CARMEN RIVERO TORREZ,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,2,0,2,0,2
CHALLAPATA,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,1,1,1,1,2
CHARAGUA,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos antes de las 48 hrs.,2021-01-01,1,0,1,0,1
COBIJA,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,5,3,5,3,8
COCHABAMBA,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,60,53,60,53,113
COROICO,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,1,0,1,0,1
CUEVO,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,1,0,1,0,1
EL ALTO,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,45,12,45,12,57
EL TORNO,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,1,0,1,0,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,3,3,3,3,6
HUACARETA,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,1,1,1,1,2
HUANUNI,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,0,1,0,1,1
HUARACAJE,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,2,0,2,0,2
IRUPANA (VILLA DE LANZA),internaciones,fallecidos antes de las 48 hrs.,2021-01-01,1,2,1,2,3
LA GUARDIA,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,1,0,1,0,1
LA PAZ,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,77,53,77,53,130
LLALLAGUA,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,1,0,1,0,1
MAIRANA,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,1,0,1,0,1
MIZQUE,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,0,0,0,0,0
MONTEAGUDO,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,3,2,3,2,5
MONTERO,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,13,10,13,10,23
ORURO,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,19,14,19,14,33
PORTACHUELO,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,0,1,0,1,1
POTOSI,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,18,16,18,16,34
PUCARANI,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,1,0,1,0,1
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,1,0,1,0,1
PUNATA,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,2,0,2,0,2
QUILLACOLLO,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,7,1,7,1,8
REYES,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,3,3,3,3,6
SACABA,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,0,1,0,1,1
SAN BORJA,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,0,1,0,1,1
SAN BUENA VENTURA,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,0,2,0,2,2
