,group,variable,month,CONTRAREFERIDOS CANTIDAD,CONTRAREFERIDOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,contrareferidos,2021-01-01,0,3,0,3,3
AIQUILE,internaciones,contrareferidos,2021-01-01,1,7,1,7,8
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2021-01-01,1,7,1,7,8
BERMEJO,internaciones,contrareferidos,2021-01-01,29,84,29,84,113
BUENA VISTA,internaciones,contrareferidos,2021-01-01,2,2,2,2,4
CAMARGO,internaciones,contrareferidos,2021-01-01,10,17,10,17,27
CARANAVI,internaciones,contrareferidos,2021-01-01,9,37,9,37,46
CARAPARI,internaciones,contrareferidos,2021-01-01,0,0,0,0,0
CHARAGUA,internaciones,contrareferidos,2021-01-01,1,0,1,0,1
CHIMORE,internaciones,contrareferidos,2021-01-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,contrareferidos,2021-01-01,0,1,0,1,1
CLIZA,internaciones,contrareferidos,2021-01-01,0,4,0,4,4
COBIJA,internaciones,contrareferidos,2021-01-01,65,100,65,100,165
COCHABAMBA,internaciones,contrareferidos,2021-01-01,124,654,124,654,778
COLCAPIRHUA,internaciones,contrareferidos,2021-01-01,1,5,1,5,6
COROICO,internaciones,contrareferidos,2021-01-01,10,16,10,16,26
EL ALTO,internaciones,contrareferidos,2021-01-01,65,129,65,129,194
EL TORNO,internaciones,contrareferidos,2021-01-01,2,2,2,2,4
GUAYARAMERIN,internaciones,contrareferidos,2021-01-01,18,110,18,110,128
LA PAZ,internaciones,contrareferidos,2021-01-01,77,459,77,459,536
MIZQUE,internaciones,contrareferidos,2021-01-01,0,6,0,6,6
MONTEAGUDO,internaciones,contrareferidos,2021-01-01,9,19,9,19,28
MONTERO,internaciones,contrareferidos,2021-01-01,110,523,110,523,633
ORURO,internaciones,contrareferidos,2021-01-01,1,137,1,137,138
PADILLA,internaciones,contrareferidos,2021-01-01,3,14,3,14,17
POTOSI,internaciones,contrareferidos,2021-01-01,53,265,53,265,318
PUERTO VILLARROEL,internaciones,contrareferidos,2021-01-01,29,121,29,121,150
PUNATA,internaciones,contrareferidos,2021-01-01,89,197,89,197,286
QUILLACOLLO,internaciones,contrareferidos,2021-01-01,1,0,1,0,1
RIBERALTA,internaciones,contrareferidos,2021-01-01,93,333,93,333,426
SACABA,internaciones,contrareferidos,2021-01-01,13,56,13,56,69
SAN BUENA VENTURA,internaciones,contrareferidos,2021-01-01,1,0,1,0,1
SAN IGNACIO,internaciones,contrareferidos,2021-01-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2021-01-01,5,14,5,14,19
SAN JOSE DE CHIQUITOS,internaciones,contrareferidos,2021-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2021-01-01,148,1295,148,1295,1443
SUCRE,internaciones,contrareferidos,2021-01-01,235,598,235,598,833
TARABUCO,internaciones,contrareferidos,2021-01-01,6,7,6,7,13
TARIJA,internaciones,contrareferidos,2021-01-01,7,17,7,17,24
TARVITA,internaciones,contrareferidos,2021-01-01,0,1,0,1,1
TIQUIPAYA,internaciones,contrareferidos,2021-01-01,0,0,0,0,0
TRINIDAD,internaciones,contrareferidos,2021-01-01,7,6,7,6,13
TUPIZA,internaciones,contrareferidos,2021-01-01,22,54,22,54,76
VALLEGRANDE,internaciones,contrareferidos,2021-01-01,8,11,8,11,19
VIACHA,internaciones,contrareferidos,2021-01-01,0,1,0,1,1
VILLA MONTES,internaciones,contrareferidos,2021-01-01,7,21,7,21,28
VILLA TUNARI,internaciones,contrareferidos,2021-01-01,16,78,16,78,94
VILLAZON,internaciones,contrareferidos,2021-01-01,3,6,3,6,9
VINTO,internaciones,contrareferidos,2021-01-01,0,0,0,0,0
WARNES,internaciones,contrareferidos,2021-01-01,5,76,5,76,81
YACUIBA,internaciones,contrareferidos,2021-01-01,83,173,83,173,256
YAPACANI,internaciones,contrareferidos,2021-01-01,0,1,0,1,1
ACHACACHI,internaciones,contrareferidos,2021-02-01,2,1,2,1,3
