,group,variable,month,EGRESOS CANTIDAD,EGRESOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,internaciones,egresos,2021-01-01,0,3,0,3,3
ACHACACHI,internaciones,egresos,2021-01-01,12,76,12,76,88
ACHOCALLA,internaciones,egresos,2021-01-01,0,5,0,5,5
AIQUILE,internaciones,egresos,2021-01-01,7,44,7,44,51
ALALAY,internaciones,egresos,2021-01-01,2,0,2,0,2
ALCALA,internaciones,egresos,2021-01-01,0,1,0,1,1
ALTO BENI,internaciones,egresos,2021-01-01,0,7,0,7,7
ANDAMARCA,internaciones,egresos,2021-01-01,0,1,0,1,1
ANZALDO,internaciones,egresos,2021-01-01,7,1,7,1,8
APOLO,internaciones,egresos,2021-01-01,3,12,3,12,15
ARANI,internaciones,egresos,2021-01-01,0,4,0,4,4
ARBIETO,internaciones,egresos,2021-01-01,0,9,0,9,9
ARQUE,internaciones,egresos,2021-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,egresos,2021-01-01,72,142,72,142,214
ATOCHA,internaciones,egresos,2021-01-01,32,54,32,54,86
AUCAPATA,internaciones,egresos,2021-01-01,0,4,0,4,4
AYATA,internaciones,egresos,2021-01-01,1,2,1,2,3
AYO AYO,internaciones,egresos,2021-01-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones,egresos,2021-01-01,9,31,9,31,40
AZURDUY,internaciones,egresos,2021-01-01,7,36,7,36,43
BATALLAS,internaciones,egresos,2021-01-01,0,9,0,9,9
BAURES,internaciones,egresos,2021-01-01,23,14,23,14,37
BELLA FLOR,internaciones,egresos,2021-01-01,1,0,1,0,1
BERMEJO,internaciones,egresos,2021-01-01,87,155,87,155,242
BETANZOS,internaciones,egresos,2021-01-01,1,22,1,22,23
BOLIVAR,internaciones,egresos,2021-01-01,0,3,0,3,3
BOYUIBE,internaciones,egresos,2021-01-01,2,12,2,12,14
BUENA VISTA,internaciones,egresos,2021-01-01,9,18,9,18,27
CAIROMA,internaciones,egresos,2021-01-01,0,5,0,5,5
"CAIZA ""D""",internaciones,egresos,2021-01-01,0,7,0,7,7
CAJUATA,internaciones,egresos,2021-01-01,0,20,0,20,20
CALACOTO,internaciones,egresos,2021-01-01,0,1,0,1,1
CALAMARCA,internaciones,egresos,2021-01-01,0,4,0,4,4
CAMARGO,internaciones,egresos,2021-01-01,27,42,27,42,69
CAMIRI,internaciones,egresos,2021-01-01,73,136,73,136,209
CAPINOTA,internaciones,egresos,2021-01-01,5,22,5,22,27
CAQUIAVIRI,internaciones,egresos,2021-01-01,1,4,1,4,5
CARACOLLO,internaciones,egresos,2021-01-01,0,16,0,16,16
CARANAVI,internaciones,egresos,2021-01-01,26,114,26,114,140
CARAPARI,internaciones,egresos,2021-01-01,0,0,0,0,0
CARMEN RIVERO TORREZ,internaciones,egresos,2021-01-01,8,16,8,16,24
CHALLAPATA,internaciones,egresos,2021-01-01,39,76,39,76,115
CHAQUI,internaciones,egresos,2021-01-01,1,3,1,3,4
CHARAGUA,internaciones,egresos,2021-01-01,25,50,25,50,75
CHAYANTA,internaciones,egresos,2021-01-01,0,4,0,4,4
CHIMORE,internaciones,egresos,2021-01-01,3,39,3,39,42
CHULUMANI (V. DE LA LIBERTAD),internaciones,egresos,2021-01-01,19,31,19,31,50
CHUMA,internaciones,egresos,2021-01-01,3,2,3,2,5
CKOCHAS,internaciones,egresos,2021-01-01,0,8,0,8,8
CLIZA,internaciones,egresos,2021-01-01,0,46,0,46,46
COBIJA,internaciones,egresos,2021-01-01,215,317,215,317,532
COCAPATA,internaciones,egresos,2021-01-01,0,8,0,8,8
COCHABAMBA,internaciones,egresos,2021-01-01,2422,3958,2422,3958,6380
COLCAPIRHUA,internaciones,egresos,2021-01-01,44,98,44,98,142
COLLANA,internaciones,egresos,2021-01-01,0,1,0,1,1
COLOMI,internaciones,egresos,2021-01-01,0,21,0,21,21
COLPA BELGICA,internaciones,egresos,2021-01-01,4,11,4,11,15
COLQUECHACA,internaciones,egresos,2021-01-01,1,15,1,15,16
COLQUENCHA,internaciones,egresos,2021-01-01,0,6,0,6,6
