municipality,group,variable,month,Viviendas Positivas,TOTAL
AIQUILE,chagas viviendas,viviendas positivas,2011-01-01,27,27
ARANI,chagas viviendas,viviendas positivas,2011-01-01,3,3
ARBIETO,chagas viviendas,viviendas positivas,2011-01-01,15,15
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas positivas,2011-01-01,5,5
CLIZA,chagas viviendas,viviendas positivas,2011-01-01,1,1
COTAGAITA,chagas viviendas,viviendas positivas,2011-01-01,3,3
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas positivas,2011-01-01,1,1
GUTIERREZ,chagas viviendas,viviendas positivas,2011-01-01,5,5
OMEREQUE,chagas viviendas,viviendas positivas,2011-01-01,4,4
POJO (CBBA),chagas viviendas,viviendas positivas,2011-01-01,2,2
SACABA,chagas viviendas,viviendas positivas,2011-01-01,7,7
SAIPINA,chagas viviendas,viviendas positivas,2011-01-01,16,16
SAN BENITO,chagas viviendas,viviendas positivas,2011-01-01,4,4
SAN JULIAN,chagas viviendas,viviendas positivas,2011-01-01,6,6
SANTA CRUZ DE LA SIERRA,chagas viviendas,viviendas positivas,2011-01-01,0,0
SICAYA,chagas viviendas,viviendas positivas,2011-01-01,3,3
SIPE SIPE,chagas viviendas,viviendas positivas,2011-01-01,26,26
TARATA,chagas viviendas,viviendas positivas,2011-01-01,1,1
TIQUIPAYA,chagas viviendas,viviendas positivas,2011-01-01,2,2
TOMAVE,chagas viviendas,viviendas positivas,2011-01-01,2,2
TORO TORO,chagas viviendas,viviendas positivas,2011-01-01,2,2
TOTORA(CBBA),chagas viviendas,viviendas positivas,2011-01-01,4,4
TRINIDAD,chagas viviendas,viviendas positivas,2011-01-01,20,20
VALLEGRANDE,chagas viviendas,viviendas positivas,2011-01-01,2,2
VILLA MONTES,chagas viviendas,viviendas positivas,2011-01-01,3,3
VINTO,chagas viviendas,viviendas positivas,2011-01-01,1,1
ACACIO,chagas viviendas,viviendas positivas,2011-02-01,5,5
AIQUILE,chagas viviendas,viviendas positivas,2011-02-01,22,22
ARAMPAMPA,chagas viviendas,viviendas positivas,2011-02-01,1,1
ARANI,chagas viviendas,viviendas positivas,2011-02-01,1,1
ARBIETO,chagas viviendas,viviendas positivas,2011-02-01,14,14
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas positivas,2011-02-01,2,2
CAPINOTA,chagas viviendas,viviendas positivas,2011-02-01,2,2
COCHABAMBA,chagas viviendas,viviendas positivas,2011-02-01,1,1
COTAGAITA,chagas viviendas,viviendas positivas,2011-02-01,13,13
EL PUENTE(TJA),chagas viviendas,viviendas positivas,2011-02-01,3,3
GUTIERREZ,chagas viviendas,viviendas positivas,2011-02-01,3,3
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas positivas,2011-02-01,50,50
ICLA,chagas viviendas,viviendas positivas,2011-02-01,15,15
LAGUNILLAS,chagas viviendas,viviendas positivas,2011-02-01,17,17
PAMPA GRANDE,chagas viviendas,viviendas positivas,2011-02-01,3,3
PASORAPA,chagas viviendas,viviendas positivas,2011-02-01,4,4
POJO (CBBA),chagas viviendas,viviendas positivas,2011-02-01,5,5
PUCARA,chagas viviendas,viviendas positivas,2011-02-01,2,2
QUIRUSILLAS,chagas viviendas,viviendas positivas,2011-02-01,1,1
ROBORE,chagas viviendas,viviendas positivas,2011-02-01,3,3
SACABA,chagas viviendas,viviendas positivas,2011-02-01,2,2
SAMAIPATA,chagas viviendas,viviendas positivas,2011-02-01,1,1
SAN BENITO,chagas viviendas,viviendas positivas,2011-02-01,6,6
SAN RAMON BENI,chagas viviendas,viviendas positivas,2011-02-01,9,9
SANTA CRUZ DE LA SIERRA,chagas viviendas,viviendas positivas,2011-02-01,0,0
SAPAHAQUI,chagas viviendas,viviendas positivas,2011-02-01,1,1
SICAYA,chagas viviendas,viviendas positivas,2011-02-01,3,3
SIPE SIPE,chagas viviendas,viviendas positivas,2011-02-01,3,3
TACOPAYA,chagas viviendas,viviendas positivas,2011-02-01,2,2
TAPACARI,chagas viviendas,viviendas positivas,2011-02-01,3,3
TOCO,chagas viviendas,viviendas positivas,2011-02-01,1,1
TOTORA(CBBA),chagas viviendas,viviendas positivas,2011-02-01,2,2
URIONDO (A. CONCEPCION),chagas viviendas,viviendas positivas,2011-02-01,3,3
VILLA RIVERO,chagas viviendas,viviendas positivas,2011-02-01,1,1
VINTO,chagas viviendas,viviendas positivas,2011-02-01,2,2
VITICHI,chagas viviendas,viviendas positivas,2011-02-01,7,7
YOTALA,chagas viviendas,viviendas positivas,2011-02-01,17,17
ACACIO,chagas viviendas,viviendas positivas,2011-03-01,3,3
AIQUILE,chagas viviendas,viviendas positivas,2011-03-01,12,12
ARAMPAMPA,chagas viviendas,viviendas positivas,2011-03-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas positivas,2011-03-01,20,20
AZURDUY,chagas viviendas,viviendas positivas,2011-03-01,2,2
CAPINOTA,chagas viviendas,viviendas positivas,2011-03-01,4,4
