municipality,group,variable,month,Viviendas Roceadas,TOTAL
ANZALDO,chagas viviendas,viviendas roceadas,2011-01-01,10,10
ARANI,chagas viviendas,viviendas roceadas,2011-01-01,3,3
ARBIETO,chagas viviendas,viviendas roceadas,2011-01-01,15,15
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas roceadas,2011-01-01,5,5
CLIZA,chagas viviendas,viviendas roceadas,2011-01-01,1,1
COTAGAITA,chagas viviendas,viviendas roceadas,2011-01-01,3,3
ICLA,chagas viviendas,viviendas roceadas,2011-01-01,7,7
OMEREQUE,chagas viviendas,viviendas roceadas,2011-01-01,5,5
POJO (CBBA),chagas viviendas,viviendas roceadas,2011-01-01,4,4
PORONGO,chagas viviendas,viviendas roceadas,2011-01-01,30,30
QUIRUSILLAS,chagas viviendas,viviendas roceadas,2011-01-01,25,25
SAIPINA,chagas viviendas,viviendas roceadas,2011-01-01,12,12
SAN BENITO,chagas viviendas,viviendas roceadas,2011-01-01,10,10
SAN JULIAN,chagas viviendas,viviendas roceadas,2011-01-01,43,43
SAN LORENZO(TJA),chagas viviendas,viviendas roceadas,2011-01-01,21,21
SANTA CRUZ DE LA SIERRA,chagas viviendas,viviendas roceadas,2011-01-01,10,10
SICAYA,chagas viviendas,viviendas roceadas,2011-01-01,8,8
SIPE SIPE,chagas viviendas,viviendas roceadas,2011-01-01,29,29
SOPACHUY,chagas viviendas,viviendas roceadas,2011-01-01,8,8
TARATA,chagas viviendas,viviendas roceadas,2011-01-01,4,4
TARIJA,chagas viviendas,viviendas roceadas,2011-01-01,52,52
TIQUIPAYA,chagas viviendas,viviendas roceadas,2011-01-01,8,8
TOMAVE,chagas viviendas,viviendas roceadas,2011-01-01,4,4
TORO TORO,chagas viviendas,viviendas roceadas,2011-01-01,8,8
TOTORA(CBBA),chagas viviendas,viviendas roceadas,2011-01-01,3,3
TRINIDAD,chagas viviendas,viviendas roceadas,2011-01-01,4,4
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2011-01-01,23,23
VALLEGRANDE,chagas viviendas,viviendas roceadas,2011-01-01,67,67
VINTO,chagas viviendas,viviendas roceadas,2011-01-01,3,3
ACACIO,chagas viviendas,viviendas roceadas,2011-02-01,9,9
ANZALDO,chagas viviendas,viviendas roceadas,2011-02-01,38,38
ARANI,chagas viviendas,viviendas roceadas,2011-02-01,6,6
ARBIETO,chagas viviendas,viviendas roceadas,2011-02-01,14,14
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas roceadas,2011-02-01,2,2
CHARAGUA,chagas viviendas,viviendas roceadas,2011-02-01,6,6
COCHABAMBA,chagas viviendas,viviendas roceadas,2011-02-01,1,1
COTAGAITA,chagas viviendas,viviendas roceadas,2011-02-01,13,13
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2011-02-01,21,21
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas roceadas,2011-02-01,92,92
ICLA,chagas viviendas,viviendas roceadas,2011-02-01,68,68
PADCAYA,chagas viviendas,viviendas roceadas,2011-02-01,4,4
POJO (CBBA),chagas viviendas,viviendas roceadas,2011-02-01,8,8
PUCARA,chagas viviendas,viviendas roceadas,2011-02-01,12,12
SACABAMBA,chagas viviendas,viviendas roceadas,2011-02-01,1,1
SAN BENITO,chagas viviendas,viviendas roceadas,2011-02-01,13,13
SANTA CRUZ DE LA SIERRA,chagas viviendas,viviendas roceadas,2011-02-01,136,136
SAPAHAQUI,chagas viviendas,viviendas roceadas,2011-02-01,1,1
SICAYA,chagas viviendas,viviendas roceadas,2011-02-01,18,18
SIPE SIPE,chagas viviendas,viviendas roceadas,2011-02-01,13,13
TACOPAYA,chagas viviendas,viviendas roceadas,2011-02-01,3,3
TAPACARI,chagas viviendas,viviendas roceadas,2011-02-01,3,3
TARIJA,chagas viviendas,viviendas roceadas,2011-02-01,29,29
TOCO,chagas viviendas,viviendas roceadas,2011-02-01,1,1
TOTORA(CBBA),chagas viviendas,viviendas roceadas,2011-02-01,6,6
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2011-02-01,10,10
VILLA RIVERO,chagas viviendas,viviendas roceadas,2011-02-01,1,1
VINTO,chagas viviendas,viviendas roceadas,2011-02-01,6,6
YAPACANI,chagas viviendas,viviendas roceadas,2011-02-01,55,55
ZUDAÑEZ,chagas viviendas,viviendas roceadas,2011-02-01,1,1
ACACIO,chagas viviendas,viviendas roceadas,2011-03-01,8,8
AIQUILE,chagas viviendas,viviendas roceadas,2011-03-01,55,55
ARANI,chagas viviendas,viviendas roceadas,2011-03-01,6,6
ARBIETO,chagas viviendas,viviendas roceadas,2011-03-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas roceadas,2011-03-01,19,19
BOYUIBE,chagas viviendas,viviendas roceadas,2011-03-01,1,1
CHARAGUA,chagas viviendas,viviendas roceadas,2011-03-01,4,4
COTAGAITA,chagas viviendas,viviendas roceadas,2011-03-01,2,2
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2011-03-01,4,4
MONTERO,chagas viviendas,viviendas roceadas,2011-03-01,155,155
OMEREQUE,chagas viviendas,viviendas roceadas,2011-03-01,3,3
PADCAYA,chagas viviendas,viviendas roceadas,2011-03-01,3,3
PAMPA GRANDE,chagas viviendas,viviendas roceadas,2011-03-01,34,34
POCONA,chagas viviendas,viviendas roceadas,2011-03-01,8,8
POJO (CBBA),chagas viviendas,viviendas roceadas,2011-03-01,2,2
POSTRER VALLE,chagas viviendas,viviendas roceadas,2011-03-01,30,30
PRESTO,chagas viviendas,viviendas roceadas,2011-03-01,37,37
SAIPINA,chagas viviendas,viviendas roceadas,2011-03-01,240,240
SAN BENITO,chagas viviendas,viviendas roceadas,2011-03-01,6,6
SANTA CRUZ DE LA SIERRA,chagas viviendas,viviendas roceadas,2011-03-01,119,119
SICAYA,chagas viviendas,viviendas roceadas,2011-03-01,15,15
SIPE SIPE,chagas viviendas,viviendas roceadas,2011-03-01,27,27
TAPACARI,chagas viviendas,viviendas roceadas,2011-03-01,4,4
TARATA,chagas viviendas,viviendas roceadas,2011-03-01,1,1
TARIJA,chagas viviendas,viviendas roceadas,2011-03-01,18,18
TOLATA,chagas viviendas,viviendas roceadas,2011-03-01,2,2
TOTORA(CBBA),chagas viviendas,viviendas roceadas,2011-03-01,5,5
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2011-03-01,11,11
VALLEGRANDE,chagas viviendas,viviendas roceadas,2011-03-01,105,105
VILLA RIVERO,chagas viviendas,viviendas roceadas,2011-03-01,3,3
VINTO,chagas viviendas,viviendas roceadas,2011-03-01,4,4
ZUDAÑEZ,chagas viviendas,viviendas roceadas,2011-03-01,2,2
ACACIO,chagas viviendas,viviendas roceadas,2011-04-01,4,4
AIQUILE,chagas viviendas,viviendas roceadas,2011-04-01,40,40
ANZALDO,chagas viviendas,viviendas roceadas,2011-04-01,22,22
