municipality,group,variable,month,Viviendas Evaluadas,TOTAL
AIQUILE,chagas viviendas,viviendas evaluadas,2011-01-01,280,280
ARANI,chagas viviendas,viviendas evaluadas,2011-01-01,233,233
ARBIETO,chagas viviendas,viviendas evaluadas,2011-01-01,300,300
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas evaluadas,2011-01-01,80,80
CAJUATA,chagas viviendas,viviendas evaluadas,2011-01-01,1,1
CLIZA,chagas viviendas,viviendas evaluadas,2011-01-01,415,415
COCHABAMBA,chagas viviendas,viviendas evaluadas,2011-01-01,2,2
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2011-01-01,221,221
COTAGAITA,chagas viviendas,viviendas evaluadas,2011-01-01,1076,1076
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2011-01-01,91,91
GUTIERREZ,chagas viviendas,viviendas evaluadas,2011-01-01,279,279
LAGUNILLAS,chagas viviendas,viviendas evaluadas,2011-01-01,12,12
MONTEAGUDO,chagas viviendas,viviendas evaluadas,2011-01-01,73,73
OMEREQUE,chagas viviendas,viviendas evaluadas,2011-01-01,31,31
POCONA,chagas viviendas,viviendas evaluadas,2011-01-01,213,213
POJO (CBBA),chagas viviendas,viviendas evaluadas,2011-01-01,300,300
PORONGO,chagas viviendas,viviendas evaluadas,2011-01-01,30,30
POSTRER VALLE,chagas viviendas,viviendas evaluadas,2011-01-01,55,55
PUCARA,chagas viviendas,viviendas evaluadas,2011-01-01,20,20
QUIRUSILLAS,chagas viviendas,viviendas evaluadas,2011-01-01,14,14
SACABA,chagas viviendas,viviendas evaluadas,2011-01-01,252,252
SACABAMBA,chagas viviendas,viviendas evaluadas,2011-01-01,280,280
SAIPINA,chagas viviendas,viviendas evaluadas,2011-01-01,143,143
SAN BENITO,chagas viviendas,viviendas evaluadas,2011-01-01,274,274
SAN JULIAN,chagas viviendas,viviendas evaluadas,2011-01-01,17,17
SAN LORENZO(TJA),chagas viviendas,viviendas evaluadas,2011-01-01,7,7
SANTA CRUZ DE LA SIERRA,chagas viviendas,viviendas evaluadas,2011-01-01,110,110
SICAYA,chagas viviendas,viviendas evaluadas,2011-01-01,121,121
SIPE SIPE,chagas viviendas,viviendas evaluadas,2011-01-01,250,250
TAPACARI,chagas viviendas,viviendas evaluadas,2011-01-01,235,235
TARATA,chagas viviendas,viviendas evaluadas,2011-01-01,317,317
TARIJA,chagas viviendas,viviendas evaluadas,2011-01-01,217,217
TIQUIPAYA,chagas viviendas,viviendas evaluadas,2011-01-01,316,316
TOCO,chagas viviendas,viviendas evaluadas,2011-01-01,160,160
TOMAVE,chagas viviendas,viviendas evaluadas,2011-01-01,134,134
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2011-01-01,411,411
TRINIDAD,chagas viviendas,viviendas evaluadas,2011-01-01,24,24
URIONDO (A. CONCEPCION),chagas viviendas,viviendas evaluadas,2011-01-01,58,58
VALLEGRANDE,chagas viviendas,viviendas evaluadas,2011-01-01,67,67
VILLA MONTES,chagas viviendas,viviendas evaluadas,2011-01-01,177,177
VINTO,chagas viviendas,viviendas evaluadas,2011-01-01,227,227
ZUDAÑEZ,chagas viviendas,viviendas evaluadas,2011-01-01,102,102
ACACIO,chagas viviendas,viviendas evaluadas,2011-02-01,166,166
AIQUILE,chagas viviendas,viviendas evaluadas,2011-02-01,513,513
ANZALDO,chagas viviendas,viviendas evaluadas,2011-02-01,11,11
ARAMPAMPA,chagas viviendas,viviendas evaluadas,2011-02-01,267,267
ARANI,chagas viviendas,viviendas evaluadas,2011-02-01,155,155
ARBIETO,chagas viviendas,viviendas evaluadas,2011-02-01,308,308
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas evaluadas,2011-02-01,105,105
CAPINOTA,chagas viviendas,viviendas evaluadas,2011-02-01,14,14
CLIZA,chagas viviendas,viviendas evaluadas,2011-02-01,400,400
