municipality,group,variable,month,Mujeres con primer control post parto,TOTAL
ACACIO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,4,4
ACHACACHI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,54,54
ACHOCALLA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,7,7
AIQUILE,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,5,5
ALALAY,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,1,1
ALCALA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,5,5
ALTO BENI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,22,22
ANCORAIMES,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,14,14
ANDAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
ANTEQUERA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,3,3
ANZALDO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,3,3
APOLO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,27,27
ARAMPAMPA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
ARANI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,3,3
ARBIETO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,14,14
ARQUE,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,24,24
ASCENCION DE GUARAYOS,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,56,56
ATOCHA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,4,4
AUCAPATA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
AYATA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,16,16
AYO AYO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,15,15
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,16,16
AZURDUY,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,13,13
BATALLAS,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,17,17
BAURES,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
BELEN DE ANDAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
BERMEJO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,28,28
BETANZOS,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,29,29
BOLIVAR,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,13,13
BOYUIBE,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
BUENA VISTA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,4,4
CABEZAS,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,17,17
CAIROMA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,15,15
"CAIZA ""D""",atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,8,8
CAJUATA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,7,7
CALACOTO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,4,4
CALAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,11,11
CAMARGO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,22,22
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,3,3
CAMIRI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,10,10
CAPINOTA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,18,18
CAQUIAVIRI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,8,8
CARACOLLO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,25,25
