municipality,group,variable,month,Nacidos muertos,TOTAL
ACHACACHI,atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
BERMEJO,atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos,2012-01-01,3,3
CARANAVI,atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
CKOCHAS,atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos,2012-01-01,4,4
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2012-01-01,18,18
COLCAPIRHUA,atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
COLQUECHACA,atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
COROICO,atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
COTOCA,atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos,2012-01-01,17,17
INCAHUASI,atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2012-01-01,28,28
LLALLAGUA,atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
MAPIRI,atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
MONTEAGUDO,atencion de partos en servicios,nacidos muertos,2012-01-01,2,2
MONTERO,atencion de partos en servicios,nacidos muertos,2012-01-01,4,4
ORURO,atencion de partos en servicios,nacidos muertos,2012-01-01,9,9
PADILLA,atencion de partos en servicios,nacidos muertos,2012-01-01,2,2
PAMPA GRANDE,atencion de partos en servicios,nacidos muertos,2012-01-01,2,2
PATACAMAYA,atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
POCOATA,atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
POROMA,atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
PORTACHUELO,atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos,2012-01-01,8,8
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
PUNATA,atencion de partos en servicios,nacidos muertos,2012-01-01,3,3
RAVELO,atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
SACABA,atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos muertos,2012-01-01,3,3
SAN CARLOS,atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
SAN LORENZO(PND),atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
SAN MATIAS,atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
SAN RAMON SCZ,atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2012-01-01,25,25
SUCRE,atencion de partos en servicios,nacidos muertos,2012-01-01,2,2
TARIJA,atencion de partos en servicios,nacidos muertos,2012-01-01,3,3
UYUNI,atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos muertos,2012-01-01,2,2
VILLA TUNARI,atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
VILLAZON,atencion de partos en servicios,nacidos muertos,2012-01-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos,2012-01-01,3,3
AIQUILE,atencion de partos en servicios,nacidos muertos,2012-02-01,1,1
ARANI,atencion de partos en servicios,nacidos muertos,2012-02-01,1,1
CABEZAS,atencion de partos en servicios,nacidos muertos,2012-02-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos,2012-02-01,2,2
CHARAGUA,atencion de partos en servicios,nacidos muertos,2012-02-01,2,2
COBIJA,atencion de partos en servicios,nacidos muertos,2012-02-01,3,3
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2012-02-01,25,25
COTAGAITA,atencion de partos en servicios,nacidos muertos,2012-02-01,1,1
CULPINA,atencion de partos en servicios,nacidos muertos,2012-02-01,2,2
EL ALTO,atencion de partos en servicios,nacidos muertos,2012-02-01,9,9
EL TORNO,atencion de partos en servicios,nacidos muertos,2012-02-01,1,1
ENTRE RIOS CBBA,atencion de partos en servicios,nacidos muertos,2012-02-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos,2012-02-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2012-02-01,19,19
LLALLAGUA,atencion de partos en servicios,nacidos muertos,2012-02-01,2,2
MINEROS,atencion de partos en servicios,nacidos muertos,2012-02-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos,2012-02-01,3,3
ORURO,atencion de partos en servicios,nacidos muertos,2012-02-01,4,4
PADILLA,atencion de partos en servicios,nacidos muertos,2012-02-01,2,2
PALOS BLANCOS,atencion de partos en servicios,nacidos muertos,2012-02-01,2,2
POTOSI,atencion de partos en servicios,nacidos muertos,2012-02-01,2,2
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos,2012-02-01,2,2
PUNA,atencion de partos en servicios,nacidos muertos,2012-02-01,1,1
PUNATA,atencion de partos en servicios,nacidos muertos,2012-02-01,1,1
