municipality,group,variable,month,Cesáreas,TOTAL
ACHACACHI,atencion de partos en servicios,cesareas,2012-01-01,5,5
AIQUILE,atencion de partos en servicios,cesareas,2012-01-01,4,4
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2012-01-01,5,5
AZURDUY,atencion de partos en servicios,cesareas,2012-01-01,1,1
BAURES,atencion de partos en servicios,cesareas,2012-01-01,2,2
BERMEJO,atencion de partos en servicios,cesareas,2012-01-01,19,19
CAMARGO,atencion de partos en servicios,cesareas,2012-01-01,11,11
CAMIRI,atencion de partos en servicios,cesareas,2012-01-01,56,56
CARANAVI,atencion de partos en servicios,cesareas,2012-01-01,27,27
CHALLAPATA,atencion de partos en servicios,cesareas,2012-01-01,7,7
CHARAGUA,atencion de partos en servicios,cesareas,2012-01-01,6,6
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,cesareas,2012-01-01,1,1
CLIZA,atencion de partos en servicios,cesareas,2012-01-01,3,3
COBIJA,atencion de partos en servicios,cesareas,2012-01-01,65,65
COCHABAMBA,atencion de partos en servicios,cesareas,2012-01-01,811,811
COLCAPIRHUA,atencion de partos en servicios,cesareas,2012-01-01,8,8
COMARAPA,atencion de partos en servicios,cesareas,2012-01-01,10,10
CONCEPCION,atencion de partos en servicios,cesareas,2012-01-01,11,11
COROICO,atencion de partos en servicios,cesareas,2012-01-01,6,6
COTOCA,atencion de partos en servicios,cesareas,2012-01-01,4,4
CULPINA,atencion de partos en servicios,cesareas,2012-01-01,2,2
EL ALTO,atencion de partos en servicios,cesareas,2012-01-01,231,231
EL TORNO,atencion de partos en servicios,cesareas,2012-01-01,21,21
GUAYARAMERIN,atencion de partos en servicios,cesareas,2012-01-01,21,21
HUANUNI,atencion de partos en servicios,cesareas,2012-01-01,9,9
LA PAZ,atencion de partos en servicios,cesareas,2012-01-01,642,642
LLALLAGUA,atencion de partos en servicios,cesareas,2012-01-01,4,4
MAGDALENA,atencion de partos en servicios,cesareas,2012-01-01,7,7
MAIRANA,atencion de partos en servicios,cesareas,2012-01-01,14,14
MONTEAGUDO,atencion de partos en servicios,cesareas,2012-01-01,22,22
MONTERO,atencion de partos en servicios,cesareas,2012-01-01,86,86
OCURI,atencion de partos en servicios,cesareas,2012-01-01,3,3
ORURO,atencion de partos en servicios,cesareas,2012-01-01,251,251
PADILLA,atencion de partos en servicios,cesareas,2012-01-01,12,12
PATACAMAYA,atencion de partos en servicios,cesareas,2012-01-01,2,2
PORTACHUELO,atencion de partos en servicios,cesareas,2012-01-01,12,12
POTOSI,atencion de partos en servicios,cesareas,2012-01-01,91,91
PUERTO QUIJARRO,atencion de partos en servicios,cesareas,2012-01-01,4,4
PUERTO SUAREZ,atencion de partos en servicios,cesareas,2012-01-01,24,24
PUERTO VILLARROEL,atencion de partos en servicios,cesareas,2012-01-01,16,16
