municipality,group,variable,month,Partos atendidos por partera en servicio,TOTAL
PORONGO,atencion de partos en servicios,partos atendidos por partera en servicio,2021-02-01,1.0,1.0
LA PAZ,atencion de partos en servicios,partos atendidos por partera en servicio,2021-03-01,3.0,3.0
SAN ANDRES,atencion de partos en servicios,partos atendidos por partera en servicio,2021-03-01,5.0,5.0
CUATRO CAÑADAS,atencion de partos en servicios,partos atendidos por partera en servicio,2021-04-01,23.0,23.0
LA PAZ,atencion de partos en servicios,partos atendidos por partera en servicio,2021-04-01,11.0,11.0
PUERTO VILLARROEL,atencion de partos en servicios,partos atendidos por partera en servicio,2021-04-01,1.0,1.0
SAN MATIAS,atencion de partos en servicios,partos atendidos por partera en servicio,2021-04-01,4.0,4.0
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,partos atendidos por partera en servicio,2021-04-01,13.0,13.0
TRINIDAD,atencion de partos en servicios,partos atendidos por partera en servicio,2021-04-01,6.0,6.0
WARNES,atencion de partos en servicios,partos atendidos por partera en servicio,2021-04-01,3.0,3.0
SAN IGNACIO,atencion de partos en servicios,partos atendidos por partera en servicio,2021-06-01,1.0,1.0
SAN MATIAS,atencion de partos en servicios,partos atendidos por partera en servicio,2021-06-01,1.0,1.0
TAPACARI,atencion de partos en servicios,partos atendidos por partera en servicio,2021-06-01,1.0,1.0
PUNATA,atencion de partos en servicios,partos atendidos por partera en servicio,2021-08-01,10.0,10.0
COCHABAMBA,atencion de partos en servicios,partos atendidos por partera en servicio,2021-09-01,35.0,35.0
GUTIERREZ,atencion de partos en servicios,partos atendidos por partera en servicio,2021-09-01,2.0,2.0
MINEROS,atencion de partos en servicios,partos atendidos por partera en servicio,2021-09-01,1.0,1.0
MONTEAGUDO,atencion de partos en servicios,partos atendidos por partera en servicio,2021-09-01,3.0,3.0
SAN JAVIER(BNI),atencion de partos en servicios,partos atendidos por partera en servicio,2021-09-01,1.0,1.0
TRINIDAD,atencion de partos en servicios,partos atendidos por partera en servicio,2021-09-01,6.0,6.0
PUERTO VILLARROEL,atencion de partos en servicios,partos atendidos por partera en servicio,2021-10-01,4.0,4.0
EL ALTO,atencion de partos en servicios,partos atendidos por partera en servicio,2021-11-01,1.0,1.0
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,partos atendidos por partera en servicio,2021-11-01,51.0,51.0
TRINIDAD,atencion de partos en servicios,partos atendidos por partera en servicio,2021-11-01,1.0,1.0
SAN MATIAS,atencion de partos en servicios,partos atendidos por partera en servicio,2021-12-01,2.0,2.0
