municipality,group,variable,month,Primer Control Post Parto,TOTAL
ACACIO,atencion de partos en servicios,primer control post parto,2021-01-01,3,3
APOLO,atencion de partos en servicios,primer control post parto,2021-01-01,12,12
ARANI,atencion de partos en servicios,primer control post parto,2021-01-01,8,8
ARQUE,atencion de partos en servicios,primer control post parto,2021-01-01,3,3
ASCENCION DE GUARAYOS,atencion de partos en servicios,primer control post parto,2021-01-01,1,1
ATOCHA,atencion de partos en servicios,primer control post parto,2021-01-01,2,2
AUCAPATA,atencion de partos en servicios,primer control post parto,2021-01-01,4,4
AYATA,atencion de partos en servicios,primer control post parto,2021-01-01,2,2
AZURDUY,atencion de partos en servicios,primer control post parto,2021-01-01,11,11
BERMEJO,atencion de partos en servicios,primer control post parto,2021-01-01,4,4
BOYUIBE,atencion de partos en servicios,primer control post parto,2021-01-01,2,2
CABEZAS,atencion de partos en servicios,primer control post parto,2021-01-01,13,13
"CAIZA ""D""",atencion de partos en servicios,primer control post parto,2021-01-01,6,6
CAJUATA,atencion de partos en servicios,primer control post parto,2021-01-01,3,3
CARIPUYO,atencion de partos en servicios,primer control post parto,2021-01-01,1,1
CHALLAPATA,atencion de partos en servicios,primer control post parto,2021-01-01,2,2
CHAQUI,atencion de partos en servicios,primer control post parto,2021-01-01,3,3
CHARAGUA,atencion de partos en servicios,primer control post parto,2021-01-01,2,2
CHAYANTA,atencion de partos en servicios,primer control post parto,2021-01-01,2,2
CHUA COCANI,atencion de partos en servicios,primer control post parto,2021-01-01,3,3
CHUMA,atencion de partos en servicios,primer control post parto,2021-01-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,primer control post parto,2021-01-01,8,8
COCHABAMBA,atencion de partos en servicios,primer control post parto,2021-01-01,238,238
COLCAPIRHUA,atencion de partos en servicios,primer control post parto,2021-01-01,3,3
"COLCHA ""K""",atencion de partos en servicios,primer control post parto,2021-01-01,2,2
COLOMI,atencion de partos en servicios,primer control post parto,2021-01-01,3,3
COLPA BELGICA,atencion de partos en servicios,primer control post parto,2021-01-01,1,1
COLQUIRI,atencion de partos en servicios,primer control post parto,2021-01-01,1,1
CONCEPCION,atencion de partos en servicios,primer control post parto,2021-01-01,32,32
COROICO,atencion de partos en servicios,primer control post parto,2021-01-01,11,11
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en servicios,primer control post parto,2021-01-01,2,2
CULPINA,atencion de partos en servicios,primer control post parto,2021-01-01,13,13
DESAGUADERO,atencion de partos en servicios,primer control post parto,2021-01-01,2,2
EL ALTO,atencion de partos en servicios,primer control post parto,2021-01-01,65,65
EL CHORO,atencion de partos en servicios,primer control post parto,2021-01-01,2,2
EL PUENTE(TJA),atencion de partos en servicios,primer control post parto,2021-01-01,15,15
FERNANDEZ ALONSO,atencion de partos en servicios,primer control post parto,2021-01-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,primer control post parto,2021-01-01,3,3
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,primer control post parto,2021-01-01,2,2
HUACHACALLA,atencion de partos en servicios,primer control post parto,2021-01-01,1,1
HUANUNI,atencion de partos en servicios,primer control post parto,2021-01-01,12,12
ICLA,atencion de partos en servicios,primer control post parto,2021-01-01,5,5
INCAHUASI,atencion de partos en servicios,primer control post parto,2021-01-01,4,4
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,primer control post parto,2021-01-01,2,2
JESUS DE MACHACA,atencion de partos en servicios,primer control post parto,2021-01-01,3,3
LA ASUNTA,atencion de partos en servicios,primer control post parto,2021-01-01,58,58
LAGUNILLAS,atencion de partos en servicios,primer control post parto,2021-01-01,1,1
LAJA,atencion de partos en servicios,primer control post parto,2021-01-01,5,5
LAS CARRERAS,atencion de partos en servicios,primer control post parto,2021-01-01,1,1
LLALLAGUA,atencion de partos en servicios,primer control post parto,2021-01-01,5,5
LORETO,atencion de partos en servicios,primer control post parto,2021-01-01,1,1
MACHARETI,atencion de partos en servicios,primer control post parto,2021-01-01,6,6
MONTEAGUDO,atencion de partos en servicios,primer control post parto,2021-01-01,27,27
MONTERO,atencion de partos en servicios,primer control post parto,2021-01-01,1,1
MORO MORO,atencion de partos en servicios,primer control post parto,2021-01-01,3,3
OCURI,atencion de partos en servicios,primer control post parto,2021-01-01,5,5
ORURO,atencion de partos en servicios,primer control post parto,2021-01-01,39,39
PADCAYA,atencion de partos en servicios,primer control post parto,2021-01-01,1,1
PADILLA,atencion de partos en servicios,primer control post parto,2021-01-01,5,5
PELECHUCO,atencion de partos en servicios,primer control post parto,2021-01-01,1,1
POOPO,atencion de partos en servicios,primer control post parto,2021-01-01,2,2
PORCO,atencion de partos en servicios,primer control post parto,2021-01-01,9,9
POROMA,atencion de partos en servicios,primer control post parto,2021-01-01,10,10
PORTACHUELO,atencion de partos en servicios,primer control post parto,2021-01-01,10,10
POTOSI,atencion de partos en servicios,primer control post parto,2021-01-01,122,122
PRESTO,atencion de partos en servicios,primer control post parto,2021-01-01,3,3
PUNATA,atencion de partos en servicios,primer control post parto,2021-01-01,26,26
QUILLACOLLO,atencion de partos en servicios,primer control post parto,2021-01-01,10,10
SABAYA,atencion de partos en servicios,primer control post parto,2021-01-01,2,2
SACABA,atencion de partos en servicios,primer control post parto,2021-01-01,16,16
SACABAMBA,atencion de partos en servicios,primer control post parto,2021-01-01,1,1
SACACA,atencion de partos en servicios,primer control post parto,2021-01-01,4,4
SAN BENITO,atencion de partos en servicios,primer control post parto,2021-01-01,6,6
SAN BORJA,atencion de partos en servicios,primer control post parto,2021-01-01,2,2
SAN JAVIER(STC),atencion de partos en servicios,primer control post parto,2021-01-01,29,29
SAN JULIAN,atencion de partos en servicios,primer control post parto,2021-01-01,1,1
SAN LORENZO(PND),atencion de partos en servicios,primer control post parto,2021-01-01,1,1
SAN LUCAS,atencion de partos en servicios,primer control post parto,2021-01-01,26,26
SAN MIGUEL DE VELASCO,atencion de partos en servicios,primer control post parto,2021-01-01,9,9
SAN RAFAEL,atencion de partos en servicios,primer control post parto,2021-01-01,11,11
SAN RAMON BENI,atencion de partos en servicios,primer control post parto,2021-01-01,6,6
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,primer control post parto,2021-01-01,62,62
SANTA ROSA,atencion de partos en servicios,primer control post parto,2021-01-01,1,1
SANTA ROSA DEL SARA,atencion de partos en servicios,primer control post parto,2021-01-01,8,8
SANTIAGO DE HUARI,atencion de partos en servicios,primer control post parto,2021-01-01,4,4
SANTUARIO DE QUILLACAS,atencion de partos en servicios,primer control post parto,2021-01-01,4,4
SAPAHAQUI,atencion de partos en servicios,primer control post parto,2021-01-01,9,9
SENA,atencion de partos en servicios,primer control post parto,2021-01-01,10,10
SICAYA,atencion de partos en servicios,primer control post parto,2021-01-01,4,4
SIPE SIPE,atencion de partos en servicios,primer control post parto,2021-01-01,25,25
SOPACHUY,atencion de partos en servicios,primer control post parto,2021-01-01,1,1
SUCRE,atencion de partos en servicios,primer control post parto,2021-01-01,35,35
TAPACARI,atencion de partos en servicios,primer control post parto,2021-01-01,4,4
TARABUCO,atencion de partos en servicios,primer control post parto,2021-01-01,11,11
TARACO,atencion de partos en servicios,primer control post parto,2021-01-01,1,1
TARIJA,atencion de partos en servicios,primer control post parto,2021-01-01,60,60
TARVITA,atencion de partos en servicios,primer control post parto,2021-01-01,18,18
TIAHUANACU,atencion de partos en servicios,primer control post parto,2021-01-01,15,15
TIRAQUE (CBBA),atencion de partos en servicios,primer control post parto,2021-01-01,35,35
TOLEDO,atencion de partos en servicios,primer control post parto,2021-01-01,4,4
TOMAVE,atencion de partos en servicios,primer control post parto,2021-01-01,2,2
TORO TORO,atencion de partos en servicios,primer control post parto,2021-01-01,11,11
TOTORA(ORR),atencion de partos en servicios,primer control post parto,2021-01-01,4,4
TUPIZA,atencion de partos en servicios,primer control post parto,2021-01-01,8,8
TURCO,atencion de partos en servicios,primer control post parto,2021-01-01,4,4
URIONDO (A. CONCEPCION),atencion de partos en servicios,primer control post parto,2021-01-01,2,2
UYUNI,atencion de partos en servicios,primer control post parto,2021-01-01,1,1
VACAS,atencion de partos en servicios,primer control post parto,2021-01-01,1,1
VALLEGRANDE,atencion de partos en servicios,primer control post parto,2021-01-01,13,13
VIACHA,atencion de partos en servicios,primer control post parto,2021-01-01,36,36
VILLA MONTES,atencion de partos en servicios,primer control post parto,2021-01-01,8,8
VILLA NUEVA (LOMA ALTA),atencion de partos en servicios,primer control post parto,2021-01-01,2,2
VILLA RIVERO,atencion de partos en servicios,primer control post parto,2021-01-01,3,3
VILLA SERRANO,atencion de partos en servicios,primer control post parto,2021-01-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,primer control post parto,2021-01-01,3,3
VINTO,atencion de partos en servicios,primer control post parto,2021-01-01,8,8
VITICHI,atencion de partos en servicios,primer control post parto,2021-01-01,6,6
WALDO BALLIVIAN,atencion de partos en servicios,primer control post parto,2021-01-01,4,4
YACUIBA,atencion de partos en servicios,primer control post parto,2021-01-01,33,33
YAMPARAEZ,atencion de partos en servicios,primer control post parto,2021-01-01,7,7
YOTALA,atencion de partos en servicios,primer control post parto,2021-01-01,20,20
ZUDAÑEZ,atencion de partos en servicios,primer control post parto,2021-01-01,6,6
AIQUILE,atencion de partos en servicios,primer control post parto,2021-02-01,1,1
APOLO,atencion de partos en servicios,primer control post parto,2021-02-01,9,9
ARANI,atencion de partos en servicios,primer control post parto,2021-02-01,5,5
ATOCHA,atencion de partos en servicios,primer control post parto,2021-02-01,4,4
AUCAPATA,atencion de partos en servicios,primer control post parto,2021-02-01,3,3
BELEN DE ANDAMARCA,atencion de partos en servicios,primer control post parto,2021-02-01,1,1
BELLA FLOR,atencion de partos en servicios,primer control post parto,2021-02-01,3,3
BERMEJO,atencion de partos en servicios,primer control post parto,2021-02-01,4,4
BOYUIBE,atencion de partos en servicios,primer control post parto,2021-02-01,1,1
CABEZAS,atencion de partos en servicios,primer control post parto,2021-02-01,15,15
"CAIZA ""D""",atencion de partos en servicios,primer control post parto,2021-02-01,5,5
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,primer control post parto,2021-02-01,5,5
CAMIRI,atencion de partos en servicios,primer control post parto,2021-02-01,4,4
CARIPUYO,atencion de partos en servicios,primer control post parto,2021-02-01,5,5
CHALLAPATA,atencion de partos en servicios,primer control post parto,2021-02-01,9,9
CHAQUI,atencion de partos en servicios,primer control post parto,2021-02-01,3,3
CHARAGUA,atencion de partos en servicios,primer control post parto,2021-02-01,1,1
CHUMA,atencion de partos en servicios,primer control post parto,2021-02-01,3,3
CKOCHAS,atencion de partos en servicios,primer control post parto,2021-02-01,1,1
COCHABAMBA,atencion de partos en servicios,primer control post parto,2021-02-01,175,175
COIPASA,atencion de partos en servicios,primer control post parto,2021-02-01,2,2
"COLCHA ""K""",atencion de partos en servicios,primer control post parto,2021-02-01,6,6
COLOMI,atencion de partos en servicios,primer control post parto,2021-02-01,17,17
COLPA BELGICA,atencion de partos en servicios,primer control post parto,2021-02-01,6,6
COLQUENCHA,atencion de partos en servicios,primer control post parto,2021-02-01,8,8
CONCEPCION,atencion de partos en servicios,primer control post parto,2021-02-01,33,33
COROICO,atencion de partos en servicios,primer control post parto,2021-02-01,27,27
COTAGAITA,atencion de partos en servicios,primer control post parto,2021-02-01,1,1
CULPINA,atencion de partos en servicios,primer control post parto,2021-02-01,10,10
CURAHUARA DE CARANGAS,atencion de partos en servicios,primer control post parto,2021-02-01,3,3
DESAGUADERO,atencion de partos en servicios,primer control post parto,2021-02-01,1,1
EL ALTO,atencion de partos en servicios,primer control post parto,2021-02-01,26,26
EL CHORO,atencion de partos en servicios,primer control post parto,2021-02-01,1,1
EL PUENTE(TJA),atencion de partos en servicios,primer control post parto,2021-02-01,11,11
FERNANDEZ ALONSO,atencion de partos en servicios,primer control post parto,2021-02-01,8,8
FILADELFIA,atencion de partos en servicios,primer control post parto,2021-02-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,primer control post parto,2021-02-01,4,4
HUACHACALLA,atencion de partos en servicios,primer control post parto,2021-02-01,1,1
HUANUNI,atencion de partos en servicios,primer control post parto,2021-02-01,15,15
ICLA,atencion de partos en servicios,primer control post parto,2021-02-01,3,3
INCAHUASI,atencion de partos en servicios,primer control post parto,2021-02-01,8,8
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,primer control post parto,2021-02-01,1,1
JESUS DE MACHACA,atencion de partos en servicios,primer control post parto,2021-02-01,2,2
LA ASUNTA,atencion de partos en servicios,primer control post parto,2021-02-01,46,46
LA PAZ,atencion de partos en servicios,primer control post parto,2021-02-01,1,1
LAGUNILLAS,atencion de partos en servicios,primer control post parto,2021-02-01,4,4
LAJA,atencion de partos en servicios,primer control post parto,2021-02-01,7,7
LAS CARRERAS,atencion de partos en servicios,primer control post parto,2021-02-01,2,2
LLALLAGUA,atencion de partos en servicios,primer control post parto,2021-02-01,4,4
MACHACAMARCA,atencion de partos en servicios,primer control post parto,2021-02-01,3,3
MACHARETI,atencion de partos en servicios,primer control post parto,2021-02-01,4,4
MOJOCOYA,atencion de partos en servicios,primer control post parto,2021-02-01,5,5
MONTEAGUDO,atencion de partos en servicios,primer control post parto,2021-02-01,22,22
MONTERO,atencion de partos en servicios,primer control post parto,2021-02-01,6,6
MORO MORO,atencion de partos en servicios,primer control post parto,2021-02-01,3,3
OCURI,atencion de partos en servicios,primer control post parto,2021-02-01,6,6
ORURO,atencion de partos en servicios,primer control post parto,2021-02-01,45,45
PADILLA,atencion de partos en servicios,primer control post parto,2021-02-01,5,5
PALCA,atencion de partos en servicios,primer control post parto,2021-02-01,1,1
PAMPA GRANDE,atencion de partos en servicios,primer control post parto,2021-02-01,3,3
PASORAPA,atencion de partos en servicios,primer control post parto,2021-02-01,1,1
PAZÑA,atencion de partos en servicios,primer control post parto,2021-02-01,1,1
POOPO,atencion de partos en servicios,primer control post parto,2021-02-01,2,2
PORCO,atencion de partos en servicios,primer control post parto,2021-02-01,2,2
POROMA,atencion de partos en servicios,primer control post parto,2021-02-01,11,11
PORTACHUELO,atencion de partos en servicios,primer control post parto,2021-02-01,12,12
POTOSI,atencion de partos en servicios,primer control post parto,2021-02-01,81,81
PRESTO,atencion de partos en servicios,primer control post parto,2021-02-01,1,1
PUERTO ACOSTA,atencion de partos en servicios,primer control post parto,2021-02-01,1,1
PUERTO GONZALO MORENO,atencion de partos en servicios,primer control post parto,2021-02-01,1,1
PUERTO SILES,atencion de partos en servicios,primer control post parto,2021-02-01,1,1
PUNATA,atencion de partos en servicios,primer control post parto,2021-02-01,5,5
QUILLACOLLO,atencion de partos en servicios,primer control post parto,2021-02-01,11,11
ROBORE,atencion de partos en servicios,primer control post parto,2021-02-01,1,1
SABAYA,atencion de partos en servicios,primer control post parto,2021-02-01,1,1
SACABA,atencion de partos en servicios,primer control post parto,2021-02-01,30,30
SACACA,atencion de partos en servicios,primer control post parto,2021-02-01,5,5
SAMAIPATA,atencion de partos en servicios,primer control post parto,2021-02-01,7,7
SAN BENITO,atencion de partos en servicios,primer control post parto,2021-02-01,4,4
SAN BORJA,atencion de partos en servicios,primer control post parto,2021-02-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en servicios,primer control post parto,2021-02-01,1,1
SAN JAVIER(STC),atencion de partos en servicios,primer control post parto,2021-02-01,20,20
SAN JULIAN,atencion de partos en servicios,primer control post parto,2021-02-01,2,2
SAN LUCAS,atencion de partos en servicios,primer control post parto,2021-02-01,21,21
SAN MIGUEL DE VELASCO,atencion de partos en servicios,primer control post parto,2021-02-01,6,6
SAN RAFAEL,atencion de partos en servicios,primer control post parto,2021-02-01,7,7
SANTA ANA,atencion de partos en servicios,primer control post parto,2021-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,primer control post parto,2021-02-01,87,87
SANTA ROSA,atencion de partos en servicios,primer control post parto,2021-02-01,3,3
SANTA ROSA DEL SARA,atencion de partos en servicios,primer control post parto,2021-02-01,7,7
SAPAHAQUI,atencion de partos en servicios,primer control post parto,2021-02-01,7,7
SENA,atencion de partos en servicios,primer control post parto,2021-02-01,4,4
SICAYA,atencion de partos en servicios,primer control post parto,2021-02-01,3,3
SIPE SIPE,atencion de partos en servicios,primer control post parto,2021-02-01,24,24
SOPACHUY,atencion de partos en servicios,primer control post parto,2021-02-01,6,6
SUCRE,atencion de partos en servicios,primer control post parto,2021-02-01,34,34
TACOBAMBA,atencion de partos en servicios,primer control post parto,2021-02-01,1,1
TARABUCO,atencion de partos en servicios,primer control post parto,2021-02-01,14,14
TARIJA,atencion de partos en servicios,primer control post parto,2021-02-01,51,51
TARVITA,atencion de partos en servicios,primer control post parto,2021-02-01,14,14
TIAHUANACU,atencion de partos en servicios,primer control post parto,2021-02-01,8,8
TIQUIPAYA,atencion de partos en servicios,primer control post parto,2021-02-01,2,2
TIRAQUE (CBBA),atencion de partos en servicios,primer control post parto,2021-02-01,20,20
TOLATA,atencion de partos en servicios,primer control post parto,2021-02-01,7,7
TOLEDO,atencion de partos en servicios,primer control post parto,2021-02-01,4,4
TOMAVE,atencion de partos en servicios,primer control post parto,2021-02-01,6,6
TORO TORO,atencion de partos en servicios,primer control post parto,2021-02-01,9,9
TOTORA(ORR),atencion de partos en servicios,primer control post parto,2021-02-01,2,2
TUPIZA,atencion de partos en servicios,primer control post parto,2021-02-01,10,10
TURCO,atencion de partos en servicios,primer control post parto,2021-02-01,1,1
VALLEGRANDE,atencion de partos en servicios,primer control post parto,2021-02-01,2,2
VIACHA,atencion de partos en servicios,primer control post parto,2021-02-01,27,27
VILLA MONTES,atencion de partos en servicios,primer control post parto,2021-02-01,8,8
VILLA SERRANO,atencion de partos en servicios,primer control post parto,2021-02-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,primer control post parto,2021-02-01,3,3
VINTO,atencion de partos en servicios,primer control post parto,2021-02-01,19,19
VITICHI,atencion de partos en servicios,primer control post parto,2021-02-01,3,3
YACUIBA,atencion de partos en servicios,primer control post parto,2021-02-01,25,25
YAMPARAEZ,atencion de partos en servicios,primer control post parto,2021-02-01,10,10
YOTALA,atencion de partos en servicios,primer control post parto,2021-02-01,14,14
ZUDAÑEZ,atencion de partos en servicios,primer control post parto,2021-02-01,4,4
ACACIO,atencion de partos en servicios,primer control post parto,2021-03-01,2,2
APOLO,atencion de partos en servicios,primer control post parto,2021-03-01,14,14
ARAMPAMPA,atencion de partos en servicios,primer control post parto,2021-03-01,5,5
ATOCHA,atencion de partos en servicios,primer control post parto,2021-03-01,4,4
AUCAPATA,atencion de partos en servicios,primer control post parto,2021-03-01,3,3
AYATA,atencion de partos en servicios,primer control post parto,2021-03-01,1,1
BELLA FLOR,atencion de partos en servicios,primer control post parto,2021-03-01,3,3
BOYUIBE,atencion de partos en servicios,primer control post parto,2021-03-01,5,5
BUENA VISTA,atencion de partos en servicios,primer control post parto,2021-03-01,6,6
CABEZAS,atencion de partos en servicios,primer control post parto,2021-03-01,10,10
CAIROMA,atencion de partos en servicios,primer control post parto,2021-03-01,1,1
"CAIZA ""D""",atencion de partos en servicios,primer control post parto,2021-03-01,7,7
CAMIRI,atencion de partos en servicios,primer control post parto,2021-03-01,9,9
CARIPUYO,atencion de partos en servicios,primer control post parto,2021-03-01,4,4
CHALLAPATA,atencion de partos en servicios,primer control post parto,2021-03-01,2,2
CHAQUI,atencion de partos en servicios,primer control post parto,2021-03-01,3,3
CHAYANTA,atencion de partos en servicios,primer control post parto,2021-03-01,3,3
CHUMA,atencion de partos en servicios,primer control post parto,2021-03-01,1,1
CKOCHAS,atencion de partos en servicios,primer control post parto,2021-03-01,5,5
COCHABAMBA,atencion de partos en servicios,primer control post parto,2021-03-01,259,259
"COLCHA ""K""",atencion de partos en servicios,primer control post parto,2021-03-01,2,2
COLOMI,atencion de partos en servicios,primer control post parto,2021-03-01,2,2
COLPA BELGICA,atencion de partos en servicios,primer control post parto,2021-03-01,2,2
COLQUENCHA,atencion de partos en servicios,primer control post parto,2021-03-01,12,12
CONCEPCION,atencion de partos en servicios,primer control post parto,2021-03-01,38,38
COROICO,atencion de partos en servicios,primer control post parto,2021-03-01,24,24
CULPINA,atencion de partos en servicios,primer control post parto,2021-03-01,11,11
CURAHUARA DE CARANGAS,atencion de partos en servicios,primer control post parto,2021-03-01,7,7
DESAGUADERO,atencion de partos en servicios,primer control post parto,2021-03-01,1,1
EL ALTO,atencion de partos en servicios,primer control post parto,2021-03-01,91,91
EL CHORO,atencion de partos en servicios,primer control post parto,2021-03-01,3,3
EL PUENTE(TJA),atencion de partos en servicios,primer control post parto,2021-03-01,14,14
FERNANDEZ ALONSO,atencion de partos en servicios,primer control post parto,2021-03-01,6,6
FILADELFIA,atencion de partos en servicios,primer control post parto,2021-03-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,primer control post parto,2021-03-01,2,2
HUANUNI,atencion de partos en servicios,primer control post parto,2021-03-01,14,14
ICLA,atencion de partos en servicios,primer control post parto,2021-03-01,2,2
INCAHUASI,atencion de partos en servicios,primer control post parto,2021-03-01,7,7
