municipality,group,variable,month,RN con alojamiento conjunto,TOTAL
ACACIO,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,3,3
ACHACACHI,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,34,34
AIQUILE,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,26,26
ALCALA,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,42,42
ATOCHA,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,10,10
BAURES,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,3,3
BERMEJO,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,40,40
BETANZOS,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,21,21
BOYUIBE,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,2,2
BUENA VISTA,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,9,9
CABEZAS,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,13,13
"CAIZA ""D""",atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,6,6
CAMARGO,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,14,14
CAMIRI,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,7,7
CAPINOTA,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,9,9
CARACOLLO,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,10,10
CARANAVI,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,60,60
CARAPARI,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,2,2
CARIPUYO,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,4,4
CHALLAPATA,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,34,34
CHAQUI,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,3,3
CHARAGUA,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,3,3
CHAYANTA,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,11,11
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,8,8
CKOCHAS,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,3,3
CLIZA,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,35,35
COBIJA,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,93,93
COCHABAMBA,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,729,729
COLCAPIRHUA,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,25,25
"COLCHA ""K""",atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,1,1
COMARAPA,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,30,30
CONCEPCION,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,32,32
COROICO,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,10,10
COTAGAITA,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,1,1
COTOCA,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,52,52
CUATRO CAÑADAS,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,25,25
CULPINA,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,4,4
EL ALTO,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,721,721
EL PUENTE(STC),atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,2,2
EL TORNO,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,96,96
EL VILLAR,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,5,5
ENTRE RIOS TRJ,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,11,11
ENTRE RIOS CBBA,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,5,5
ESCOMA,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,2,2
FERNANDEZ ALONSO,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,2,2
FILADELFIA,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,1,1
GUAYARAMERIN,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,71,71
HUANUNI,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,13,13
HUARACAJE,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,1,1
LA GUARDIA,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,47,47
LA PAZ,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,764,764
LAGUNILLAS,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,1,1
LAS CARRERAS,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,1,1
LLALLAGUA,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,39,39
LLICA,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,8,8
LORETO,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,1,1
MAGDALENA,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,8,8
MAIRANA,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,7,7
MIZQUE,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,13,13
MONTEAGUDO,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,30,30
MONTERO,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,286,286
OCURI,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,4,4
ORURO,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,351,351
PADILLA,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,13,13
PAILON,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,40,40
PAMPA GRANDE,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,4,4
PATACAMAYA,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,30,30
PORCO,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,8,8
PORTACHUELO,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,17,17
PORVENIR,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,2,2
POTOSI,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,307,307
PUERTO QUIJARRO,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,10,10
PUERTO RICO,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,11,11
PUERTO SUAREZ,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,33,33
PUERTO VILLARROEL,atencion de partos en servicios,rn con alojamiento conjunto,2021-01-01,104,104
