municipality,group,variable,month,Cesáreas,TOTAL
ACHACACHI,atencion de partos en servicios,cesareas,2021-01-01,11,11
AIQUILE,atencion de partos en servicios,cesareas,2021-01-01,11,11
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2021-01-01,12,12
ATOCHA,atencion de partos en servicios,cesareas,2021-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,cesareas,2021-01-01,1,1
BERMEJO,atencion de partos en servicios,cesareas,2021-01-01,23,23
CAMARGO,atencion de partos en servicios,cesareas,2021-01-01,9,9
CAMIRI,atencion de partos en servicios,cesareas,2021-01-01,43,43
CARANAVI,atencion de partos en servicios,cesareas,2021-01-01,24,24
CHALLAPATA,atencion de partos en servicios,cesareas,2021-01-01,12,12
CHARAGUA,atencion de partos en servicios,cesareas,2021-01-01,4,4
CLIZA,atencion de partos en servicios,cesareas,2021-01-01,12,12
COBIJA,atencion de partos en servicios,cesareas,2021-01-01,52,52
COCHABAMBA,atencion de partos en servicios,cesareas,2021-01-01,675,675
COLCAPIRHUA,atencion de partos en servicios,cesareas,2021-01-01,13,13
COMARAPA,atencion de partos en servicios,cesareas,2021-01-01,10,10
CONCEPCION,atencion de partos en servicios,cesareas,2021-01-01,9,9
COROICO,atencion de partos en servicios,cesareas,2021-01-01,5,5
COTOCA,atencion de partos en servicios,cesareas,2021-01-01,5,5
CUATRO CAÑADAS,atencion de partos en servicios,cesareas,2021-01-01,7,7
EL ALTO,atencion de partos en servicios,cesareas,2021-01-01,268,268
EL TORNO,atencion de partos en servicios,cesareas,2021-01-01,49,49
ENTRE RIOS TRJ,atencion de partos en servicios,cesareas,2021-01-01,2,2
GUAYARAMERIN,atencion de partos en servicios,cesareas,2021-01-01,32,32
HUANUNI,atencion de partos en servicios,cesareas,2021-01-01,11,11
LA GUARDIA,atencion de partos en servicios,cesareas,2021-01-01,6,6
LA PAZ,atencion de partos en servicios,cesareas,2021-01-01,491,491
LLALLAGUA,atencion de partos en servicios,cesareas,2021-01-01,21,21
MIZQUE,atencion de partos en servicios,cesareas,2021-01-01,11,11
MONTEAGUDO,atencion de partos en servicios,cesareas,2021-01-01,11,11
MONTERO,atencion de partos en servicios,cesareas,2021-01-01,270,270
ORURO,atencion de partos en servicios,cesareas,2021-01-01,240,240
PADILLA,atencion de partos en servicios,cesareas,2021-01-01,8,8
PAILON,atencion de partos en servicios,cesareas,2021-01-01,16,16
PATACAMAYA,atencion de partos en servicios,cesareas,2021-01-01,1,1
PORTACHUELO,atencion de partos en servicios,cesareas,2021-01-01,9,9
POTOSI,atencion de partos en servicios,cesareas,2021-01-01,129,129
PUERTO QUIJARRO,atencion de partos en servicios,cesareas,2021-01-01,7,7
PUERTO SUAREZ,atencion de partos en servicios,cesareas,2021-01-01,18,18
