,group,variable,month,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,48,35,0,0,48,35,83
ACHACACHI,consulta externa,ninos  de 1 a 4 anos,2017-01-01,176,163,132,125,308,288,596
ACHOCALLA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,92,90,0,1,92,91,183
AIQUILE,consulta externa,ninos  de 1 a 4 anos,2017-01-01,233,204,19,18,252,222,474
ALALAY,consulta externa,ninos  de 1 a 4 anos,2017-01-01,24,16,7,1,31,17,48
ALCALA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,43,35,4,3,47,38,85
ALTO BENI,consulta externa,ninos  de 1 a 4 anos,2017-01-01,236,228,5,1,241,229,470
ANCORAIMES,consulta externa,ninos  de 1 a 4 anos,2017-01-01,59,51,7,6,66,57,123
ANDAMARCA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,39,29,1,0,40,29,69
ANTEQUERA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,11,21,0,1,11,22,33
ANZALDO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,64,74,8,1,72,75,147
APOLO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,195,175,74,62,269,237,506
ARAMPAMPA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,69,40,0,0,69,40,109
ARANI,consulta externa,ninos  de 1 a 4 anos,2017-01-01,58,51,0,0,58,51,109
ARBIETO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,211,191,8,6,219,197,416
ARQUE,consulta externa,ninos  de 1 a 4 anos,2017-01-01,106,99,3,0,109,99,208
ASCENCION DE GUARAYOS,consulta externa,ninos  de 1 a 4 anos,2017-01-01,417,355,5,2,422,357,779
ATOCHA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,199,153,13,8,212,161,373
AUCAPATA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,41,20,0,0,41,20,61
AYATA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,57,47,0,3,57,50,107
