municipality,group,variable,month,Nacidos vivos,TOTAL
ACACIO,atencion de partos en servicio,nacidos vivos,2005-01-01,4,4
ACHACACHI,atencion de partos en servicio,nacidos vivos,2005-01-01,27,27
ACHOCALLA,atencion de partos en servicio,nacidos vivos,2005-01-01,6,6
AIQUILE,atencion de partos en servicio,nacidos vivos,2005-01-01,39,39
ALALAY,atencion de partos en servicio,nacidos vivos,2005-01-01,3,3
ALCALA,atencion de partos en servicio,nacidos vivos,2005-01-01,4,4
ANCORAIMES,atencion de partos en servicio,nacidos vivos,2005-01-01,3,3
ANDAMARCA,atencion de partos en servicio,nacidos vivos,2005-01-01,1,1
ANTEQUERA,atencion de partos en servicio,nacidos vivos,2005-01-01,6,6
ANZALDO,atencion de partos en servicio,nacidos vivos,2005-01-01,1,1
APOLO,atencion de partos en servicio,nacidos vivos,2005-01-01,9,9
ARAMPAMPA,atencion de partos en servicio,nacidos vivos,2005-01-01,3,3
ARANI,atencion de partos en servicio,nacidos vivos,2005-01-01,4,4
ARBIETO,atencion de partos en servicio,nacidos vivos,2005-01-01,1,1
ARQUE,atencion de partos en servicio,nacidos vivos,2005-01-01,5,5
ASCENCION DE GUARAYOS,atencion de partos en servicio,nacidos vivos,2005-01-01,41,41
ATOCHA,atencion de partos en servicio,nacidos vivos,2005-01-01,20,20
AYATA,atencion de partos en servicio,nacidos vivos,2005-01-01,2,2
AYO AYO,atencion de partos en servicio,nacidos vivos,2005-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,nacidos vivos,2005-01-01,20,20
AZURDUY,atencion de partos en servicio,nacidos vivos,2005-01-01,10,10
BATALLAS,atencion de partos en servicio,nacidos vivos,2005-01-01,6,6
BAURES,atencion de partos en servicio,nacidos vivos,2005-01-01,3,3
BELLA FLOR,atencion de partos en servicio,nacidos vivos,2005-01-01,2,2
BERMEJO,atencion de partos en servicio,nacidos vivos,2005-01-01,39,39
BETANZOS,atencion de partos en servicio,nacidos vivos,2005-01-01,20,20
BOLIVAR,atencion de partos en servicio,nacidos vivos,2005-01-01,3,3
BOLPEBRA,atencion de partos en servicio,nacidos vivos,2005-01-01,2,2
BOYUIBE,atencion de partos en servicio,nacidos vivos,2005-01-01,3,3
BUENA VISTA,atencion de partos en servicio,nacidos vivos,2005-01-01,18,18
CABEZAS,atencion de partos en servicio,nacidos vivos,2005-01-01,28,28
CAIROMA,atencion de partos en servicio,nacidos vivos,2005-01-01,4,4
"CAIZA ""D""",atencion de partos en servicio,nacidos vivos,2005-01-01,6,6
CAJUATA,atencion de partos en servicio,nacidos vivos,2005-01-01,6,6
CALAMARCA,atencion de partos en servicio,nacidos vivos,2005-01-01,4,4
CAMARGO,atencion de partos en servicio,nacidos vivos,2005-01-01,35,35
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicio,nacidos vivos,2005-01-01,6,6
CAMIRI,atencion de partos en servicio,nacidos vivos,2005-01-01,80,80
CAPINOTA,atencion de partos en servicio,nacidos vivos,2005-01-01,22,22
CAQUIAVIRI,atencion de partos en servicio,nacidos vivos,2005-01-01,3,3
CARACOLLO,atencion de partos en servicio,nacidos vivos,2005-01-01,11,11
CARANAVI,atencion de partos en servicio,nacidos vivos,2005-01-01,46,46
