municipality,group,variable,month,Mujeres con primer control post parto,TOTAL
ACACIO,atencion de partos en servicio,mujeres con primer control post parto,2005-01-01,13,13
ACHACACHI,atencion de partos en servicio,mujeres con primer control post parto,2005-01-01,63,63
ACHOCALLA,atencion de partos en servicio,mujeres con primer control post parto,2005-01-01,12,12
AIQUILE,atencion de partos en servicio,mujeres con primer control post parto,2005-01-01,12,12
ALALAY,atencion de partos en servicio,mujeres con primer control post parto,2005-01-01,10,10
ALCALA,atencion de partos en servicio,mujeres con primer control post parto,2005-01-01,7,7
ANCORAIMES,atencion de partos en servicio,mujeres con primer control post parto,2005-01-01,20,20
ANDAMARCA,atencion de partos en servicio,mujeres con primer control post parto,2005-01-01,6,6
ANTEQUERA,atencion de partos en servicio,mujeres con primer control post parto,2005-01-01,7,7
ANZALDO,atencion de partos en servicio,mujeres con primer control post parto,2005-01-01,3,3
APOLO,atencion de partos en servicio,mujeres con primer control post parto,2005-01-01,18,18
ARAMPAMPA,atencion de partos en servicio,mujeres con primer control post parto,2005-01-01,15,15
ARANI,atencion de partos en servicio,mujeres con primer control post parto,2005-01-01,2,2
ARBIETO,atencion de partos en servicio,mujeres con primer control post parto,2005-01-01,3,3
ARQUE,atencion de partos en servicio,mujeres con primer control post parto,2005-01-01,16,16
ASCENCION DE GUARAYOS,atencion de partos en servicio,mujeres con primer control post parto,2005-01-01,5,5
ATOCHA,atencion de partos en servicio,mujeres con primer control post parto,2005-01-01,14,14
AUCAPATA,atencion de partos en servicio,mujeres con primer control post parto,2005-01-01,2,2
AYATA,atencion de partos en servicio,mujeres con primer control post parto,2005-01-01,1,1
AYO AYO,atencion de partos en servicio,mujeres con primer control post parto,2005-01-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,mujeres con primer control post parto,2005-01-01,34,34
AZURDUY,atencion de partos en servicio,mujeres con primer control post parto,2005-01-01,34,34
BATALLAS,atencion de partos en servicio,mujeres con primer control post parto,2005-01-01,12,12
