municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
ASCENCION DE GUARAYOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,1,1
ATOCHA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,2,2
AZURDUY,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,1,1
BAURES,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,1,1
BETANZOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,2,2
"CAIZA ""D""",atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,1,1
CAMARGO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,1,1
CAMIRI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,2,2
CARANAVI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,2,2
CHARAGUA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,1,1
COCHABAMBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,14,14
EL ALTO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,8,8
LA PAZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,18,18
LLALLAGUA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,6,6
MAIRANA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,1,1
MONTEAGUDO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,1,1
MONTERO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,7,7
ORURO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,5,5
PADILLA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,1,1
PALOS BLANCOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,1,1
POTOSI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,3,3
PUERTO CARABUCO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,1,1
PUERTO VILLARROEL,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,1,1
PUNA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,6,6
PUNATA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,4,4
QUILLACOLLO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,1,1
SACACA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,1,1
SAN BORJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,3,3
SAN JULIAN,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,2,2
SAN LUCAS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,1,1
SAN MATIAS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,1,1
SAN RAMON,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,1,1
SANTA ANA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,4,4
SIPE SIPE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,1,1
SOPACHUY,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,1,1
SORATA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,1,1
SUCRE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,7,7
TARABUCO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,1,1
TARIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,7,7
TRINIDAD,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,2,2
VILLA MONTES,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,1,1
VILLA TUNARI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,2,2
VILLAZON,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,1,1
YACUIBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-01-01,1,1
ATOCHA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,1,1
CAMARGO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,2,2
CHAYANTA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,1,1
