municipality,group,variable,month,Nacidos muertos,TOTAL
ASCENCION DE GUARAYOS,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
AZURDUY,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
BAURES,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
BETANZOS,atencion de partos en servicio,nacidos muertos,2005-01-01,3,3
BUENA VISTA,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
CAMARGO,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
CAMIRI,atencion de partos en servicio,nacidos muertos,2005-01-01,2,2
CARANAVI,atencion de partos en servicio,nacidos muertos,2005-01-01,3,3
CHARAGUA,atencion de partos en servicio,nacidos muertos,2005-01-01,2,2
COCHABAMBA,atencion de partos en servicio,nacidos muertos,2005-01-01,21,21
EL ALTO,atencion de partos en servicio,nacidos muertos,2005-01-01,13,13
ENTRE RIOS,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
GUTIERREZ,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
INCAHUASI,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
LA PAZ,atencion de partos en servicio,nacidos muertos,2005-01-01,33,33
LAS CARRERAS,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
LLALLAGUA,atencion de partos en servicio,nacidos muertos,2005-01-01,7,7
MAIRANA,atencion de partos en servicio,nacidos muertos,2005-01-01,2,2
MONTEAGUDO,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
MONTERO,atencion de partos en servicio,nacidos muertos,2005-01-01,10,10
ORURO,atencion de partos en servicio,nacidos muertos,2005-01-01,6,6
PADCAYA,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
PADILLA,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
PALOS BLANCOS,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
POJO (CBBA),atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
POTOSI,atencion de partos en servicio,nacidos muertos,2005-01-01,3,3
PUCARANI,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
PUERTO CARABUCO,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
PUERTO SUAREZ,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
PUERTO VILLARROEL,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
PUNATA,atencion de partos en servicio,nacidos muertos,2005-01-01,5,5
QUILLACOLLO,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
RIBERALTA,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
SACABA,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
SACACA,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
SAN BORJA,atencion de partos en servicio,nacidos muertos,2005-01-01,3,3
SAN CARLOS,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
SAN IGNACIO,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
SAN JULIAN,atencion de partos en servicio,nacidos muertos,2005-01-01,2,2
SAN LUCAS,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
SAN MATIAS,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
SAN RAMON,atencion de partos en servicio,nacidos muertos,2005-01-01,1,1
SANTA ANA,atencion de partos en servicio,nacidos muertos,2005-01-01,2,2
