municipality,group,variable,month,Cesáreas,TOTAL
ACHACACHI,atencion de partos en servicio,cesareas,2005-01-01,1,1
AIQUILE,atencion de partos en servicio,cesareas,2005-01-01,11,11
ASCENCION DE GUARAYOS,atencion de partos en servicio,cesareas,2005-01-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,cesareas,2005-01-01,3,3
AZURDUY,atencion de partos en servicio,cesareas,2005-01-01,1,1
BAURES,atencion de partos en servicio,cesareas,2005-01-01,1,1
BERMEJO,atencion de partos en servicio,cesareas,2005-01-01,9,9
BETANZOS,atencion de partos en servicio,cesareas,2005-01-01,3,3
CAMARGO,atencion de partos en servicio,cesareas,2005-01-01,11,11
CAMIRI,atencion de partos en servicio,cesareas,2005-01-01,44,44
CARANAVI,atencion de partos en servicio,cesareas,2005-01-01,8,8
CHARAGUA,atencion de partos en servicio,cesareas,2005-01-01,15,15
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicio,cesareas,2005-01-01,3,3
COBIJA,atencion de partos en servicio,cesareas,2005-01-01,19,19
COCHABAMBA,atencion de partos en servicio,cesareas,2005-01-01,360,360
COLCAPIRHUA,atencion de partos en servicio,cesareas,2005-01-01,3,3
COMARAPA,atencion de partos en servicio,cesareas,2005-01-01,1,1
CONCEPCION,atencion de partos en servicio,cesareas,2005-01-01,3,3
COROICO,atencion de partos en servicio,cesareas,2005-01-01,1,1
COTOCA,atencion de partos en servicio,cesareas,2005-01-01,5,5
CULPINA,atencion de partos en servicio,cesareas,2005-01-01,2,2
EL ALTO,atencion de partos en servicio,cesareas,2005-01-01,157,157
EL TORNO,atencion de partos en servicio,cesareas,2005-01-01,11,11
GUAYARAMERIN,atencion de partos en servicio,cesareas,2005-01-01,24,24
HUANUNI,atencion de partos en servicio,cesareas,2005-01-01,4,4
LA PAZ,atencion de partos en servicio,cesareas,2005-01-01,427,427
LLALLAGUA,atencion de partos en servicio,cesareas,2005-01-01,7,7
MAGDALENA,atencion de partos en servicio,cesareas,2005-01-01,6,6
MAIRANA,atencion de partos en servicio,cesareas,2005-01-01,4,4
MONTEAGUDO,atencion de partos en servicio,cesareas,2005-01-01,8,8
MONTERO,atencion de partos en servicio,cesareas,2005-01-01,61,61
ORURO,atencion de partos en servicio,cesareas,2005-01-01,130,130
PADILLA,atencion de partos en servicio,cesareas,2005-01-01,5,5
PORTACHUELO,atencion de partos en servicio,cesareas,2005-01-01,7,7
POTOSI,atencion de partos en servicio,cesareas,2005-01-01,57,57
PUERTO ACOSTA,atencion de partos en servicio,cesareas,2005-01-01,1,1
PUERTO QUIJARRO,atencion de partos en servicio,cesareas,2005-01-01,3,3
PUERTO SUAREZ,atencion de partos en servicio,cesareas,2005-01-01,6,6
PUERTO VILLARROEL,atencion de partos en servicio,cesareas,2005-01-01,13,13
PUNATA,atencion de partos en servicio,cesareas,2005-01-01,13,13
