municipality,group,variable,month,N°de beneficiarios(as) (niño/as) del bono Juana Azurduy atendidos(as),TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,93,93
ACHOCALLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,8,8
AIQUILE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,29,29
ALCALA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,28,28
ALTO BENI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,7,7
ANCORAIMES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,38,38
ANZALDO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,20,20
APOLO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,7,7
ARAMPAMPA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,1,1
ARANI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,19,19
ARBIETO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,113,113
ARQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,1,1
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,7,7
AYATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,18,18
AZURDUY,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,9,9
BATALLAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,52,52
BAURES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,4,4
BELLA FLOR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,16,16
BERMEJO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,121,121
BETANZOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,213,213
BOLIVAR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,16,16
BOLPEBRA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,2,2
BOYUIBE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,15,15
BUENA VISTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,103,103
CABEZAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,129,129
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,157,157
CALACOTO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,2,2
CALAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,2,2
CAMARGO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,181,181
CAMIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,9,9
CAPINOTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,63,63
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,3,3
CARACOLLO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,14,14
CARANAVI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,8,8
CARAPARI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,53,53
CARIPUYO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,7,7
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,3,3
CHACARILLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,7,7
CHAQUI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,72,72
CHARAÑA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,2,2
CHAYANTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,74,74
CHIMORE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,44,44
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,79,79
CHUMA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,40,40
CKOCHAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,73,73
CLIZA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,17,17
COBIJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,118,118
COCAPATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,42,42
COCHABAMBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,1779,1779
COLCAPIRHUA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,45,45
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,32,32
COLLANA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,1,1
COLOMI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,246,246
COLQUECHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,62,62
COLQUIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,8,8
COMARAPA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) del bono juana azurduy atendidos(as),2022-01-01,52,52
