municipality,group,variable,month,Nº de familias nuevas carpetizadas durante el periódo,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,2,2
ACHOCALLA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,21,21
AIQUILE,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,117,117
ALCALA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,50,50
ALTO BENI,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,16,16
ANCORAIMES,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,8,8
ANZALDO,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,6,6
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,88,88
ARBIETO,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,3,3
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,19,19
AYATA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,2,2
BATALLAS,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,23,23
BAURES,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,1,1
BERMEJO,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,41,41
BETANZOS,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,18,18
CABEZAS,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,37,37
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,1,1
CAJUATA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,107,107
CALAMARCA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,4,4
CAPINOTA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,20,20
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,6,6
CARANAVI,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,1,1
CARAPARI,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,1,1
CARIPUYO,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,9,9
CHACARILLA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,36,36
CHALLAPATA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,60,60
CHAQUI,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,16,16
CHARAGUA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,77,77
CHARAÑA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,7,7
CHAYANTA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,1,1
CHIMORE,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,38,38
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,2,2
CHUMA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,10,10
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,13,13
CLIZA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,28,28
COCHABAMBA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,14,14
COIPASA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,3,3
COLCAPIRHUA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,20,20
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,1,1
COLLANA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,3,3
COLPA BELGICA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,2,2
COLQUECHACA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,2,2
COLQUENCHA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,1,1
COLQUIRI,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,36,36
COMARAPA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,15,15
COPACABANA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,3,3
CORO CORO,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,14,14
COROICO,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,9,9
COTAGAITA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,70,70
COTOCA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,44,44
CUEVO,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,33,33
DESAGUADERO,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,4,4
EL ALTO,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,39,39
EL TORNO,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,86,86
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,27,27
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,10,10
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,105,105
FILADELFIA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,5,5
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,23,23
GUAQUI,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,7,7
HUACARETA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,18,18
HUARINA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,7,7
HUMANATA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,270,270
INCAHUASI,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,18,18
INQUISIVI,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,25,25
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,2,2
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,7,7
LA ASUNTA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,5,5
LA GUARDIA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,108,108
LA PAZ,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,71,71
LAJA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,2,2
LAS CARRERAS,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,2,2
LICOMA PAMPA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,10,10
LLALLAGUA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2022-01-01,5,5
