municipality,group,variable,month,Días camas disponibles otros servicios,TOTAL
ACACIO,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,62,62
ACHACACHI,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,558,558
AIQUILE,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,1023,1023
ALCALA,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,93,93
ANTEQUERA,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,31,31
ANZALDO,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,375,375
APOLO,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,279,279
ARANI,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,124,124
ARQUE,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,62,62
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,1264,1264
ATOCHA,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,945,945
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,651,651
AZURDUY,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,315,315
BAURES,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,62,62
BERMEJO,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,2631,2631
BETANZOS,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,124,124
BOLIVAR,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,62,62
BOYUIBE,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,341,341
BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,447,447
CABEZAS,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,340,340
"CAIZA ""D""",internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,93,93
CALAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,31,31
CAMARGO,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,1240,1240
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,93,93
CAMIRI,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,3360,3360
CAPINOTA,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,434,434
CAQUIAVIRI,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,31,31
CARACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,155,155
CARANAVI,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,868,868
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,325,325
CHALLAPATA,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,868,868
CHAQUI,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,248,248
CHARAGUA,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,899,899
CHAYANTA,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,124,124
CHIMORE,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,589,589
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,806,806
CHUMA,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,93,93
CKOCHAS,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,155,155
CLIZA,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,465,465
COBIJA,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,4288,4288
COCAPATA,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,62,62
COCHABAMBA,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,55187,55187
COLCAPIRHUA,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,1116,1116
"COLCHA ""K""",internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,62,62
COLLANA,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,31,31
COLOMI,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,310,310
COLQUECHACA,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,484,484
COMARAPA,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,434,434
CONCEPCION,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,171,171
COPACABANA,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,217,217
CORIPATA,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,93,93
CORO CORO,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,93,93
COROICO,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,1085,1085
COTAGAITA,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,341,341
COTOCA,internaciones dias camas,dias camas disponibles otros servicios,2019-01-01,527,527
