municipality,group,variable,month,Días camas ocupadas otros servicios,TOTAL
ACHACACHI,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,57,57
AIQUILE,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,129,129
ANZALDO,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,117,117
ARQUE,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,1,1
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,523,523
ATOCHA,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,175,175
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,27,27
AZURDUY,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,77,77
BAURES,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,65,65
BERMEJO,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,687,687
BOYUIBE,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,50,50
BUENA VISTA,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,111,111
CABEZAS,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,52,52
CAMARGO,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,338,338
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,31,31
CAMIRI,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,1346,1346
CAPINOTA,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,20,20
CARACOLLO,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,31,31
CARANAVI,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,334,334
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,17,17
CHALLAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,42,42
CHARAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,317,317
CHAYANTA,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,2,2
CHIMORE,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,54,54
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,283,283
CHUMA,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,3,3
CKOCHAS,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,4,4
CLIZA,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,57,57
COBIJA,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,2127,2127
COCAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,1,1
COCHABAMBA,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,35416,35416
COLCAPIRHUA,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,284,284
"COLCHA ""K""",internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,2,2
COLPA BELGICA,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,42,42
COLQUECHACA,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,32,32
COMARAPA,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,204,204
CONCEPCION,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,200,200
COROICO,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,214,214
CORQUE,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,1,1
COTAGAITA,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,34,34
COTOCA,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,599,599
CUATRO CAÑADAS,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,155,155
CULPINA,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,64,64
EL ALTO,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,12311,12311
EL PUENTE(STC),internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,80,80
EL TORNO,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,831,831
ENTRE RIOS TRJ,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,23,23
ENTRE RIOS CBBA,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,23,23
ESCOMA,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,1,1
EXALTACION,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,5,5
FERNANDEZ ALONSO,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,36,36
FILADELFIA,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,7,7
GENERAL SAAVEDRA,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,28,28
GUANAY,internaciones dias camas,dias camas ocupadas otros servicios,2019-01-01,28,28
