municipality,group,variable,month,Niñas(os) de 1 año con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,6,6
ACHACACHI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,48,48
ACHOCALLA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,40,40
AIQUILE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,38,38
ALALAY,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,4,4
ALCALA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,4,4
ALTO BENI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,29,29
ANCORAIMES,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,11,11
ANDAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,2,2
ANTEQUERA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,2,2
ANZALDO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,17,17
APOLO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,23,23
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,4,4
ARANI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,16,16
ARBIETO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,44,44
ARQUE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,17,17
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,53,53
ATOCHA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,14,14
AUCAPATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,10,10
AYATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,7,7
AYO AYO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,11,11
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,30,30
AZURDUY,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,12,12
BATALLAS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,33,33
BAURES,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,12,12
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,2,2
BELEN DE URMIRI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,2,2
BELLA FLOR,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,8,8
BERMEJO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,51,51
BETANZOS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,38,38
BOLIVAR,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,7,7
BOLPEBRA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,1,1
BOYUIBE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,11,11
BUENA VISTA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,20,20
CABEZAS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2017-01-01,32,32
