municipality,group,variable,month,Niñas(os) de 1 año con 2da. dosis de vitamina A,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,3,3
ACHACACHI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,49,49
ACHOCALLA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,35,35
AIQUILE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,40,40
ALALAY,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,5,5
ALCALA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,7,7
ALTO BENI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,22,22
ANCORAIMES,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,17,17
ANDAMARCA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,5,5
ANTEQUERA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,1,1
ANZALDO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,7,7
APOLO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,27,27
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,2,2
ARANI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,12,12
ARBIETO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,32,32
ARQUE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,12,12
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,35,35
ATOCHA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,12,12
AUCAPATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,7,7
AYATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,16,16
AYO AYO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,24,24
AZURDUY,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,18,18
BATALLAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,17,17
BAURES,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,12,12
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,2,2
BELEN DE URMIRI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,3,3
BELLA FLOR,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,6,6
BERMEJO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,40,40
BETANZOS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,35,35
BOLIVAR,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,4,4
BOLPEBRA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,1,1
BOYUIBE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,10,10
BUENA VISTA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,14,14
CABEZAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,22,22
CAIROMA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,10,10
"CAIZA ""D""",micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,13,13
CAJUATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,19,19
CALACOTO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,2,2
CALAMARCA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,15,15
CAMARGO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,25,25
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,3,3
CAMIRI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,30,30
CAPINOTA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,32,32
CAQUIAVIRI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,7,7
CARACOLLO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,33,33
CARANAVI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,61,61
CARAPARI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,32,32
CARIPUYO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,8,8
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,6,6
CATACORA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,2,2
CHACARILLA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,1,1
CHALLAPATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,45,45
CHAQUI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,11,11
CHARAGUA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,34,34
CHARAÑA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,8,8
CHAYANTA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,20,20
CHIMORE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,28,28
CHIPAYA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,1,1
CHOQUE COTA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,3,3
CHUA COCANI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,19,19
CHUMA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,7,7
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,15,15
CKOCHAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,30,30
CLIZA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,21,21
COBIJA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,79,79
COCAPATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,27,27
COCHABAMBA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,369,369
COIPASA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,1,1
COLCAPIRHUA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,33,33
"COLCHA ""K""",micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,14,14
COLLANA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,6,6
COLOMI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,40,40
COLPA BELGICA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,5,5
COLQUECHACA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,43,43
COLQUENCHA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,16,16
COLQUIRI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,14,14
COMANCHE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,4,4
COMARAPA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,22,22
COMBAYA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,4,4
CONCEPCION,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,19,19
COPACABANA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,12,12
CORIPATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,16,16
CORO CORO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,9,9
COROICO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,21,21
CORQUE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,7,7
COTAGAITA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,41,41
COTOCA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2017-01-01,82,82
