municipality,group,variable,month,Niñas(os) menores de 1 año que reciben alimento complementario,TOTAL
ACACIO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,33,33
ACHACACHI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,138,138
ACHOCALLA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,114,114
AIQUILE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,165,165
ALALAY,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,16,16
ALCALA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,22,22
ALTO BENI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,43,43
ANCORAIMES,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,79,79
ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,20,20
ANTEQUERA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,18,18
ANZALDO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,19,19
APOLO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,105,105
ARAMPAMPA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,23,23
ARANI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,66,66
ARBIETO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,75,75
ARQUE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,77,77
ATOCHA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,64,64
AUCAPATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,25,25
AYATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,44,44
AYO AYO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,104,104
AZURDUY,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,62,62
BATALLAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,8,8
BAURES,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,27,27
BELEN DE ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,10,10
BELEN DE URMIRI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,7,7
BELLA FLOR,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,36,36
BETANZOS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,192,192
BOLIVAR,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,3,3
BOLPEBRA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,6,6
BOYUIBE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,41,41
BUENA VISTA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,108,108
CABEZAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,4,4
CAIROMA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,62,62
"CAIZA ""D""",micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,70,70
CAJUATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,41,41
CALACOTO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,24,24
CAMARGO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,270,270
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,29,29
CAMIRI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,202,202
CAPINOTA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,157,157
CAQUIAVIRI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,37,37
CARACOLLO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,152,152
CARAPARI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,130,130
CARIPUYO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,31,31
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,49,49
CATACORA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,1,1
CHACARILLA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,10,10
CHALLAPATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,277,277
CHAQUI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,55,55
CHARAGUA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,76,76
CHARAÑA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,1,1
CHAYANTA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,105,105
CHIMORE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,183,183
CHIPAYA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,1,1
CHOQUE COTA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,7,7
CHUA COCANI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,12,12
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,49,49
CHUMA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,52,52
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,51,51
CKOCHAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,109,109
CLIZA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,110,110
COBIJA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,252,252
COCAPATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,167,167
COCHABAMBA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,1284,1284
