municipality,group,variable,month,Niñas(os) menores de 1 año con dosis única de vitamina A,TOTAL
ACACIO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,4,4
ACHACACHI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,37,37
ACHOCALLA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,43,43
AIQUILE,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,37,37
ALALAY,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,6,6
ALCALA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,6,6
ALTO BENI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,11,11
ANCORAIMES,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,16,16
ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,5,5
ANTEQUERA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,2,2
ANZALDO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,7,7
APOLO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,29,29
ARAMPAMPA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,6,6
ARANI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,21,21
ARBIETO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,31,31
ARQUE,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,9,9
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,63,63
ATOCHA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,10,10
AUCAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,8,8
AYATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,12,12
AYO AYO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,36,36
AZURDUY,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,14,14
BATALLAS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,19,19
BAURES,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,9,9
BELEN DE ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,2,2
BELEN DE URMIRI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,2,2
BELLA FLOR,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,9,9
BERMEJO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,50,50
BETANZOS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,26,26
BOLIVAR,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,2,2
BOLPEBRA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2017-01-01,3,3
