municipality,group,variable,month,Niñas(os) RN con lactancia materna inmediata,TOTAL
ACACIO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,5,5
ACHACACHI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,48,48
ACHOCALLA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,15,15
AIQUILE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,23,23
ALALAY,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,3,3
ALCALA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,4,4
ALTO BENI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,5,5
ANCORAIMES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,12,12
ANDAMARCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,1,1
ANTEQUERA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,1,1
ANZALDO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,11,11
APOLO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,22,22
ARAMPAMPA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,4,4
ARANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,8,8
ARBIETO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,10,10
ARQUE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,10,10
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,70,70
ATOCHA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,5,5
AUCAPATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,6,6
AYATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,9,9
AYO AYO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,25,25
AZURDUY,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,16,16
BATALLAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,16,16
BAURES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,3,3
BELLA FLOR,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,2,2
BERMEJO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,27,27
BETANZOS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,31,31
BOLIVAR,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,6,6
BOYUIBE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,3,3
BUENA VISTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,5,5
CABEZAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,12,12
CAIROMA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,11,11
"CAIZA ""D""",micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,8,8
CAJUATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,17,17
CALACOTO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,2,2
CALAMARCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,14,14
CAMARGO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,15,15
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,3,3
CAMIRI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,58,58
CAPINOTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,12,12
CAQUIAVIRI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,4,4
CARACOLLO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,21,21
CARANAVI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,75,75
CARANGAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,1,1
CARAPARI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,8,8
CARIPUYO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,15,15
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,7,7
CATACORA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,1,1
CHACARILLA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2017-01-01,3,3
