municipality,group,variable,month,Niñas(os) menores de 1 año con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,4,4
ACHACACHI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,37,37
ACHOCALLA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,43,43
AIQUILE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,37,37
ALALAY,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,6,6
ALCALA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,6,6
ALTO BENI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,11,11
ANCORAIMES,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,16,16
ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,5,5
ANTEQUERA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,3,3
ANZALDO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,8,8
APOLO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,29,29
ARAMPAMPA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,6,6
ARANI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,21,21
ARBIETO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,30,30
ARQUE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,9,9
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,59,59
ATOCHA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,13,13
AUCAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,9,9
AYATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,12,12
AYO AYO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,11,11
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,36,36
AZURDUY,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,13,13
BATALLAS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,19,19
BAURES,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,10,10
BELEN DE ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,2,2
BELEN DE URMIRI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,2,2
BELLA FLOR,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,8,8
BERMEJO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,46,46
BETANZOS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,32,32
BOLIVAR,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,5,5
BOLPEBRA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,2,2
BOYUIBE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,10,10
BUENA VISTA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,21,21
CABEZAS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,57,57
CAIROMA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,19,19
"CAIZA ""D""",micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,17,17
CAJUATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,22,22
CALACOTO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,7,7
CALAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,15,15
CAMARGO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,37,37
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,11,11
CAMIRI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,43,43
CAPINOTA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,37,37
CAQUIAVIRI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,8,8
CARACOLLO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,30,30
CARANAVI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,84,84
CARAPARI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,31,31
CARIPUYO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,14,14
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,16,16
CATACORA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,1,1
CHACARILLA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,1,1
CHALLAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,50,50
CHAQUI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,20,20
CHARAGUA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,54,54
CHARAÑA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,1,1
CHAYANTA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,18,18
CHIMORE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,45,45
CHIPAYA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,3,3
CHOQUE COTA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,2,2
CHUA COCANI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,20,20
CHUMA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,10,10
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,10,10
CKOCHAS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,12,12
CLIZA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,23,23
COBIJA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,100,100
COCAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,33,33
COCHABAMBA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,517,517
COIPASA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,1,1
COLCAPIRHUA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,72,72
"COLCHA ""K""",micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,15,15
COLLANA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,6,6
COLOMI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,40,40
COLPA BELGICA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,11,11
COLQUECHACA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,60,60
COLQUENCHA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,19,19
COLQUIRI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,14,14
COMANCHE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,2,2
COMARAPA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,19,19
COMBAYA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,1,1
CONCEPCION,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,45,45
COPACABANA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,15,15
CORIPATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,29,29
CORO CORO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2017-01-01,11,11
