municipality,group,variable,month,Mujeres puérperas con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,6,6
ACHACACHI,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,55,55
ACHOCALLA,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,18,18
AIQUILE,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,30,30
ALALAY,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,3,3
ALCALA,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,4,4
ALTO BENI,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,8,8
ANCORAIMES,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,16,16
ANDAMARCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,1,1
ANTEQUERA,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,1,1
ANZALDO,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,13,13
APOLO,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,23,23
ARAMPAMPA,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,4,4
ARANI,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,8,8
ARBIETO,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,11,11
ARQUE,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,13,13
ASCENCION DE GUARAYOS,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,52,52
ATOCHA,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,6,6
AUCAPATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,6,6
AYATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,10,10
AYO AYO,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,28,28
AZURDUY,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,20,20
BATALLAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,17,17
BAURES,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,4,4
BELLA FLOR,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,2,2
BERMEJO,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,34,34
BETANZOS,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,31,31
BOLIVAR,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,7,7
BOYUIBE,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,4,4
BUENA VISTA,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,7,7
CABEZAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,20,20
CAIROMA,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,11,11
"CAIZA ""D""",micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,9,9
CAJUATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,17,17
CALACOTO,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,3,3
CALAMARCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,16,16
CAMARGO,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,35,35
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,3,3
CAMIRI,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,78,78
CAPINOTA,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,12,12
CAQUIAVIRI,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,5,5
CARACOLLO,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,21,21
CARANAVI,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,81,81
CARAPARI,micronutrientes,mujeres puerperas con dosis completa de hierro,2017-01-01,10,10
