municipality,group,variable,month,Niñas(os) de 1 año con dosis completas de zinc (Talla Baja),TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2017-01-01,3,3
ACHACACHI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2017-01-01,4,4
ACHOCALLA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2017-01-01,9,9
AIQUILE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2017-01-01,33,33
ALALAY,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2017-01-01,1,1
ALTO BENI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2017-01-01,2,2
ANCORAIMES,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2017-01-01,17,17
ANZALDO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2017-01-01,2,2
APOLO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2017-01-01,11,11
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2017-01-01,7,7
ARBIETO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2017-01-01,4,4
ARQUE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2017-01-01,7,7
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2017-01-01,19,19
ATOCHA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2017-01-01,4,4
AUCAPATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2017-01-01,1,1
AYATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2017-01-01,2,2
AYO AYO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2017-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2017-01-01,10,10
AZURDUY,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2017-01-01,5,5
