municipality,group,variable,month,Niñas(os) de 1 año con 1ra. dosis de vitamina A,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,6,6
ACHACACHI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,51,51
ACHOCALLA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,41,41
AIQUILE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,37,37
ALALAY,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,4,4
ALCALA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,5,5
ALTO BENI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,29,29
ANCORAIMES,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,11,11
ANDAMARCA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,2,2
ANTEQUERA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,2,2
ANZALDO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,17,17
APOLO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,21,21
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,5,5
ARANI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,14,14
ARBIETO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,42,42
ARQUE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,17,17
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,73,73
ATOCHA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,13,13
AUCAPATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,10,10
AYATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,7,7
AYO AYO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,11,11
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,30,30
AZURDUY,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,11,11
BATALLAS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,33,33
BAURES,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,9,9
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,2,2
BELEN DE URMIRI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,2,2
BELLA FLOR,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,7,7
BERMEJO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,34,34
BETANZOS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,39,39
BOLIVAR,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,4,4
BOLPEBRA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,5,5
BOYUIBE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,11,11
BUENA VISTA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,24,24
CABEZAS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,36,36
CAIROMA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,16,16
"CAIZA ""D""",micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,13,13
CAJUATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,16,16
CALACOTO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,5,5
CALAMARCA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,12,12
CAMARGO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,16,16
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,7,7
CAMIRI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,67,67
CAPINOTA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,42,42
CAQUIAVIRI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,6,6
CARACOLLO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,32,32
CARANAVI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,80,80
CARAPARI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,31,31
CARIPUYO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,11,11
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,6,6
CATACORA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,1,1
CHACARILLA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,2,2
CHALLAPATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,53,53
CHAQUI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,19,19
CHARAGUA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,52,52
CHAYANTA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,25,25
CHIMORE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,31,31
CHUA COCANI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,6,6
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,32,32
CHUMA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,12,12
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,12,12
CKOCHAS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,14,14
CLIZA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,26,26
COBIJA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,122,122
COCAPATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,32,32
COCHABAMBA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,661,661
COIPASA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,1,1
COLCAPIRHUA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,64,64
"COLCHA ""K""",micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,17,17
COLLANA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,7,7
COLOMI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,29,29
COLPA BELGICA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,11,11
COLQUECHACA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,54,54
COLQUENCHA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,16,16
COLQUIRI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,24,24
COMANCHE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,3,3
COMARAPA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,33,33
COMBAYA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,2,2
CONCEPCION,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,44,44
COPACABANA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,28,28
CORIPATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,23,23
CORO CORO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,2,2
COROICO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,15,15
CORQUE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,12,12
COTAGAITA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,40,40
COTOCA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,134,134
CUATRO CAÑADAS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,43,43
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,3,3
CUEVO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,9,9
CULPINA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,23,23
CURAHUARA DE CARANGAS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,6,6
CURVA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,3,3
DESAGUADERO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,11,11
EL ALTO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,1322,1322
EL CHORO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,6,6
EL PUENTE(STC),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,28,28
EL PUENTE(TJA),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,20,20
EL TORNO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,86,86
EL VILLAR,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,6,6
ENTRE RIOS TRJ,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,36,36
ENTRE RIOS CBBA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,62,62
ESCOMA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,5,5
EUCALIPTUS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,5,5
EUREKA (SANTOS MERCADO),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,1,1
EXALTACION,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,2,2
FERNANDEZ ALONSO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,31,31
FILADELFIA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,11,11
GENERAL SAAVEDRA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,31,31
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,12,12
GUANAY,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,24,24
GUAQUI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,2,2
GUAYARAMERIN,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,71,71
GUTIERREZ,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,23,23
HUACARETA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,16,16
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,5,5
HUANUNI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,36,36
HUARACAJE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,2,2
HUARINA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,9,9
HUATAJATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,3,3
HUAYLLAMARCA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,3,3
HUMANATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,2,2
ICHOCA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,9,9
ICLA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,9,9
INCAHUASI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,17,17
INGAVI (HUMAITA),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,1,1
INQUISIVI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,13,13
IRUPANA (VILLA DE LANZA),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,18,18
IXIAMAS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,19,19
JESUS DE MACHACA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,17,17
LA ASUNTA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,90,90
LA GUARDIA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,196,196
LA PAZ,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,1139,1139
LAGUNILLAS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,10,10
LAJA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,42,42
LAS CARRERAS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,9,9
LICOMA PAMPA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,6,6
LLALLAGUA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,91,91
LLICA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,6,6
LORETO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,9,9
LURIBAY,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,7,7
MACHACAMARCA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,3,3
MACHARETI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,11,11
MAGDALENA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,26,26
MAIRANA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,26,26
MALLA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,4,4
MAPIRI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2017-01-01,25,25
