municipality,group,variable,month,Mujeres embarazadas con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,5,5
ACHACACHI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,82,82
ACHOCALLA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,38,38
AIQUILE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,51,51
ALALAY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,3,3
ALCALA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,7,7
ALTO BENI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,7,7
ANCORAIMES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,18,18
ANDAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,6,6
ANTEQUERA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,5,5
ANZALDO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,9,9
APOLO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,19,19
ARAMPAMPA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,10,10
ARANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,23,23
ARBIETO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,41,41
ARQUE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,11,11
ASCENCION DE GUARAYOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,101,101
ATOCHA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,13,13
AUCAPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,3,3
AYATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,12,12
AYO AYO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,45,45
AZURDUY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,14,14
BATALLAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,30,30
BAURES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,8,8
BELEN DE ANDAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,2,2
BELEN DE URMIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,3,3
BELLA FLOR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,8,8
BERMEJO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,44,44
BETANZOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,50,50
BOLIVAR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,8,8
BOLPEBRA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,2,2
BOYUIBE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,8,8
BUENA VISTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,20,20
CABEZAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,62,62
CAIROMA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,20,20
"CAIZA ""D""",micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,20,20
CAJUATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,18,18
CALACOTO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,4,4
CALAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,34,34
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,6,6
CAMIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,100,100
CAPINOTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,43,43
CAQUIAVIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,10,10
CARACOLLO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,39,39
CARANAVI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,125,125
CARAPARI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2017-01-01,24,24
