municipality,group,variable,month,Mujeres puérperas con dosis única de vitamina A,TOTAL
ACACIO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,6,6
ACHACACHI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,55,55
ACHOCALLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,15,15
AIQUILE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,29,29
ALALAY,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,3,3
ALCALA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,4,4
ALTO BENI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,31,31
ANCORAIMES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,16,16
ANDAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,1,1
ANTEQUERA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,1,1
ANZALDO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,13,13
APOLO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,23,23
ARAMPAMPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,4,4
ARANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,6,6
ARBIETO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,11,11
ARQUE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,13,13
ASCENCION DE GUARAYOS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,51,51
ATOCHA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,6,6
AUCAPATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,6,6
AYATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,10,10
AYO AYO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,27,27
AZURDUY,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,20,20
BATALLAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,17,17
BAURES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,9,9
BELLA FLOR,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,2,2
BERMEJO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,34,34
BETANZOS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,31,31
BOLIVAR,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,6,6
BOYUIBE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,4,4
BUENA VISTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,7,7
CABEZAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,20,20
CAIROMA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,11,11
"CAIZA ""D""",micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,9,9
CAJUATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,17,17
CALACOTO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,3,3
CALAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,16,16
CAMARGO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,25,25
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,3,3
CAMIRI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,78,78
CAPINOTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,12,12
CAQUIAVIRI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,5,5
CARACOLLO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,21,21
CARANAVI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,81,81
CARAPARI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,10,10
CARIPUYO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,11,11
CARMEN RIVERO TORREZ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,6,6
CATACORA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,1,1
CHACARILLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,4,4
CHALLAPATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,59,59
CHAQUI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,7,7
CHARAGUA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,53,53
CHARAÑA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,1,1
CHAYANTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,19,19
CHIMORE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,24,24
CHIPAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,4,4
CHUA COCANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,30,30
CHUMA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,4,4
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,4,4
CKOCHAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,16,16
CLIZA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,34,34
COBIJA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,152,152
COCAPATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,28,28
COCHABAMBA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,1085,1085
COLCAPIRHUA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,55,55
"COLCHA ""K""",micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,9,9
COLLANA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,1,1
COLOMI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,17,17
COLPA BELGICA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,2,2
COLQUECHACA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,55,55
COLQUENCHA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,12,12
COLQUIRI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,19,19
COMARAPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,31,31
COMBAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2017-01-01,1,1
