municipality,group,variable,month,Niñas(os) de 6 meses con lactancia materna exclusiva,TOTAL
ACACIO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2017-01-01,3,3
ACHACACHI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2017-01-01,78,78
ACHOCALLA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2017-01-01,9,9
AIQUILE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2017-01-01,33,33
ALALAY,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2017-01-01,2,2
ALCALA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2017-01-01,5,5
ALTO BENI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2017-01-01,6,6
ANCORAIMES,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2017-01-01,6,6
ANDAMARCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2017-01-01,5,5
ANTEQUERA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2017-01-01,3,3
ANZALDO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2017-01-01,2,2
APOLO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2017-01-01,13,13
ARAMPAMPA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2017-01-01,4,4
ARANI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2017-01-01,11,11
ARBIETO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2017-01-01,6,6
ARQUE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2017-01-01,7,7
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2017-01-01,47,47
ATOCHA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2017-01-01,6,6
AYATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2017-01-01,3,3
AYO AYO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2017-01-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2017-01-01,22,22
AZURDUY,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2017-01-01,7,7
BATALLAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2017-01-01,6,6
BAURES,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2017-01-01,13,13
BELEN DE URMIRI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2017-01-01,2,2
BELLA FLOR,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2017-01-01,2,2
