municipality,group,variable,month,Mujeres embarazadas con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,6,6
ACHACACHI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,41,41
ACHOCALLA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,45,45
AIQUILE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,37,37
ALALAY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,3,3
ALCALA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,6,6
ALTO BENI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,14,14
ANCORAIMES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,21,21
ANDAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,6,6
ANTEQUERA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,4,4
ANZALDO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,2,2
APOLO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,40,40
ARAMPAMPA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,6,6
ARANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,22,22
ARBIETO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,35,35
ARQUE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,12,12
ASCENCION DE GUARAYOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,36,36
ATOCHA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,8,8
AUCAPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,1,1
AYATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,8,8
AYO AYO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,11,11
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,39,39
AZURDUY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,27,27
BATALLAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,27,27
BAURES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,11,11
BELEN DE ANDAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,1,1
BELEN DE URMIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,2,2
BELLA FLOR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,8,8
BERMEJO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,54,54
BETANZOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,41,41
BOLIVAR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,6,6
BOYUIBE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,8,8
BUENA VISTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2016-01-01,22,22
