municipality,group,variable,month,Mujeres puérperas con dosis única de vitamina A,TOTAL
ACACIO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,7,7
ACHACACHI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,51,51
ACHOCALLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,10,10
AIQUILE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,31,31
ALCALA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,5,5
ALTO BENI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,9,9
ANCORAIMES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,18,18
ANDAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,2,2
ANTEQUERA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,2,2
ANZALDO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,3,3
APOLO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,23,23
ARAMPAMPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,5,5
ARANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,10,10
ARBIETO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,15,15
ARQUE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,25,25
ASCENCION DE GUARAYOS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,60,60
ATOCHA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,6,6
AUCAPATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,2,2
AYATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,10,10
AYO AYO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,27,27
AZURDUY,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,11,11
BATALLAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,17,17
BAURES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,5,5
BELEN DE ANDAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,1,1
BELLA FLOR,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,1,1
BERMEJO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,41,41
BETANZOS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,37,37
BOLIVAR,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,3,3
BOYUIBE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,3,3
BUENA VISTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,5,5
CABEZAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,22,22
CAIROMA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,13,13
"CAIZA ""D""",micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,13,13
CAJUATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,8,8
CALACOTO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,2,2
CALAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,12,12
CAMARGO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,16,16
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,1,1
CAMIRI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,76,76
CAPINOTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,23,23
CAQUIAVIRI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,6,6
CARACOLLO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,19,19
CARANAVI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,96,96
CARAPARI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,13,13
CARIPUYO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,17,17
CARMEN RIVERO TORREZ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,4,4
CHACARILLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,3,3
CHALLAPATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,56,56
CHAQUI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,12,12
CHARAGUA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,43,43
CHARAÑA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,1,1
CHAYANTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,11,11
CHIMORE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,16,16
CHIPAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,1,1
CHUA COCANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,8,8
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,40,40
CHUMA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,7,7
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,10,10
CKOCHAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,17,17
CLIZA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,23,23
COBIJA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,135,135
COCAPATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,22,22
COCHABAMBA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,1096,1096
COLCAPIRHUA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,27,27
"COLCHA ""K""",micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,7,7
COLLANA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,5,5
COLOMI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,23,23
COLPA BELGICA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,3,3
COLQUECHACA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,49,49
COLQUENCHA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,11,11
COLQUIRI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,18,18
COMARAPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,38,38
COMBAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,1,1
CONCEPCION,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,27,27
COPACABANA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,14,14
CORIPATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,16,16
CORO CORO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,3,3
COROICO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,17,17
CORQUE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,6,6
COTAGAITA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,21,21
COTOCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,15,15
CUATRO CAÑADAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,21,21
CUEVO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,5,5
CULPINA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,21,21
CURAHUARA DE CARANGAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,4,4
CURVA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,3,3
DESAGUADERO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,6,6
EL ALTO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,1419,1419
EL CHORO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,2,2
EL PUENTE(STC),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,11,11
EL PUENTE(TJA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,6,6
EL TORNO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,86,86
EL VILLAR,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,1,1
ENTRE RIOS TRJ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,23,23
ENTRE RIOS CBBA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,27,27
ESCOMA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,6,6
EUCALIPTUS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,5,5
EUREKA (SANTOS MERCADO),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,1,1
EXALTACION,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,1,1
FERNANDEZ ALONSO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,14,14
FILADELFIA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,3,3
GENERAL SAAVEDRA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,7,7
GUANAY,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,12,12
GUAQUI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,3,3
GUAYARAMERIN,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2016-01-01,174,174
