municipality,group,variable,month,Niñas(os) RN con lactancia materna inmediata,TOTAL
ACACIO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,7,7
ACHACACHI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,49,49
ACHOCALLA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,9,9
AIQUILE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,31,31
ALCALA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,5,5
ALTO BENI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
ANCORAIMES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,12,12
ANDAMARCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,2,2
ANTEQUERA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
ANZALDO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
APOLO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,21,21
ARAMPAMPA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,3,3
ARANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,9,9
ARBIETO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,15,15
ARQUE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,23,23
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,48,48
ATOCHA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,5,5
AUCAPATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,2,2
AYATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,9,9
AYO AYO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,62,62
AZURDUY,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,11,11
BATALLAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,6,6
BAURES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,5,5
BELEN DE ANDAMARCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
BELLA FLOR,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
BERMEJO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,26,26
BETANZOS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,18,18
BOLIVAR,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,3,3
BOYUIBE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,3,3
BUENA VISTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,8,8
CABEZAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,10,10
CAIROMA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,12,12
"CAIZA ""D""",micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,15,15
CAJUATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,9,9
CALACOTO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,2,2
CALAMARCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,12,12
CAMARGO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,11,11
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
CAMIRI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,48,48
CAPINOTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,20,20
CAQUIAVIRI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,3,3
CARACOLLO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,16,16
CARANAVI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,10,10
CARAPARI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,11,11
CARIPUYO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,15,15
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
CATACORA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
CHACARILLA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,3,3
CHALLAPATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,53,53
CHAQUI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,10,10
CHARAGUA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,15,15
CHARAÑA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
CHAYANTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,11,11
CHIMORE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,17,17
CHIPAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
CHUA COCANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,6,6
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,42,42
CHUMA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,6,6
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,5,5
CKOCHAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,17,17
