municipality,group,variable,month,Niñas(os) de 1 año con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,8,8
ACHACACHI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,51,51
ACHOCALLA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,48,48
AIQUILE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,37,37
ALALAY,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,6,6
ALCALA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,12,12
ALTO BENI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,32,32
ANCORAIMES,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,23,23
ANDAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,4,4
ANTEQUERA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,3,3
ANZALDO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,7,7
APOLO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,27,27
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,1,1
ARBIETO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,51,51
ARQUE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,27,27
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,34,34
ATOCHA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,14,14
AUCAPATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,9,9
AYATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,8,8
AYO AYO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,15,15
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,38,38
AZURDUY,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,21,21
BATALLAS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,18,18
BAURES,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,16,16
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,7,7
BELEN DE URMIRI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,2,2
BELLA FLOR,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,13,13
BERMEJO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,90,90
BETANZOS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,38,38
BOLIVAR,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,7,7
BOLPEBRA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,2,2
BOYUIBE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,9,9
BUENA VISTA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,8,8
CABEZAS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,38,38
CAIROMA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,20,20
"CAIZA ""D""",micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,5,5
CAJUATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,25,25
CALACOTO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,2,2
CALAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,10,10
CAMARGO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,37,37
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,8,8
CAMIRI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,58,58
CAPINOTA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,31,31
CAQUIAVIRI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,18,18
CARACOLLO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,33,33
CARANAVI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,84,84
CARANGAS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,1,1
CARAPARI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,42,42
CARIPUYO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,12,12
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,14,14
CATACORA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,1,1
CHACARILLA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,2,2
CHALLAPATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,83,83
CHAQUI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,19,19
CHARAGUA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,53,53
CHARAÑA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,2,2
CHAYANTA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,12,12
CHIMORE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,50,50
CHIPAYA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,3,3
CHUA COCANI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,7,7
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,14,14
CHUMA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,8,8
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,16,16
CKOCHAS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,9,9
CLIZA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,51,51
COBIJA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,140,140
COCAPATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,40,40
COCHABAMBA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,679,679
COLCAPIRHUA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2016-01-01,74,74
