municipality,group,variable,month,Niñas(os) menores de 1 año con dosis única de vitamina A,TOTAL
ACACIO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,6,6
ACHACACHI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,44,44
ACHOCALLA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,29,29
AIQUILE,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,49,49
ALALAY,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,8,8
ALCALA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,7,7
ALTO BENI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,19,19
ANCORAIMES,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,26,26
ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,6,6
ANTEQUERA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,3,3
ANZALDO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,8,8
APOLO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,31,31
ARAMPAMPA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,7,7
ARANI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,12,12
ARBIETO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,40,40
ARQUE,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,18,18
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,60,60
ATOCHA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,14,14
AUCAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,5,5
AYATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,15,15
AYO AYO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,15,15
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,34,34
AZURDUY,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,20,20
BATALLAS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,24,24
BAURES,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,18,18
BELEN DE ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,1,1
BELEN DE URMIRI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,2,2
BELLA FLOR,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,7,7
BERMEJO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,69,69
BETANZOS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,52,52
BOLIVAR,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,8,8
BOYUIBE,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,10,10
BUENA VISTA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,19,19
CABEZAS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,64,64
CAIROMA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,12,12
"CAIZA ""D""",micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,11,11
CAJUATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,22,22
CALACOTO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,9,9
CALAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,25,25
CAMARGO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,27,27
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,3,3
CAMIRI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,72,72
CAPINOTA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,37,37
CAQUIAVIRI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,12,12
CARACOLLO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,33,33
CARANAVI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,70,70
CARAPARI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,30,30
CARIPUYO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,9,9
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,7,7
CATACORA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,2,2
CHACARILLA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,2,2
CHALLAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,57,57
CHAQUI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,10,10
CHARAGUA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,55,55
CHARAÑA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,4,4
CHAYANTA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2016-01-01,22,22
