municipality,group,variable,month,Niñas(os) menores de 1 año que reciben alimento complementario,TOTAL
ACACIO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,32,32
ACHACACHI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,3,3
AIQUILE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,186,186
ALALAY,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,33,33
ALCALA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,27,27
ANCORAIMES,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,71,71
ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,33,33
ANTEQUERA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,18,18
ANZALDO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,16,16
APOLO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,87,87
ARAMPAMPA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,23,23
ARANI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,68,68
ARBIETO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,42,42
ARQUE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,86,86
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,182,182
ATOCHA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,53,53
AUCAPATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,18,18
AYATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,11,11
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,25,25
AZURDUY,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,91,91
BATALLAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,47,47
BAURES,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,32,32
BELEN DE ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,10,10
BELEN DE URMIRI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,13,13
BELLA FLOR,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,26,26
BERMEJO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,306,306
BETANZOS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,232,232
BOLIVAR,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,37,37
BOLPEBRA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,4,4
BUENA VISTA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,104,104
CABEZAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,18,18
CAIROMA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,48,48
"CAIZA ""D""",micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,58,58
CAJUATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,57,57
CALACOTO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,15,15
CALAMARCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,86,86
CAMARGO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,139,139
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,19,19
CAMIRI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,93,93
CAPINOTA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,151,151
CAQUIAVIRI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,46,46
CARACOLLO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,155,155
CARANAVI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,325,325
CARANGAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,4,4
CARAPARI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,152,152
CARIPUYO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,50,50
CATACORA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,6,6
CHACARILLA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,10,10
CHALLAPATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,304,304
CHAQUI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,74,74
CHARAGUA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,47,47
CHARAÑA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,16,16
CHAYANTA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,103,103
CHIMORE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,162,162
CHIPAYA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,13,13
CHOQUE COTA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,6,6
CHUA COCANI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,10,10
CHUMA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,58,58
