municipality,group,variable,month,Niñas(os) de 6 meses con lactancia materna exclusiva,TOTAL
ACACIO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,4,4
ACHACACHI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,15,15
ACHOCALLA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,11,11
AIQUILE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,41,41
ALALAY,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,5,5
ALCALA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,5,5
ANCORAIMES,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,3,3
ANDAMARCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,5,5
ANTEQUERA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,3,3
ANZALDO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,4,4
APOLO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,28,28
ARAMPAMPA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,6,6
ARANI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,9,9
ARBIETO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,2,2
ARQUE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,16,16
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,60,60
ATOCHA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,10,10
AYATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,7,7
AYO AYO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,26,26
AZURDUY,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,18,18
BATALLAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,6,6
BAURES,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,9,9
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,1,1
BELLA FLOR,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,4,4
BERMEJO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,3,3
BETANZOS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,67,67
BOLIVAR,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,6,6
BOYUIBE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,4,4
BUENA VISTA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2016-01-01,31,31
