municipality,group,variable,month,Niñas(os) de 1 año que reciben alimento complementario,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,61,61
ACHACACHI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,2,2
AIQUILE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,245,245
ALALAY,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,16,16
ALCALA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,52,52
ALTO BENI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,4,4
ANCORAIMES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,98,98
ANDAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,43,43
ANTEQUERA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,30,30
ANZALDO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,26,26
APOLO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,184,184
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,31,31
ARANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,92,92
ARBIETO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,56,56
ARQUE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,146,146
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,291,291
ATOCHA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,91,91
AUCAPATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,55,55
AYATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,19,19
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,30,30
AZURDUY,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,142,142
BATALLAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,110,110
BAURES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,50,50
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,20,20
BELEN DE URMIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,24,24
BELLA FLOR,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,43,43
BERMEJO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,301,301
BETANZOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,429,429
BOLIVAR,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,70,70
BOLPEBRA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,8,8
BOYUIBE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,15,15
BUENA VISTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2016-01-01,178,178
