municipality,group,variable,month,Niñas(os) de 1 año con 2da. dosis de vitamina A,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,8,8
ACHACACHI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,21,21
ACHOCALLA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,19,19
AIQUILE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,20,20
ALALAY,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,5,5
ALCALA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,5,5
ALTO BENI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,15,15
ANCORAIMES,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,19,19
ANDAMARCA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,6,6
ANTEQUERA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,4,4
ANZALDO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,6,6
APOLO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,23,23
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,5,5
ARANI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,7,7
ARBIETO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,38,38
ARQUE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,6,6
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,34,34
ATOCHA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,9,9
AUCAPATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,17,17
AYATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,10,10
AYO AYO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,24,24
AZURDUY,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,16,16
BATALLAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,16,16
BAURES,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,13,13
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,5,5
BELEN DE URMIRI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,2,2
BELLA FLOR,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,6,6
BERMEJO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,59,59
BETANZOS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,44,44
BOLIVAR,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,7,7
BOLPEBRA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,1,1
BOYUIBE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,4,4
BUENA VISTA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,13,13
CABEZAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,40,40
CAIROMA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,16,16
"CAIZA ""D""",micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,4,4
CAJUATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,11,11
CALACOTO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,4,4
CALAMARCA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,16,16
CAMARGO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,16,16
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,5,5
CAMIRI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,47,47
