municipality,group,variable,month,Cesáreas,TOTAL
ACHACACHI,atencion de partos en servicios,cesareas,2022-01-01,16,16
AIQUILE,atencion de partos en servicios,cesareas,2022-01-01,5,5
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2022-01-01,13,13
ATOCHA,atencion de partos en servicios,cesareas,2022-01-01,1,1
AZURDUY,atencion de partos en servicios,cesareas,2022-01-01,1,1
BERMEJO,atencion de partos en servicios,cesareas,2022-01-01,25,25
CAMARGO,atencion de partos en servicios,cesareas,2022-01-01,7,7
CAMIRI,atencion de partos en servicios,cesareas,2022-01-01,41,41
CARACOLLO,atencion de partos en servicios,cesareas,2022-01-01,2,2
CARANAVI,atencion de partos en servicios,cesareas,2022-01-01,6,6
CHALLAPATA,atencion de partos en servicios,cesareas,2022-01-01,13,13
CHARAGUA,atencion de partos en servicios,cesareas,2022-01-01,5,5
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,cesareas,2022-01-01,4,4
CLIZA,atencion de partos en servicios,cesareas,2022-01-01,12,12
COBIJA,atencion de partos en servicios,cesareas,2022-01-01,82,82
COCHABAMBA,atencion de partos en servicios,cesareas,2022-01-01,756,756
COLCAPIRHUA,atencion de partos en servicios,cesareas,2022-01-01,22,22
COMARAPA,atencion de partos en servicios,cesareas,2022-01-01,12,12
CONCEPCION,atencion de partos en servicios,cesareas,2022-01-01,3,3
COROICO,atencion de partos en servicios,cesareas,2022-01-01,12,12
COTOCA,atencion de partos en servicios,cesareas,2022-01-01,19,19
CUATRO CAÑADAS,atencion de partos en servicios,cesareas,2022-01-01,8,8
EL ALTO,atencion de partos en servicios,cesareas,2022-01-01,367,367
EL TORNO,atencion de partos en servicios,cesareas,2022-01-01,54,54
ENTRE RIOS TRJ,atencion de partos en servicios,cesareas,2022-01-01,5,5
ESCOMA,atencion de partos en servicios,cesareas,2022-01-01,2,2
GUAYARAMERIN,atencion de partos en servicios,cesareas,2022-01-01,45,45
HUANUNI,atencion de partos en servicios,cesareas,2022-01-01,12,12
LA GUARDIA,atencion de partos en servicios,cesareas,2022-01-01,29,29
LA PAZ,atencion de partos en servicios,cesareas,2022-01-01,751,751
LLALLAGUA,atencion de partos en servicios,cesareas,2022-01-01,27,27
MAIRANA,atencion de partos en servicios,cesareas,2022-01-01,5,5
MINEROS,atencion de partos en servicios,cesareas,2022-01-01,3,3
MIZQUE,atencion de partos en servicios,cesareas,2022-01-01,7,7
MONTEAGUDO,atencion de partos en servicios,cesareas,2022-01-01,13,13
MONTERO,atencion de partos en servicios,cesareas,2022-01-01,222,222
ORURO,atencion de partos en servicios,cesareas,2022-01-01,320,320
PADILLA,atencion de partos en servicios,cesareas,2022-01-01,8,8
PAILON,atencion de partos en servicios,cesareas,2022-01-01,7,7
PORTACHUELO,atencion de partos en servicios,cesareas,2022-01-01,22,22
POTOSI,atencion de partos en servicios,cesareas,2022-01-01,204,204
PUERTO QUIJARRO,atencion de partos en servicios,cesareas,2022-01-01,8,8
PUERTO SUAREZ,atencion de partos en servicios,cesareas,2022-01-01,12,12
PUERTO VILLARROEL,atencion de partos en servicios,cesareas,2022-01-01,35,35
PUNATA,atencion de partos en servicios,cesareas,2022-01-01,43,43
QUILLACOLLO,atencion de partos en servicios,cesareas,2022-01-01,90,90
RIBERALTA,atencion de partos en servicios,cesareas,2022-01-01,109,109
ROBORE,atencion de partos en servicios,cesareas,2022-01-01,17,17
RURRENABAQUE,atencion de partos en servicios,cesareas,2022-01-01,18,18
SACABA,atencion de partos en servicios,cesareas,2022-01-01,102,102
SAN BORJA,atencion de partos en servicios,cesareas,2022-01-01,15,15
SAN BUENA VENTURA,atencion de partos en servicios,cesareas,2022-01-01,7,7
SAN CARLOS,atencion de partos en servicios,cesareas,2022-01-01,15,15
SAN IGNACIO DE VELASCO,atencion de partos en servicios,cesareas,2022-01-01,32,32
SAN JAVIER(STC),atencion de partos en servicios,cesareas,2022-01-01,8,8
