municipality,group,variable,month,Primer Control Post Parto,TOTAL
ACACIO,atencion de partos en servicios,primer control post parto,2022-01-01,3,3
ACHACACHI,atencion de partos en servicios,primer control post parto,2022-01-01,47,47
ACHOCALLA,atencion de partos en servicios,primer control post parto,2022-01-01,18,18
AIQUILE,atencion de partos en servicios,primer control post parto,2022-01-01,20,20
ALALAY,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
ALTO BENI,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
ANDAMARCA,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
ANTEQUERA,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
ANZALDO,atencion de partos en servicios,primer control post parto,2022-01-01,3,3
APOLO,atencion de partos en servicios,primer control post parto,2022-01-01,15,15
ARAMPAMPA,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
ARANI,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
ARBIETO,atencion de partos en servicios,primer control post parto,2022-01-01,16,16
ASCENCION DE GUARAYOS,atencion de partos en servicios,primer control post parto,2022-01-01,46,46
ATOCHA,atencion de partos en servicios,primer control post parto,2022-01-01,4,4
AYATA,atencion de partos en servicios,primer control post parto,2022-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,primer control post parto,2022-01-01,14,14
AZURDUY,atencion de partos en servicios,primer control post parto,2022-01-01,7,7
BAURES,atencion de partos en servicios,primer control post parto,2022-01-01,3,3
BELLA FLOR,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
BERMEJO,atencion de partos en servicios,primer control post parto,2022-01-01,47,47
BOLIVAR,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
BOYUIBE,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
BUENA VISTA,atencion de partos en servicios,primer control post parto,2022-01-01,10,10
CABEZAS,atencion de partos en servicios,primer control post parto,2022-01-01,7,7
"CAIZA ""D""",atencion de partos en servicios,primer control post parto,2022-01-01,5,5
CAMARGO,atencion de partos en servicios,primer control post parto,2022-01-01,19,19
CAMIRI,atencion de partos en servicios,primer control post parto,2022-01-01,62,62
CAPINOTA,atencion de partos en servicios,primer control post parto,2022-01-01,3,3
CARACOLLO,atencion de partos en servicios,primer control post parto,2022-01-01,16,16
CARANAVI,atencion de partos en servicios,primer control post parto,2022-01-01,20,20
CARAPARI,atencion de partos en servicios,primer control post parto,2022-01-01,4,4
CARIPUYO,atencion de partos en servicios,primer control post parto,2022-01-01,5,5
CHALLAPATA,atencion de partos en servicios,primer control post parto,2022-01-01,47,47
CHAQUI,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
CHARAGUA,atencion de partos en servicios,primer control post parto,2022-01-01,9,9
CHAYANTA,atencion de partos en servicios,primer control post parto,2022-01-01,4,4
CHIMORE,atencion de partos en servicios,primer control post parto,2022-01-01,3,3
CHUA COCANI,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,primer control post parto,2022-01-01,11,11
CHUMA,atencion de partos en servicios,primer control post parto,2022-01-01,3,3
CKOCHAS,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
CLIZA,atencion de partos en servicios,primer control post parto,2022-01-01,6,6
COBIJA,atencion de partos en servicios,primer control post parto,2022-01-01,23,23
COCHABAMBA,atencion de partos en servicios,primer control post parto,2022-01-01,427,427
COLCAPIRHUA,atencion de partos en servicios,primer control post parto,2022-01-01,15,15
"COLCHA ""K""",atencion de partos en servicios,primer control post parto,2022-01-01,7,7
COLLANA,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
COLOMI,atencion de partos en servicios,primer control post parto,2022-01-01,8,8
COLPA BELGICA,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
COLQUECHACA,atencion de partos en servicios,primer control post parto,2022-01-01,12,12
COLQUIRI,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
COMARAPA,atencion de partos en servicios,primer control post parto,2022-01-01,3,3
COMBAYA,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
CONCEPCION,atencion de partos en servicios,primer control post parto,2022-01-01,30,30
COPACABANA,atencion de partos en servicios,primer control post parto,2022-01-01,6,6
CORIPATA,atencion de partos en servicios,primer control post parto,2022-01-01,20,20
CORO CORO,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
COROICO,atencion de partos en servicios,primer control post parto,2022-01-01,32,32
COTAGAITA,atencion de partos en servicios,primer control post parto,2022-01-01,13,13
COTOCA,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
CUATRO CAÑADAS,atencion de partos en servicios,primer control post parto,2022-01-01,17,17
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en servicios,primer control post parto,2022-01-01,1,1
DESAGUADERO,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
EL ALTO,atencion de partos en servicios,primer control post parto,2022-01-01,537,537
EL CHORO,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
EL VILLAR,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en servicios,primer control post parto,2022-01-01,8,8
ENTRE RIOS CBBA,atencion de partos en servicios,primer control post parto,2022-01-01,27,27
EUCALIPTUS,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
FERNANDEZ ALONSO,atencion de partos en servicios,primer control post parto,2022-01-01,8,8
FILADELFIA,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
GAIOC JATUN AYLLU YURA,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
GENERAL SAAVEDRA,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,primer control post parto,2022-01-01,7,7
GUANAY,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
GUAYARAMERIN,atencion de partos en servicios,primer control post parto,2022-01-01,17,17
GUTIERREZ,atencion de partos en servicios,primer control post parto,2022-01-01,6,6
HUACARETA,atencion de partos en servicios,primer control post parto,2022-01-01,5,5
