municipality,group,variable,month,RN con alojamiento conjunto,TOTAL
ACACIO,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,3,3
ACHACACHI,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,44,44
AIQUILE,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,22,22
ANDAMARCA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,46,46
ATOCHA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,4,4
BAURES,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,3,3
BELLA FLOR,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,1,1
BERMEJO,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,32,32
BETANZOS,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,20,20
BOYUIBE,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,2,2
BUENA VISTA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,10,10
CABEZAS,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,7,7
"CAIZA ""D""",atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,8,8
CAMARGO,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,17,17
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,1,1
CAMIRI,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,10,10
CAPINOTA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,20,20
CARACOLLO,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,12,12
CARANAVI,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,28,28
CARAPARI,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,2,2
CARIPUYO,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,5,5
CARMEN RIVERO TORREZ,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,8,8
CHALLAPATA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,44,44
CHAQUI,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,1,1
CHAYANTA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,9,9
CKOCHAS,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,3,3
CLIZA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,35,35
COBIJA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,122,122
COCHABAMBA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,1043,1043
COLCAPIRHUA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,35,35
"COLCHA ""K""",atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,7,7
COLQUECHACA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,9,9
COMARAPA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,19,19
CONCEPCION,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,30,30
COROICO,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,32,32
COTAGAITA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,10,10
COTOCA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,86,86
CUATRO CAÑADAS,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,30,30
EL ALTO,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,1072,1072
EL CHORO,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,1,1
EL PUENTE(STC),atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,5,5
EL TORNO,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,77,77
EL VILLAR,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,3,3
ENTRE RIOS TRJ,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,11,11
ENTRE RIOS CBBA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,34,34
ESCOMA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,7,7
FILADELFIA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,2,2
GAIOC JATUN AYLLU YURA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,1,1
GUAYARAMERIN,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,77,77
HUACARETA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,1,1
HUANUNI,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,18,18
HUARACAJE,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,4,4
INGAVI (HUMAITA),atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,1,1
LA GUARDIA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,96,96
LA PAZ,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,1063,1063
LAGUNILLAS,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,3,3
LAS CARRERAS,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,1,1
LLALLAGUA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,64,64
MAGDALENA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,11,11
MAIRANA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,12,12
MIZQUE,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,23,23
MONTEAGUDO,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,28,28
MONTERO,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,160,160
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,1,1
OCURI,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,2,2
ORURO,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,409,409
PADILLA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,11,11
PAILON,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,28,28
PAMPA GRANDE,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,5,5
PATACAMAYA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,33,33
POOPO,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,1,1
PORCO,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,8,8
POROMA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,4,4
PORTACHUELO,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,33,33
PORVENIR,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,2,2
POTOSI,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,411,411
PUERTO ACOSTA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,5,5
PUERTO GONZALO MORENO,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,4,4
PUERTO QUIJARRO,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,19,19
PUERTO RICO,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,6,6
PUERTO VILLARROEL,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,141,141
PUNA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,4,4
PUNATA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,61,61
QUILLACOLLO,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,216,216
QUIRUSILLAS,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,1,1
RAVELO,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,7,7
REYES,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,16,16
RIBERALTA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,252,252
ROBORE,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,33,33
RURRENABAQUE,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,37,37
SABAYA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,1,1
SACABA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,110,110
SACACA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,10,10
SAIPINA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,2,2
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,2,2
SAN ANDRES,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,2,2
SAN BORJA,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,55,55
SAN IGNACIO,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,33,33
SAN IGNACIO DE VELASCO,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,84,84
SAN JOAQUIN,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,8,8
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,26,26
SAN JULIAN,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,51,51
SAN LORENZO(PND),atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,4,4
SAN LORENZO(TJA),atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,7,7
SAN LUCAS,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,13,13
SAN MATIAS,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,16,16
SAN MIGUEL DE VELASCO,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,21,21
SAN PEDRO,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,2,2
SAN RAFAEL,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,6,6
SAN RAMON BENI,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,9,9
SAN RAMON SCZ,atencion de partos en servicios,rn con alojamiento conjunto,2022-01-01,13,13
