municipality,group,variable,month,Partos atendidos por partera en servicio,TOTAL
ASCENCION DE GUARAYOS,atencion de partos en servicios,partos atendidos por partera en servicio,2022-01-01,3.0,3.0
EL ALTO,atencion de partos en servicios,partos atendidos por partera en servicio,2022-01-01,22.0,22.0
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,partos atendidos por partera en servicio,2022-01-01,5.0,5.0
ENTRE RIOS TRJ,atencion de partos en servicios,partos atendidos por partera en servicio,2022-02-01,1.0,1.0
LORETO,atencion de partos en servicios,partos atendidos por partera en servicio,2022-02-01,1.0,1.0
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,partos atendidos por partera en servicio,2022-02-01,6.0,6.0
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,partos atendidos por partera en servicio,2022-03-01,1.0,1.0
"COLCHA ""K""",atencion de partos en servicios,partos atendidos por partera en servicio,2022-03-01,1.0,1.0
CULPINA,atencion de partos en servicios,partos atendidos por partera en servicio,2022-03-01,1.0,1.0
SAN CARLOS,atencion de partos en servicios,partos atendidos por partera en servicio,2022-03-01,1.0,1.0
SAN MATIAS,atencion de partos en servicios,partos atendidos por partera en servicio,2022-03-01,17.0,17.0
ASCENCION DE GUARAYOS,atencion de partos en servicios,partos atendidos por partera en servicio,2022-05-01,3.0,3.0
TRINIDAD,atencion de partos en servicios,partos atendidos por partera en servicio,2022-05-01,6.0,6.0
ASCENCION DE GUARAYOS,atencion de partos en servicios,partos atendidos por partera en servicio,2022-06-01,1.0,1.0
PORCO,atencion de partos en servicios,partos atendidos por partera en servicio,2022-06-01,2.0,2.0
CAMIRI,atencion de partos en servicios,partos atendidos por partera en servicio,2022-07-01,17.0,17.0
VILLA CHARCAS,atencion de partos en servicios,partos atendidos por partera en servicio,2022-08-01,2.0,2.0
MAGDALENA,atencion de partos en servicios,partos atendidos por partera en servicio,2022-09-01,1.0,1.0
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,partos atendidos por partera en servicio,2022-09-01,1.0,1.0
REYES,atencion de partos en servicios,partos atendidos por partera en servicio,2022-11-01,1.0,1.0
MONTEAGUDO,atencion de partos en servicios,partos atendidos por partera en servicio,2022-12-01,25.0,25.0
