,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,3,0,3
ACHACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,26,1,27
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,6,1,7
AIQUILE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,29,0,29
ALCALA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,3,0,3
ALTO BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,18,0,18
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,7,0,7
ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,0,1,1
ANTEQUERA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,0,6,6
ANZALDO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,0,5,5
APOLO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,21,1,22
ARAMPAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,7,2,9
ARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,25,1,26
ARBIETO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,10,0,10
ARQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,6,0,6
ASCENCION DE GUARAYOS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,23,1,24
ATOCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,25,1,26
AUCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1,0,1
AYATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,6,0,6
AYO AYO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,6,0,6
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,16,1,17
AZURDUY,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,7,4,11
BATALLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,13,1,14
BAURES,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,3,0,3
BELEN DE ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1,0,1
BELLA FLOR,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1,0,1
BERMEJO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,47,0,47
BETANZOS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,31,4,35
BOLIVAR,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,3,3,6
BOYUIBE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,2,0,2
BUENA VISTA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,12,0,12
CABEZAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,44,0,44
CAIROMA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,5,0,5
"CAIZA ""D""",consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,10,0,10
CAJUATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,13,0,13
CALACOTO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,2,0,2
CALAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,9,0,9
CAMARGO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,47,3,50
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,3,1,4
CAMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,62,0,62
CAPINOTA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,24,1,25
CAQUIAVIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,2,1,3
CARACOLLO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,16,1,17
CARANAVI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,48,2,50
CARAPARI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,12,0,12
CARIPUYO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,6,5,11
CARMEN RIVERO TORREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,4,0,4
CHALLAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,36,2,38
CHAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,5,0,5
CHARAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,32,1,33
CHAYANTA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,13,6,19
CHIMORE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,36,0,36
CHIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,2,0,2
CHOQUE COTA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1,1,2
CHUA COCANI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,13,0,13
CHUMA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,4,1,5
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,6,0,6
CKOCHAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,7,0,7
CLIZA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,32,2,34
COBIJA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,94,0,94
COCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,10,10,20
COCHABAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1272,0,1272
COLCAPIRHUA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,76,0,76
"COLCHA ""K""",consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,13,1,14
COLLANA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,0,1,1
COLOMI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,15,0,15
COLPA BELGICA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,6,0,6
COLQUECHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,18,13,31
COLQUENCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,10,0,10
COLQUIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,15,10,25
COMANCHE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,5,0,5
COMARAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,29,0,29
COMBAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,0,1,1
CONCEPCION,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,16,0,16
COPACABANA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,18,0,18
CORIPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,4,0,4
CORO CORO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,18,0,18
COROICO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,22,0,22
CORQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,6,2,8
COTAGAITA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,20,9,29
COTOCA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,92,2,94
CUATRO CAÑADAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,31,1,32
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,4,0,4
CUEVO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,5,1,6
CULPINA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,15,3,18
CURAHUARA DE CARANGAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,12,0,12
DESAGUADERO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,7,0,7
EL ALTO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1075,0,1075
EL CHORO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,3,0,3
EL PUENTE(STC),consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,23,0,23
EL PUENTE(TJA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,15,5,20
EL TORNO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,34,4,38
EL VILLAR,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1,0,1
ENTRE RIOS TRJ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,30,2,32
ENTRE RIOS CBBA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,67,0,67
ESCARA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1,0,1
ESCOMA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,5,0,5
EUCALIPTUS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,3,0,3
EUREKA (SANTOS MERCADO),consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,2,0,2
EXALTACION,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,2,0,2
FERNANDEZ ALONSO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,19,0,19
