,group,variable,month,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS REPETIDO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,8,4,44,56,52,60,112
ACHACACHI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,53,63,209,162,262,225,487
ACHOCALLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,13,10,75,54,88,64,152
AIQUILE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,18,20,26,32,44,52,96
ALALAY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,7,8,24,16,31,24,55
ALCALA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,24,25,0,0,24,25,49
ALTO BENI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,20,11,47,51,67,62,129
ANCORAIMES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,4,2,50,48,54,50,104
ANDAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,4,1,21,39,25,40,65
ANTEQUERA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,2,0,14,21,16,21,37
ANZALDO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,9,16,38,34,47,50,97
APOLO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,28,21,121,124,149,145,294
ARAMPAMPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,3,0,30,22,33,22,55
ARANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,29,34,58,49,87,83,170
