,group,variable,month,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,2,4,59,65,61,69,130
ACHACACHI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,66,48,147,136,213,184,397
ACHOCALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,6,4,54,55,60,59,119
AIQUILE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,24,10,33,37,57,47,104
ALALAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,5,6,19,16,24,22,46
ALCALA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,60,56,0,0,60,56,116
ALTO BENI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,4,2,78,72,82,74,156
ANCORAIMES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,4,4,55,41,59,45,104
ANDAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,3,3,56,52,59,55,114
ANTEQUERA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,0,0,20,16,20,16,36
ANZALDO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,6,11,17,20,23,31,54
APOLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,20,18,181,177,201,195,396
ARAMPAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,2,3,34,42,36,45,81
ARANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,37,34,53,49,90,83,173
