,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,5,3,8
ACHACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,32,0,32
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,17,2,19
AIQUILE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,21,0,21
ALALAY,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,1,2,3
ALCALA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,7,1,8
ALTO BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,10,4,14
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,6,2,8
ANTEQUERA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,2,0,2
ANZALDO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,2,2,4
APOLO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,24,2,26
ARAMPAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,4,3,7
ARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,16,0,16
ARBIETO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,10,0,10
ARQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,14,1,15
ASCENCION DE GUARAYOS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,54,0,54
ATOCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,17,0,17
AUCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,4,0,4
AYATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,1,2,3
AYO AYO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,8,0,8
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,18,0,18
AZURDUY,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,14,3,17
BATALLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,6,0,6
BAURES,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,14,0,14
BELEN DE ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,1,2,3
BELEN DE URMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,3,1,4
BELLA FLOR,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,4,0,4
BERMEJO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,37,0,37
BETANZOS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,33,2,35
BOLIVAR,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,9,0,9
BOLPEBRA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,3,0,3
BOYUIBE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,5,1,6
BUENA VISTA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,16,0,16
CABEZAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,36,1,37
CAIROMA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,3,4,7
"CAIZA ""D""",consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,10,0,10
CAJUATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,6,3,9
CALACOTO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,2,1,3
CALAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,13,0,13
CAMARGO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,40,1,41
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,4,0,4
CAMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,53,0,53
CAPINOTA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,17,0,17
CAQUIAVIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,2,0,2
CARACOLLO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,14,1,15
CARANAVI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,63,4,67
CARAPARI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,21,0,21
CARIPUYO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,8,3,11
CARMEN RIVERO TORREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,5,0,5
CHACARILLA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,1,0,1
CHALLAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,38,6,44
CHAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,4,1,5
CHARAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,30,0,30
CHARAÑA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,1,0,1
CHAYANTA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,5,2,7
CHIMORE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,28,2,30
CHIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,2,0,2
CHOQUE COTA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,2,1,3
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,31,0,31
CHUMA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,3,0,3
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,8,0,8
CKOCHAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,12,11,23
CLIZA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,33,0,33
COBIJA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,84,1,85
COCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,10,8,18
COCHABAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,999,2,1001
COLCAPIRHUA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,107,0,107
"COLCHA ""K""",consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,8,0,8
COLLANA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,4,1,5
COLOMI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,16,0,16
COLPA BELGICA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,4,0,4
COLQUECHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,26,5,31
COLQUENCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,7,0,7
COLQUIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,14,14,28
COMARAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,32,0,32
COMBAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,0,1,1
CONCEPCION,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,27,0,27
COPACABANA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,17,3,20
CORIPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,17,0,17
CORO CORO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,3,1,4
COROICO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,19,0,19
CORQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,4,0,4
COTAGAITA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,28,0,28
COTOCA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,58,0,58
CUATRO CAÑADAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,22,1,23
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,1,0,1
CUEVO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,9,0,9
CULPINA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,14,1,15
CURAHUARA DE CARANGAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,7,0,7
CURVA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,2,0,2
DESAGUADERO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,10,0,10
EL ALTO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,1090,0,1090
EL CHORO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,1,3,4
EL PUENTE(STC),consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,13,0,13
EL PUENTE(TJA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,10,2,12
EL TORNO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,45,1,46
EL VILLAR,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,4,0,4
ENTRE RIOS TRJ,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,22,1,23
ENTRE RIOS CBBA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,39,1,40
ESCOMA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,15,1,16
EUCALIPTUS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,6,0,6
EUREKA (SANTOS MERCADO),consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,1,0,1
