,group,variable,month,NRO DE PARTICIPANTES DE TELEPROMOCIONES MEDICOS,NRO DE PARTICIPANTES DE TELEPROMOCIONES MEDICOS,NRO DE PARTICIPANTES DE TELEPROMOCIONES ENFERMERA,NRO DE PARTICIPANTES DE TELEPROMOCIONES ENFERMERA,NRO DE PARTICIPANTES DE TELEPROMOCIONES AUXILIAR,NRO DE PARTICIPANTES DE TELEPROMOCIONES AUXILIAR,NRO DE PARTICIPANTES DE TELEPROMOCIONES ODONTO,NRO DE PARTICIPANTES DE TELEPROMOCIONES ODONTO,NRO DE PARTICIPANTES DE TELEPROMOCIONES OTRO_PERSONAL,NRO DE PARTICIPANTES DE TELEPROMOCIONES OTRO_PERSONAL,NRO DE PARTICIPANTES DE TELEPROMOCIONES ESCOLAR,NRO DE PARTICIPANTES DE TELEPROMOCIONES ESCOLAR,NRO DE PARTICIPANTES DE TELEPROMOCIONES JOVENES,NRO DE PARTICIPANTES DE TELEPROMOCIONES JOVENES,NRO DE PARTICIPANTES DE TELEPROMOCIONES ADULTOS,NRO DE PARTICIPANTES DE TELEPROMOCIONES ADULTOS,NRO DE PARTICIPANTES DE TELEPROMOCIONES DIRIGENTE,NRO DE PARTICIPANTES DE TELEPROMOCIONES DIRIGENTE,NRO DE PARTICIPANTES DE TELEPROMOCIONES PROMOTOR,NRO DE PARTICIPANTES DE TELEPROMOCIONES PROMOTOR,NRO DE PARTICIPANTES DE TELEPROMOCIONES OTROS,NRO DE PARTICIPANTES DE TELEPROMOCIONES OTROS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMATAQUI (C. VILLA ABECIA),teleeducacion,nro de participantes de telepromociones,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,13,26,0,0,0,0,0,0,0,0,13,26,39
COLLANA,teleeducacion,nro de participantes de telepromociones,2024-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
GAIOC JATUN AYLLU YURA,teleeducacion,nro de participantes de telepromociones,2024-01-01,3,3,0,2,4,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,13,20
IRUPANA (VILLA DE LANZA),teleeducacion,nro de participantes de telepromociones,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PUERTO ACOSTA,teleeducacion,nro de participantes de telepromociones,2024-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
QUIME,teleeducacion,nro de participantes de telepromociones,2024-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
INCAHUASI,teleeducacion,nro de participantes de telepromociones,2024-02-01,0,0,0,0,0,0,0,0,0,0,20,26,0,0,0,0,0,0,0,0,0,0,20,26,46
IRUPANA (VILLA DE LANZA),teleeducacion,nro de participantes de telepromociones,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LAS CARRERAS,teleeducacion,nro de participantes de telepromociones,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,0,8,13,21
PUERTO ACOSTA,teleeducacion,nro de participantes de telepromociones,2024-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
QUIME,teleeducacion,nro de participantes de telepromociones,2024-02-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
RIBERALTA,teleeducacion,nro de participantes de telepromociones,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,teleeducacion,nro de participantes de telepromociones,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TOMINA,teleeducacion,nro de participantes de telepromociones,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
FERNANDEZ ALONSO,teleeducacion,nro de participantes de telepromociones,2024-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
INCAHUASI,teleeducacion,nro de participantes de telepromociones,2024-03-01,0,0,0,0,0,0,0,0,0,0,32,58,0,0,0,0,0,0,0,0,0,0,32,58,90
QUIME,teleeducacion,nro de participantes de telepromociones,2024-03-01,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,8,8
SAMAIPATA,teleeducacion,nro de participantes de telepromociones,2024-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN MIGUEL DE VELASCO,teleeducacion,nro de participantes de telepromociones,2024-03-01,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
SAN RAFAEL,teleeducacion,nro de participantes de telepromociones,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,3,4,30,11,0,0,0,0,0,0,33,15,48
SANTA CRUZ DE LA SIERRA,teleeducacion,nro de participantes de telepromociones,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,3,5
ANCORAIMES,teleeducacion,nro de participantes de telepromociones,2024-04-01,0,0,0,0,0,0,0,0,0,0,9,15,0,0,1,2,0,0,0,0,0,0,10,17,27
CAQUIAVIRI,teleeducacion,nro de participantes de telepromociones,2024-04-01,0,0,0,0,0,0,0,0,0,0,33,29,0,0,0,0,0,0,0,0,0,0,33,29,62
CARACOLLO,teleeducacion,nro de participantes de telepromociones,2024-04-01,4,1,2,2,2,2,0,0,0,0,0,0,0,0,7,3,0,0,0,0,10,13,25,21,46
CARANAVI,teleeducacion,nro de participantes de telepromociones,2024-04-01,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,11,6,17
CHALLAPATA,teleeducacion,nro de participantes de telepromociones,2024-04-01,0,2,0,2,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,10,10
CHIMORE,teleeducacion,nro de participantes de telepromociones,2024-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CULPINA,teleeducacion,nro de participantes de telepromociones,2024-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GAIOC JATUN AYLLU YURA,teleeducacion,nro de participantes de telepromociones,2024-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),teleeducacion,nro de participantes de telepromociones,2024-04-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
GUANAY,teleeducacion,nro de participantes de telepromociones,2024-04-01,0,0,0,0,0,0,0,0,0,0,24,32,0,0,0,0,0,0,0,0,0,0,24,32,56
HUARINA,teleeducacion,nro de participantes de telepromociones,2024-04-01,0,0,0,0,0,0,0,0,0,0,12,16,0,0,0,0,3,0,0,0,0,0,15,16,31
LA PAZ,teleeducacion,nro de participantes de telepromociones,2024-04-01,96,0,3,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,111
QUIME,teleeducacion,nro de participantes de telepromociones,2024-04-01,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,6
SAN RAFAEL,teleeducacion,nro de participantes de telepromociones,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,28,0,0,0,0,0,0,10,30,40
SANTA CRUZ DE LA SIERRA,teleeducacion,nro de participantes de telepromociones,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
SANTIAGO DE MACHACA,teleeducacion,nro de participantes de telepromociones,2024-04-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SUCRE,teleeducacion,nro de participantes de telepromociones,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,50,53,0,0,0,0,0,0,0,0,50,53,103
TARVITA,teleeducacion,nro de participantes de telepromociones,2024-04-01,0,1,0,1,0,0,0,0,1,0,0,0,66,76,2,3,0,0,0,0,0,0,69,81,150
TOMINA,teleeducacion,nro de participantes de telepromociones,2024-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
YAPACANI,teleeducacion,nro de participantes de telepromociones,2024-04-01,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,4
ASCENCION DE GUARAYOS,teleeducacion,nro de participantes de telepromociones,2024-05-01,0,0,0,0,0,0,0,0,47,80,0,0,0,0,0,0,0,0,0,0,0,0,47,80,127
CABEZAS,teleeducacion,nro de participantes de telepromociones,2024-05-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
CARACOLLO,teleeducacion,nro de participantes de telepromociones,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,7,4,11
CHALLAPATA,teleeducacion,nro de participantes de telepromociones,2024-05-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
COMARAPA,teleeducacion,nro de participantes de telepromociones,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,3,0,0,0,0,0,25,25
LA RIVERA,teleeducacion,nro de participantes de telepromociones,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,6
POTOSI,teleeducacion,nro de participantes de telepromociones,2024-05-01,26,45,1,8,0,2,0,0,13,31,0,0,0,0,0,0,0,0,0,0,0,0,40,86,126
PUERTO SUAREZ,teleeducacion,nro de participantes de telepromociones,2024-05-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
QUIME,teleeducacion,nro de participantes de telepromociones,2024-05-01,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,6
SAMAIPATA,teleeducacion,nro de participantes de telepromociones,2024-05-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN RAFAEL,teleeducacion,nro de participantes de telepromociones,2024-05-01,1,0,0,0,0,0,0,0,0,0,0,4,0,12,5,4,0,0,0,0,0,0,6,20,26
SANTA CRUZ DE LA SIERRA,teleeducacion,nro de participantes de telepromociones,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CARACOLLO,teleeducacion,nro de participantes de telepromociones,2024-06-01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,12,8,20
CARAPARI,teleeducacion,nro de participantes de telepromociones,2024-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COTOCA,teleeducacion,nro de participantes de telepromociones,2024-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LA RIVERA,teleeducacion,nro de participantes de telepromociones,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,10,12,22
LAGUNILLAS,teleeducacion,nro de participantes de telepromociones,2024-06-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
SAN LORENZO(PND),teleeducacion,nro de participantes de telepromociones,2024-06-01,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
SAN RAFAEL,teleeducacion,nro de participantes de telepromociones,2024-06-01,0,0,0,0,0,0,0,0,0,0,4,5,3,11,3,7,0,0,0,0,0,0,10,23,33
SUCRE,teleeducacion,nro de participantes de telepromociones,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,28,32,0,0,0,0,0,0,0,0,28,32,60
VALLEGRANDE,teleeducacion,nro de participantes de telepromociones,2024-06-01,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
GRAL. J.J. PEREZ (CHARAZANI),teleeducacion,nro de participantes de telepromociones,2024-07-01,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
LAGUNILLAS,teleeducacion,nro de participantes de telepromociones,2024-07-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PUERTO ACOSTA,teleeducacion,nro de participantes de telepromociones,2024-07-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN RAFAEL,teleeducacion,nro de participantes de telepromociones,2024-07-01,0,0,0,0,0,0,0,0,0,0,5,4,4,10,0,1,0,0,0,0,0,0,9,15,24
SOPACHUY,teleeducacion,nro de participantes de telepromociones,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,3,17,20
TARACO,teleeducacion,nro de participantes de telepromociones,2024-07-01,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
ARAMPAMPA,teleeducacion,nro de participantes de telepromociones,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,9,10,19
CATACORA,teleeducacion,nro de participantes de telepromociones,2024-08-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
COTOCA,teleeducacion,nro de participantes de telepromociones,2024-08-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PAPEL PAMPA,teleeducacion,nro de participantes de telepromociones,2024-08-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
POTOSI,teleeducacion,nro de participantes de telepromociones,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,20
QUIME,teleeducacion,nro de participantes de telepromociones,2024-08-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SAN ANTONIO DE LOMERIO,teleeducacion,nro de participantes de telepromociones,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,1,0,0,0,8,8
SAN JAVIER(BNI),teleeducacion,nro de participantes de telepromociones,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,10,0,0,0,0,6,7,7,20,27
SAN MIGUEL DE VELASCO,teleeducacion,nro de participantes de telepromociones,2024-08-01,4,2,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14
CABEZAS,teleeducacion,nro de participantes de telepromociones,2024-09-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
CARACOLLO,teleeducacion,nro de participantes de telepromociones,2024-09-01,0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,1,0,13,10,23
COTOCA,teleeducacion,nro de participantes de telepromociones,2024-09-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CULPINA,teleeducacion,nro de participantes de telepromociones,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,74,73,0,0,0,0,0,0,0,0,74,73,147
GRAL. J.J. PEREZ (CHARAZANI),teleeducacion,nro de participantes de telepromociones,2024-09-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HUACARETA,teleeducacion,nro de participantes de telepromociones,2024-09-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
RAVELO,teleeducacion,nro de participantes de telepromociones,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,18,32,0,0,0,0,0,0,0,32,18,50
SAN RAFAEL,teleeducacion,nro de participantes de telepromociones,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,3,19,1,12,0,0,0,0,0,0,4,31,35
SUCRE,teleeducacion,nro de participantes de telepromociones,2024-09-01,0,0,0,0,0,0,0,0,0,0,105,96,0,0,0,0,0,0,0,0,0,0,105,96,201
ALALAY,teleeducacion,nro de participantes de telepromociones,2024-10-01,0,0,0,0,0,0,0,0,0,0,57,67,0,0,0,0,0,0,0,0,0,0,57,67,124
ANZALDO,teleeducacion,nro de participantes de telepromociones,2024-10-01,0,0,0,0,0,0,0,0,0,0,111,141,0,0,0,0,0,0,0,0,0,0,111,141,252
ARQUE,teleeducacion,nro de participantes de telepromociones,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,78,69,0,0,0,0,0,0,0,0,78,69,147
CLIZA,teleeducacion,nro de participantes de telepromociones,2024-10-01,0,0,0,0,0,0,0,0,0,0,16,17,0,0,0,0,0,0,0,0,0,0,16,17,33
COLCAPIRHUA,teleeducacion,nro de participantes de telepromociones,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,88,77,0,0,0,0,0,0,0,0,88,77,165
COLOMI,teleeducacion,nro de participantes de telepromociones,2024-10-01,0,0,0,0,0,0,0,0,0,0,20,35,120,197,0,0,0,0,0,0,0,0,140,232,372
COTOCA,teleeducacion,nro de participantes de telepromociones,2024-10-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
FERNANDEZ ALONSO,teleeducacion,nro de participantes de telepromociones,2024-10-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),teleeducacion,nro de participantes de telepromociones,2024-10-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
OMEREQUE,teleeducacion,nro de participantes de telepromociones,2024-10-01,0,0,0,0,0,0,0,0,0,0,120,150,0,0,0,0,0,0,0,0,0,0,120,150,270
PUERTO GONZALO MORENO,teleeducacion,nro de participantes de telepromociones,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,0,2,0,0,1,9,10
PUERTO RICO,teleeducacion,nro de participantes de telepromociones,2024-10-01,0,1,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
QUILLACOLLO,teleeducacion,nro de participantes de telepromociones,2024-10-01,0,0,0,0,0,0,0,0,0,0,24,28,78,64,0,0,0,0,0,0,0,0,102,92,194
SACABA,teleeducacion,nro de participantes de telepromociones,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,244,230,0,0,0,0,0,0,0,0,244,230,474
SACABAMBA,teleeducacion,nro de participantes de telepromociones,2024-10-01,0,0,0,0,0,0,0,0,0,0,171,188,0,0,0,0,0,0,0,0,0,0,171,188,359
SAN RAFAEL,teleeducacion,nro de participantes de telepromociones,2024-10-01,0,0,0,0,0,0,0,0,0,0,11,7,1,11,40,96,0,0,0,0,0,0,52,114,166
TOLATA,teleeducacion,nro de participantes de telepromociones,2024-10-01,0,0,0,0,0,0,0,0,0,0,380,394,0,0,0,0,0,0,0,0,0,0,380,394,774
VILLA NUEVA (LOMA ALTA),teleeducacion,nro de participantes de telepromociones,2024-10-01,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,6,7
YOTALA,teleeducacion,nro de participantes de telepromociones,2024-10-01,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
AIQUILE,teleeducacion,nro de participantes de telepromociones,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1187,1300,0,0,0,0,0,0,0,0,1187,1300,2487
ARQUE,teleeducacion,nro de participantes de telepromociones,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,29,23,0,0,0,0,0,0,0,0,29,23,52
ASCENCION DE GUARAYOS,teleeducacion,nro de participantes de telepromociones,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,5,8
CARANAVI,teleeducacion,nro de participantes de telepromociones,2024-11-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COBIJA,teleeducacion,nro de participantes de telepromociones,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,76,0,0,0,0,0,0,10,76,86
COCHABAMBA,teleeducacion,nro de participantes de telepromociones,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,480,685,4659,4979,5,8,0,0,0,0,5144,5672,10816
COLCAPIRHUA,teleeducacion,nro de participantes de telepromociones,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,37,42,0,0,0,0,0,0,0,0,37,42,79
COLOMI,teleeducacion,nro de participantes de telepromociones,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,27,25,0,0,0,0,0,1,0,0,27,26,53
FERNANDEZ ALONSO,teleeducacion,nro de participantes de telepromociones,2024-11-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PAPEL PAMPA,teleeducacion,nro de participantes de telepromociones,2024-11-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PUERTO GONZALO MORENO,teleeducacion,nro de participantes de telepromociones,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
QUILLACOLLO,teleeducacion,nro de participantes de telepromociones,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,59,62,0,0,0,0,0,0,0,0,59,62,121
RIBERALTA,teleeducacion,nro de participantes de telepromociones,2024-11-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SACABA,teleeducacion,nro de participantes de telepromociones,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,109,97,0,0,0,0,0,0,0,0,109,97,206
SAN BENITO,teleeducacion,nro de participantes de telepromociones,2024-11-01,0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,12,10,22
TARACO,teleeducacion,nro de participantes de telepromociones,2024-11-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TOCO,teleeducacion,nro de participantes de telepromociones,2024-11-01,0,0,0,0,0,0,0,0,0,0,17,13,0,0,0,0,0,0,0,0,0,0,17,13,30
TOLATA,teleeducacion,nro de participantes de telepromociones,2024-11-01,0,0,0,0,0,0,0,0,0,0,17,16,60,58,0,0,0,0,0,0,0,0,77,74,151
TOTORA(CBBA),teleeducacion,nro de participantes de telepromociones,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,22,40,0,0,0,0,0,0,0,0,22,40,62
TRINIDAD,teleeducacion,nro de participantes de telepromociones,2024-11-01,0,3,0,0,0,0,0,0,0,0,0,1,0,3,7,56,0,0,0,0,0,0,7,63,70
VILLA NUEVA (LOMA ALTA),teleeducacion,nro de participantes de telepromociones,2024-11-01,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,5
CARAPARI,teleeducacion,nro de participantes de telepromociones,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,0,0,0,0,0,7,13,20
FERNANDEZ ALONSO,teleeducacion,nro de participantes de telepromociones,2024-12-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),teleeducacion,nro de participantes de telepromociones,2024-12-01,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
PUNATA,teleeducacion,nro de participantes de telepromociones,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,11,13,0,0,0,0,0,0,0,0,11,13,24
URIONDO (A. CONCEPCION),teleeducacion,nro de participantes de telepromociones,2024-12-01,0,0,0,1,0,0,0,0,0,1,0,0,2,5,4,3,0,0,0,0,0,0,6,10,16
VILLA NUEVA (LOMA ALTA),teleeducacion,nro de participantes de telepromociones,2024-12-01,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,5
VILLAZON,teleeducacion,nro de participantes de telepromociones,2024-12-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
