municipality,group,variable,month,Repetidas,TOTAL
ACACIO,consultas prenatales,repetidas,2006-01-01,26,26
ACHACACHI,consultas prenatales,repetidas,2006-01-01,137,137
ACHOCALLA,consultas prenatales,repetidas,2006-01-01,53,53
AIQUILE,consultas prenatales,repetidas,2006-01-01,126,126
ALALAY,consultas prenatales,repetidas,2006-01-01,10,10
ALCALA,consultas prenatales,repetidas,2006-01-01,26,26
ANCORAIMES,consultas prenatales,repetidas,2006-01-01,46,46
ANDAMARCA,consultas prenatales,repetidas,2006-01-01,10,10
ANTEQUERA,consultas prenatales,repetidas,2006-01-01,14,14
ANZALDO,consultas prenatales,repetidas,2006-01-01,11,11
APOLO,consultas prenatales,repetidas,2006-01-01,69,69
ARAMPAMPA,consultas prenatales,repetidas,2006-01-01,22,22
ARANI,consultas prenatales,repetidas,2006-01-01,76,76
ARBIETO,consultas prenatales,repetidas,2006-01-01,13,13
ARQUE,consultas prenatales,repetidas,2006-01-01,47,47
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2006-01-01,145,145
ATOCHA,consultas prenatales,repetidas,2006-01-01,90,90
AUCAPATA,consultas prenatales,repetidas,2006-01-01,9,9
AYATA,consultas prenatales,repetidas,2006-01-01,16,16
AYO AYO,consultas prenatales,repetidas,2006-01-01,11,11
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2006-01-01,109,109
AZURDUY,consultas prenatales,repetidas,2006-01-01,80,80
BATALLAS,consultas prenatales,repetidas,2006-01-01,54,54
BAURES,consultas prenatales,repetidas,2006-01-01,28,28
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2006-01-01,3,3
BELEN DE URMIRI,consultas prenatales,repetidas,2006-01-01,11,11
BELLA FLOR,consultas prenatales,repetidas,2006-01-01,14,14
BERMEJO,consultas prenatales,repetidas,2006-01-01,210,210
BETANZOS,consultas prenatales,repetidas,2006-01-01,122,122
BOLIVAR,consultas prenatales,repetidas,2006-01-01,21,21
BOLPEBRA,consultas prenatales,repetidas,2006-01-01,1,1
BOYUIBE,consultas prenatales,repetidas,2006-01-01,28,28
BUENA VISTA,consultas prenatales,repetidas,2006-01-01,89,89
CABEZAS,consultas prenatales,repetidas,2006-01-01,88,88
CAIROMA,consultas prenatales,repetidas,2006-01-01,57,57
"CAIZA ""D""",consultas prenatales,repetidas,2006-01-01,19,19
CAJUATA,consultas prenatales,repetidas,2006-01-01,42,42
CALACOTO,consultas prenatales,repetidas,2006-01-01,5,5
CALAMARCA,consultas prenatales,repetidas,2006-01-01,46,46
CAMARGO,consultas prenatales,repetidas,2006-01-01,100,100
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2006-01-01,21,21
CAMIRI,consultas prenatales,repetidas,2006-01-01,136,136
CAPINOTA,consultas prenatales,repetidas,2006-01-01,104,104
CAQUIAVIRI,consultas prenatales,repetidas,2006-01-01,12,12
CARACOLLO,consultas prenatales,repetidas,2006-01-01,117,117
CARANAVI,consultas prenatales,repetidas,2006-01-01,286,286
CARAPARI,consultas prenatales,repetidas,2006-01-01,50,50
CARIPUYO,consultas prenatales,repetidas,2006-01-01,50,50
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2006-01-01,15,15
CHALLAPATA,consultas prenatales,repetidas,2006-01-01,132,132
CHAQUI,consultas prenatales,repetidas,2006-01-01,27,27
CHARAGUA,consultas prenatales,repetidas,2006-01-01,150,150
CHARAÑA,consultas prenatales,repetidas,2006-01-01,6,6
CHAYANTA,consultas prenatales,repetidas,2006-01-01,73,73
CHIMORE,consultas prenatales,repetidas,2006-01-01,69,69
CHIPAYA,consultas prenatales,repetidas,2006-01-01,4,4
CHOQUE COTA,consultas prenatales,repetidas,2006-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2006-01-01,161,161
CHUMA,consultas prenatales,repetidas,2006-01-01,30,30
