municipality,group,variable,month,RN con alojamiento conjunto,TOTAL
ACACIO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,2,2
ACHACACHI,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,26,26
AIQUILE,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,34,34
ALCALA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,3,3
APOLO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,11,11
ARANI,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,1,1
ARQUE,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,43,43
ATOCHA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,12,12
AZURDUY,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,2,2
BERMEJO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,37,37
BOYUIBE,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,1,1
BUENA VISTA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,7,7
CABEZAS,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,23,23
"CAIZA ""D""",atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,8,8
CALACOTO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,1,1
CAMARGO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,12,12
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,1,1
CAMIRI,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,17,17
CAPINOTA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,20,20
CARACOLLO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,12,12
CARANAVI,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,37,37
CARMEN RIVERO TORREZ,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,7,7
CHALLAPATA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,52,52
CHARAGUA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,44,44
CHAYANTA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,6,6
CHIPAYA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,11,11
CHUMA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,4,4
CKOCHAS,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,3,3
CLIZA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,30,30
COBIJA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,105,105
COCHABAMBA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,813,813
COLCAPIRHUA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,41,41
"COLCHA ""K""",atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,4,4
COLQUECHACA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,15,15
COMARAPA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,35,35
CONCEPCION,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,27,27
COROICO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,17,17
COTAGAITA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,3,3
COTOCA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,52,52
CUATRO CAÑADAS,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,17,17
CUEVO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,1,1
EL ALTO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,1411,1411
EL PUENTE(STC),atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,6,6
EL TORNO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,44,44
EL VILLAR,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,7,7
ENTRE RIOS TRJ,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,10,10
ESCARA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,1,1
ESCOMA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,3,3
FERNANDEZ ALONSO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,4,4
FILADELFIA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,2,2
GUTIERREZ,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,9,9
HUACARETA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,5,5
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,1,1
HUANUNI,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,18,18
HUARACAJE,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,4,4
INCAHUASI,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,1,1
INGAVI (HUMAITA),atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,3,3
IXIAMAS,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,11,11
LA GUARDIA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,74,74
LA PAZ,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,716,716
LLALLAGUA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,44,44
LLICA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,3,3
LURIBAY,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,1,1
MACHACAMARCA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,2,2
MACHARETI,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,2,2
MAGDALENA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,14,14
