municipality,group,variable,month,Cesáreas,TOTAL
ACHACACHI,atencion de partos en servicios,cesareas,2018-01-01,3,3
AIQUILE,atencion de partos en servicios,cesareas,2018-01-01,5,5
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2018-01-01,17,17
BAURES,atencion de partos en servicios,cesareas,2018-01-01,4,4
BERMEJO,atencion de partos en servicios,cesareas,2018-01-01,25,25
BETANZOS,atencion de partos en servicios,cesareas,2018-01-01,1,1
CAMARGO,atencion de partos en servicios,cesareas,2018-01-01,2,2
CAMIRI,atencion de partos en servicios,cesareas,2018-01-01,39,39
CARACOLLO,atencion de partos en servicios,cesareas,2018-01-01,2,2
CARANAVI,atencion de partos en servicios,cesareas,2018-01-01,11,11
CHALLAPATA,atencion de partos en servicios,cesareas,2018-01-01,14,14
CHARAGUA,atencion de partos en servicios,cesareas,2018-01-01,5,5
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,cesareas,2018-01-01,3,3
CLIZA,atencion de partos en servicios,cesareas,2018-01-01,8,8
COBIJA,atencion de partos en servicios,cesareas,2018-01-01,78,78
COCHABAMBA,atencion de partos en servicios,cesareas,2018-01-01,998,998
COLCAPIRHUA,atencion de partos en servicios,cesareas,2018-01-01,12,12
COMARAPA,atencion de partos en servicios,cesareas,2018-01-01,16,16
CONCEPCION,atencion de partos en servicios,cesareas,2018-01-01,1,1
COROICO,atencion de partos en servicios,cesareas,2018-01-01,5,5
COTOCA,atencion de partos en servicios,cesareas,2018-01-01,2,2
CULPINA,atencion de partos en servicios,cesareas,2018-01-01,3,3
EL ALTO,atencion de partos en servicios,cesareas,2018-01-01,427,427
EL TORNO,atencion de partos en servicios,cesareas,2018-01-01,34,34
GUANAY,atencion de partos en servicios,cesareas,2018-01-01,1,1
GUAYARAMERIN,atencion de partos en servicios,cesareas,2018-01-01,33,33
HUANUNI,atencion de partos en servicios,cesareas,2018-01-01,6,6
HUARACAJE,atencion de partos en servicios,cesareas,2018-01-01,2,2
LA PAZ,atencion de partos en servicios,cesareas,2018-01-01,750,750
LLALLAGUA,atencion de partos en servicios,cesareas,2018-01-01,19,19
MAGDALENA,atencion de partos en servicios,cesareas,2018-01-01,3,3
MAIRANA,atencion de partos en servicios,cesareas,2018-01-01,6,6
MINEROS,atencion de partos en servicios,cesareas,2018-01-01,1,1
MIZQUE,atencion de partos en servicios,cesareas,2018-01-01,9,9
MONTEAGUDO,atencion de partos en servicios,cesareas,2018-01-01,9,9
MONTERO,atencion de partos en servicios,cesareas,2018-01-01,182,182
ORURO,atencion de partos en servicios,cesareas,2018-01-01,341,341
PADILLA,atencion de partos en servicios,cesareas,2018-01-01,2,2
PAILON,atencion de partos en servicios,cesareas,2018-01-01,2,2
PORTACHUELO,atencion de partos en servicios,cesareas,2018-01-01,17,17
POTOSI,atencion de partos en servicios,cesareas,2018-01-01,187,187
PUERTO QUIJARRO,atencion de partos en servicios,cesareas,2018-01-01,3,3
PUERTO SUAREZ,atencion de partos en servicios,cesareas,2018-01-01,14,14
PUERTO VILLARROEL,atencion de partos en servicios,cesareas,2018-01-01,19,19
PUNATA,atencion de partos en servicios,cesareas,2018-01-01,36,36
QUILLACOLLO,atencion de partos en servicios,cesareas,2018-01-01,71,71
REYES,atencion de partos en servicios,cesareas,2018-01-01,4,4
RIBERALTA,atencion de partos en servicios,cesareas,2018-01-01,96,96
ROBORE,atencion de partos en servicios,cesareas,2018-01-01,7,7
RURRENABAQUE,atencion de partos en servicios,cesareas,2018-01-01,12,12
SACABA,atencion de partos en servicios,cesareas,2018-01-01,62,62
SAN BORJA,atencion de partos en servicios,cesareas,2018-01-01,18,18
SAN BUENA VENTURA,atencion de partos en servicios,cesareas,2018-01-01,6,6
SAN CARLOS,atencion de partos en servicios,cesareas,2018-01-01,7,7
SAN IGNACIO,atencion de partos en servicios,cesareas,2018-01-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en servicios,cesareas,2018-01-01,48,48
SAN JAVIER(STC),atencion de partos en servicios,cesareas,2018-01-01,2,2
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,cesareas,2018-01-01,30,30
SAN JUAN DE YAPACANI,atencion de partos en servicios,cesareas,2018-01-01,4,4
SAN JULIAN,atencion de partos en servicios,cesareas,2018-01-01,1,1
SAN LUCAS,atencion de partos en servicios,cesareas,2018-01-01,6,6
SAN RAMON BENI,atencion de partos en servicios,cesareas,2018-01-01,5,5
SAN RAMON SCZ,atencion de partos en servicios,cesareas,2018-01-01,5,5
SANTA ANA,atencion de partos en servicios,cesareas,2018-01-01,6,6
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,cesareas,2018-01-01,2494,2494
SHINAOTA,atencion de partos en servicios,cesareas,2018-01-01,18,18
SUCRE,atencion de partos en servicios,cesareas,2018-01-01,214,214
TARABUCO,atencion de partos en servicios,cesareas,2018-01-01,3,3
TARIJA,atencion de partos en servicios,cesareas,2018-01-01,225,225
TIQUIPAYA,atencion de partos en servicios,cesareas,2018-01-01,21,21
TOTORA(CBBA),atencion de partos en servicios,cesareas,2018-01-01,3,3
TRINIDAD,atencion de partos en servicios,cesareas,2018-01-01,146,146
TUPIZA,atencion de partos en servicios,cesareas,2018-01-01,23,23
UYUNI,atencion de partos en servicios,cesareas,2018-01-01,9,9
VALLEGRANDE,atencion de partos en servicios,cesareas,2018-01-01,20,20
VIACHA,atencion de partos en servicios,cesareas,2018-01-01,5,5
VILLA MONTES,atencion de partos en servicios,cesareas,2018-01-01,26,26
VILLA TUNARI,atencion de partos en servicios,cesareas,2018-01-01,22,22
VILLAZON,atencion de partos en servicios,cesareas,2018-01-01,3,3
VINTO,atencion de partos en servicios,cesareas,2018-01-01,4,4
WARNES,atencion de partos en servicios,cesareas,2018-01-01,26,26
YACUIBA,atencion de partos en servicios,cesareas,2018-01-01,68,68
YAPACANI,atencion de partos en servicios,cesareas,2018-01-01,42,42
AIQUILE,atencion de partos en servicios,cesareas,2018-02-01,6,6
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2018-02-01,7,7
BERMEJO,atencion de partos en servicios,cesareas,2018-02-01,27,27
CAMARGO,atencion de partos en servicios,cesareas,2018-02-01,7,7
CAMIRI,atencion de partos en servicios,cesareas,2018-02-01,53,53
CARACOLLO,atencion de partos en servicios,cesareas,2018-02-01,3,3
CARANAVI,atencion de partos en servicios,cesareas,2018-02-01,17,17
CHALLAPATA,atencion de partos en servicios,cesareas,2018-02-01,5,5
CHARAGUA,atencion de partos en servicios,cesareas,2018-02-01,7,7
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,cesareas,2018-02-01,2,2
CLIZA,atencion de partos en servicios,cesareas,2018-02-01,7,7
COBIJA,atencion de partos en servicios,cesareas,2018-02-01,80,80
COCHABAMBA,atencion de partos en servicios,cesareas,2018-02-01,779,779
COLCAPIRHUA,atencion de partos en servicios,cesareas,2018-02-01,8,8
COMARAPA,atencion de partos en servicios,cesareas,2018-02-01,10,10
COROICO,atencion de partos en servicios,cesareas,2018-02-01,2,2
COTOCA,atencion de partos en servicios,cesareas,2018-02-01,6,6
CULPINA,atencion de partos en servicios,cesareas,2018-02-01,1,1
EL ALTO,atencion de partos en servicios,cesareas,2018-02-01,382,382
EL TORNO,atencion de partos en servicios,cesareas,2018-02-01,52,52
GUANAY,atencion de partos en servicios,cesareas,2018-02-01,4,4
GUAYARAMERIN,atencion de partos en servicios,cesareas,2018-02-01,49,49
HUANUNI,atencion de partos en servicios,cesareas,2018-02-01,10,10
LA PAZ,atencion de partos en servicios,cesareas,2018-02-01,652,652
LLALLAGUA,atencion de partos en servicios,cesareas,2018-02-01,20,20
MAGDALENA,atencion de partos en servicios,cesareas,2018-02-01,8,8
MAIRANA,atencion de partos en servicios,cesareas,2018-02-01,4,4
MINEROS,atencion de partos en servicios,cesareas,2018-02-01,1,1
MIZQUE,atencion de partos en servicios,cesareas,2018-02-01,9,9
MONTEAGUDO,atencion de partos en servicios,cesareas,2018-02-01,8,8
MONTERO,atencion de partos en servicios,cesareas,2018-02-01,212,212
ORURO,atencion de partos en servicios,cesareas,2018-02-01,305,305
PADILLA,atencion de partos en servicios,cesareas,2018-02-01,3,3
PAILON,atencion de partos en servicios,cesareas,2018-02-01,5,5
PORTACHUELO,atencion de partos en servicios,cesareas,2018-02-01,15,15
POTOSI,atencion de partos en servicios,cesareas,2018-02-01,164,164
PUERTO QUIJARRO,atencion de partos en servicios,cesareas,2018-02-01,7,7
PUERTO SUAREZ,atencion de partos en servicios,cesareas,2018-02-01,27,27
PUERTO VILLARROEL,atencion de partos en servicios,cesareas,2018-02-01,25,25
PUNATA,atencion de partos en servicios,cesareas,2018-02-01,41,41
QUILLACOLLO,atencion de partos en servicios,cesareas,2018-02-01,57,57
REYES,atencion de partos en servicios,cesareas,2018-02-01,1,1
RIBERALTA,atencion de partos en servicios,cesareas,2018-02-01,81,81
ROBORE,atencion de partos en servicios,cesareas,2018-02-01,4,4
RURRENABAQUE,atencion de partos en servicios,cesareas,2018-02-01,15,15
SACABA,atencion de partos en servicios,cesareas,2018-02-01,67,67
SAN BORJA,atencion de partos en servicios,cesareas,2018-02-01,23,23
SAN BUENA VENTURA,atencion de partos en servicios,cesareas,2018-02-01,1,1
SAN CARLOS,atencion de partos en servicios,cesareas,2018-02-01,6,6
SAN IGNACIO,atencion de partos en servicios,cesareas,2018-02-01,3,3
SAN IGNACIO DE VELASCO,atencion de partos en servicios,cesareas,2018-02-01,52,52
SAN JAVIER(STC),atencion de partos en servicios,cesareas,2018-02-01,11,11
SAN JOAQUIN,atencion de partos en servicios,cesareas,2018-02-01,2,2
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,cesareas,2018-02-01,33,33
SAN JULIAN,atencion de partos en servicios,cesareas,2018-02-01,3,3
SAN MATIAS,atencion de partos en servicios,cesareas,2018-02-01,1,1
SAN RAMON BENI,atencion de partos en servicios,cesareas,2018-02-01,2,2
SAN RAMON SCZ,atencion de partos en servicios,cesareas,2018-02-01,2,2
SANTA ANA,atencion de partos en servicios,cesareas,2018-02-01,16,16
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,cesareas,2018-02-01,2375,2375
SANTA ROSA,atencion de partos en servicios,cesareas,2018-02-01,3,3
SHINAOTA,atencion de partos en servicios,cesareas,2018-02-01,13,13
SUCRE,atencion de partos en servicios,cesareas,2018-02-01,190,190
TARABUCO,atencion de partos en servicios,cesareas,2018-02-01,2,2
TARIJA,atencion de partos en servicios,cesareas,2018-02-01,214,214
TIQUIPAYA,atencion de partos en servicios,cesareas,2018-02-01,27,27
TOTORA(CBBA),atencion de partos en servicios,cesareas,2018-02-01,3,3
TRINIDAD,atencion de partos en servicios,cesareas,2018-02-01,132,132
TUPIZA,atencion de partos en servicios,cesareas,2018-02-01,13,13
UNCIA,atencion de partos en servicios,cesareas,2018-02-01,5,5
UYUNI,atencion de partos en servicios,cesareas,2018-02-01,7,7
VALLEGRANDE,atencion de partos en servicios,cesareas,2018-02-01,20,20
VIACHA,atencion de partos en servicios,cesareas,2018-02-01,3,3
VILLA MONTES,atencion de partos en servicios,cesareas,2018-02-01,39,39
VILLA TUNARI,atencion de partos en servicios,cesareas,2018-02-01,31,31
VILLAZON,atencion de partos en servicios,cesareas,2018-02-01,6,6
VINTO,atencion de partos en servicios,cesareas,2018-02-01,3,3
WARNES,atencion de partos en servicios,cesareas,2018-02-01,31,31
YACUIBA,atencion de partos en servicios,cesareas,2018-02-01,79,79
YAPACANI,atencion de partos en servicios,cesareas,2018-02-01,60,60
ACHACACHI,atencion de partos en servicios,cesareas,2018-03-01,4,4
AIQUILE,atencion de partos en servicios,cesareas,2018-03-01,12,12
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2018-03-01,12,12
BAURES,atencion de partos en servicios,cesareas,2018-03-01,2,2
BERMEJO,atencion de partos en servicios,cesareas,2018-03-01,37,37
CAMARGO,atencion de partos en servicios,cesareas,2018-03-01,2,2
CAMIRI,atencion de partos en servicios,cesareas,2018-03-01,69,69
CARACOLLO,atencion de partos en servicios,cesareas,2018-03-01,5,5
CARANAVI,atencion de partos en servicios,cesareas,2018-03-01,24,24
CHALLAPATA,atencion de partos en servicios,cesareas,2018-03-01,10,10
CHARAGUA,atencion de partos en servicios,cesareas,2018-03-01,5,5
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,cesareas,2018-03-01,6,6
CLIZA,atencion de partos en servicios,cesareas,2018-03-01,20,20
COBIJA,atencion de partos en servicios,cesareas,2018-03-01,62,62
COCHABAMBA,atencion de partos en servicios,cesareas,2018-03-01,903,903
COLCAPIRHUA,atencion de partos en servicios,cesareas,2018-03-01,31,31
COMARAPA,atencion de partos en servicios,cesareas,2018-03-01,7,7
CONCEPCION,atencion de partos en servicios,cesareas,2018-03-01,1,1
COROICO,atencion de partos en servicios,cesareas,2018-03-01,5,5
COTOCA,atencion de partos en servicios,cesareas,2018-03-01,23,23
CULPINA,atencion de partos en servicios,cesareas,2018-03-01,5,5
EL ALTO,atencion de partos en servicios,cesareas,2018-03-01,439,439
EL TORNO,atencion de partos en servicios,cesareas,2018-03-01,58,58
GUANAY,atencion de partos en servicios,cesareas,2018-03-01,4,4
GUAYARAMERIN,atencion de partos en servicios,cesareas,2018-03-01,38,38
HUANUNI,atencion de partos en servicios,cesareas,2018-03-01,8,8
LA PAZ,atencion de partos en servicios,cesareas,2018-03-01,727,727
LLALLAGUA,atencion de partos en servicios,cesareas,2018-03-01,6,6
MAGDALENA,atencion de partos en servicios,cesareas,2018-03-01,11,11
MAIRANA,atencion de partos en servicios,cesareas,2018-03-01,11,11
MINEROS,atencion de partos en servicios,cesareas,2018-03-01,1,1
MIZQUE,atencion de partos en servicios,cesareas,2018-03-01,4,4
MONTEAGUDO,atencion de partos en servicios,cesareas,2018-03-01,18,18
MONTERO,atencion de partos en servicios,cesareas,2018-03-01,200,200
ORURO,atencion de partos en servicios,cesareas,2018-03-01,320,320
PADILLA,atencion de partos en servicios,cesareas,2018-03-01,4,4
PAILON,atencion de partos en servicios,cesareas,2018-03-01,7,7
PORTACHUELO,atencion de partos en servicios,cesareas,2018-03-01,23,23
POTOSI,atencion de partos en servicios,cesareas,2018-03-01,181,181
PUERTO QUIJARRO,atencion de partos en servicios,cesareas,2018-03-01,9,9
PUERTO SUAREZ,atencion de partos en servicios,cesareas,2018-03-01,13,13
PUERTO VILLARROEL,atencion de partos en servicios,cesareas,2018-03-01,41,41
PUNATA,atencion de partos en servicios,cesareas,2018-03-01,35,35
QUILLACOLLO,atencion de partos en servicios,cesareas,2018-03-01,70,70
REYES,atencion de partos en servicios,cesareas,2018-03-01,2,2
RIBERALTA,atencion de partos en servicios,cesareas,2018-03-01,143,143
ROBORE,atencion de partos en servicios,cesareas,2018-03-01,14,14
RURRENABAQUE,atencion de partos en servicios,cesareas,2018-03-01,21,21
SACABA,atencion de partos en servicios,cesareas,2018-03-01,82,82
SAN BORJA,atencion de partos en servicios,cesareas,2018-03-01,28,28
SAN BUENA VENTURA,atencion de partos en servicios,cesareas,2018-03-01,3,3
SAN CARLOS,atencion de partos en servicios,cesareas,2018-03-01,6,6
SAN IGNACIO,atencion de partos en servicios,cesareas,2018-03-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en servicios,cesareas,2018-03-01,51,51
SAN JAVIER(STC),atencion de partos en servicios,cesareas,2018-03-01,9,9
SAN JOAQUIN,atencion de partos en servicios,cesareas,2018-03-01,2,2
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,cesareas,2018-03-01,21,21
SAN JULIAN,atencion de partos en servicios,cesareas,2018-03-01,5,5
SAN LUCAS,atencion de partos en servicios,cesareas,2018-03-01,5,5
SAN RAMON BENI,atencion de partos en servicios,cesareas,2018-03-01,4,4
SAN RAMON SCZ,atencion de partos en servicios,cesareas,2018-03-01,1,1
SANTA ANA,atencion de partos en servicios,cesareas,2018-03-01,15,15
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,cesareas,2018-03-01,2595,2595
SANTA ROSA,atencion de partos en servicios,cesareas,2018-03-01,1,1
SHINAOTA,atencion de partos en servicios,cesareas,2018-03-01,18,18
SUCRE,atencion de partos en servicios,cesareas,2018-03-01,237,237
TARABUCO,atencion de partos en servicios,cesareas,2018-03-01,2,2
TARIJA,atencion de partos en servicios,cesareas,2018-03-01,221,221
TARVITA,atencion de partos en servicios,cesareas,2018-03-01,1,1
TIQUIPAYA,atencion de partos en servicios,cesareas,2018-03-01,29,29
TRINIDAD,atencion de partos en servicios,cesareas,2018-03-01,144,144
TUPIZA,atencion de partos en servicios,cesareas,2018-03-01,11,11
UNCIA,atencion de partos en servicios,cesareas,2018-03-01,6,6
UYUNI,atencion de partos en servicios,cesareas,2018-03-01,3,3
