municipality,group,variable,month,Mujeres puérperas con dosis única de vitamina A,TOTAL
ACACIO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,11,11
ACHACACHI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,58,58
ACHOCALLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,20,20
AIQUILE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,32,32
ALALAY,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,7,7
ALCALA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,8,8
ALTO BENI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,9,9
ANCORAIMES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,25,25
ANDAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,2,2
ANZALDO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,16,16
APOLO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,30,30
ARAMPAMPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,5,5
ARANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,19,19
ARBIETO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,14,14
ARQUE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,40,40
ASCENCION DE GUARAYOS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,89,89
ATOCHA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,14,14
AUCAPATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,3,3
AYATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,11,11
AYO AYO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,18,18
AZURDUY,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,13,13
BATALLAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,5,5
BAURES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,3,3
BELEN DE ANDAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,1,1
BELEN DE URMIRI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,1,1
BELLA FLOR,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,2,2
BERMEJO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,2,2
BETANZOS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,39,39
BOLIVAR,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,8,8
BOYUIBE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,6,6
BUENA VISTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,20,20
CABEZAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,31,31
CAIROMA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,17,17
"CAIZA ""D""",micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,7,7
CAJUATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,17,17
CALACOTO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,3,3
CALAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,15,15
CAMARGO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,42,42
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,6,6
CAMIRI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,1,1
CAPINOTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,25,25
CAQUIAVIRI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,9,9
CARACOLLO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,24,24
CARANAVI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2011-01-01,105,105
