municipality,group,variable,month,Mujeres puérperas con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,11,11
ACHACACHI,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,58,58
ACHOCALLA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,14,14
AIQUILE,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,34,34
ALALAY,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,7,7
ALCALA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,8,8
ALTO BENI,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,13,13
ANCORAIMES,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,25,25
ANDAMARCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,2,2
ANZALDO,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,16,16
APOLO,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,30,30
ARAMPAMPA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,1,1
ARANI,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,19,19
ARBIETO,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,14,14
ARQUE,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,40,40
ASCENCION DE GUARAYOS,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,78,78
ATOCHA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,11,11
AUCAPATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,3,3
AYATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,11,11
AYO AYO,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,24,24
AZURDUY,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,20,20
BATALLAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,5,5
BAURES,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,1,1
BELEN DE ANDAMARCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,1,1
BELEN DE URMIRI,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,1,1
BELLA FLOR,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,2,2
BERMEJO,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,62,62
BETANZOS,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,23,23
BOLIVAR,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,8,8
BUENA VISTA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,16,16
CABEZAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,33,33
CAIROMA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,17,17
"CAIZA ""D""",micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,7,7
CAJUATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,17,17
CALACOTO,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,6,6
CALAMARCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,15,15
CAMARGO,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,42,42
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,6,6
CAMIRI,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,71,71
CAPINOTA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,29,29
CAQUIAVIRI,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,5,5
CARACOLLO,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,24,24
CARANAVI,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,105,105
CARAPARI,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,15,15
CARIPUYO,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,15,15
CARMEN RIVERO TORREZ,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,7,7
CATACORA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,1,1
CHACARILLA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,4,4
CHALLAPATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,1,1
CHAQUI,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,2,2
CHARAGUA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,59,59
CHARAÑA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,2,2
CHAYANTA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,25,25
CHIMORE,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,12,12
CHIPAYA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,1,1
CHOQUE COTA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,34,34
CHUMA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,6,6
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,4,4
CKOCHAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,11,11
CLIZA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,20,20
COBIJA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,113,113
COCAPATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,8,8
COCHABAMBA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,193,193
COIPASA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,2,2
COLCAPIRHUA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,11,11
"COLCHA ""K""",micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,7,7
COLLANA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,5,5
COLOMI,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,27,27
COLPA BELGICA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,4,4
COLQUECHACA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,33,33
COLQUENCHA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,14,14
COLQUIRI,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,30,30
COMANCHE,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,3,3
COMARAPA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,40,40
COMBAYA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,2,2
CONCEPCION,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,35,35
COPACABANA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,18,18
CORIPATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,15,15
CORO CORO,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,9,9
COROICO,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,27,27
CORQUE,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,2,2
COTAGAITA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,27,27
COTOCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,79,79
CUATRO CAÑADAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,18,18
CUEVO,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,4,4
CULPINA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,32,32
CURAHUARA DE CARANGAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,15,15
CURVA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,5,5
DESAGUADERO,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,5,5
EL ALTO,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,1083,1083
EL CHORO,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,5,5
EL PUENTE(STC),micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,19,19
EL PUENTE(TJA),micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,18,18
EL TORNO,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,77,77
EL VILLAR,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,4,4
ENTRE RIOS TRJ,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,36,36
ENTRE RIOS CBBA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,27,27
ESCOMA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,3,3
EUCALIPTUS,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,5,5
EUREKA (SANTOS MERCADO),micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,2,2
EXALTACION,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,3,3
FERNANDEZ ALONSO,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,12,12
FILADELFIA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,4,4
GENERAL SAAVEDRA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,15,15
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,7,7
GUANAY,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,8,8
GUAQUI,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,7,7
GUAYARAMERIN,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,64,64
GUTIERREZ,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,7,7
HUACARETA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,13,13
HUACAYA (VILLA DE HUACAYA),micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,6,6
HUANUNI,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,20,20
HUARACAJE,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,6,6
HUARINA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,10,10
HUAYLLAMARCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,6,6
HUMANATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,5,5
ICHOCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,2,2
ICLA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,19,19
INCAHUASI,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,27,27
INGAVI (HUMAITA),micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,5,5
INQUISIVI,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,15,15
IRUPANA (VILLA DE LANZA),micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,14,14
IXIAMAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,6,6
JESUS DE MACHACA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,14,14
LA ASUNTA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,49,49
LA GUARDIA,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,16,16
LA PAZ,micronutrientes,mujeres puerperas con dosis completa de hierro,2011-01-01,908,908
