municipality,group,variable,month,Mujeres embarazadas con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,9,9
ACHACACHI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,187,187
ACHOCALLA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,22,22
AIQUILE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,32,32
ALALAY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,5,5
ALCALA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,6,6
ALTO BENI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,25,25
ANCORAIMES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,27,27
ANDAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,3,3
ANTEQUERA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,3,3
ANZALDO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,16,16
APOLO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,40,40
ARAMPAMPA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,5,5
ARANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,23,23
ARBIETO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,27,27
ARQUE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,33,33
ASCENCION DE GUARAYOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,45,45
ATOCHA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,25,25
AUCAPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,5,5
AYATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,17,17
AYO AYO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,11,11
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,46,46
