municipality,group,variable,month,Viviendas Evaluadas,TOTAL
ACACIO,chagas viviendas,viviendas evaluadas,2016-01-01,560,560
AIQUILE,chagas viviendas,viviendas evaluadas,2016-01-01,142,142
ANZALDO,chagas viviendas,viviendas evaluadas,2016-01-01,30,30
ARANI,chagas viviendas,viviendas evaluadas,2016-01-01,278,278
ARBIETO,chagas viviendas,viviendas evaluadas,2016-01-01,40,40
CAMARGO,chagas viviendas,viviendas evaluadas,2016-01-01,250,250
CLIZA,chagas viviendas,viviendas evaluadas,2016-01-01,2,2
COCHABAMBA,chagas viviendas,viviendas evaluadas,2016-01-01,4,4
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas evaluadas,2016-01-01,15,15
MOJOCOYA,chagas viviendas,viviendas evaluadas,2016-01-01,210,210
PAMPA GRANDE,chagas viviendas,viviendas evaluadas,2016-01-01,17,17
POCONA,chagas viviendas,viviendas evaluadas,2016-01-01,39,39
POJO (CBBA),chagas viviendas,viviendas evaluadas,2016-01-01,432,432
POSTRER VALLE,chagas viviendas,viviendas evaluadas,2016-01-01,12,12
SACABA,chagas viviendas,viviendas evaluadas,2016-01-01,303,303
SAN BENITO,chagas viviendas,viviendas evaluadas,2016-01-01,133,133
SANTIVAÑES,chagas viviendas,viviendas evaluadas,2016-01-01,117,117
SIPE SIPE,chagas viviendas,viviendas evaluadas,2016-01-01,39,39
SOPACHUY,chagas viviendas,viviendas evaluadas,2016-01-01,50,50
TAPACARI,chagas viviendas,viviendas evaluadas,2016-01-01,82,82
TARATA,chagas viviendas,viviendas evaluadas,2016-01-01,205,205
TARIJA,chagas viviendas,viviendas evaluadas,2016-01-01,1,1
TIQUIPAYA,chagas viviendas,viviendas evaluadas,2016-01-01,285,285
TOCO,chagas viviendas,viviendas evaluadas,2016-01-01,182,182
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2016-01-01,214,214
URIONDO (A. CONCEPCION),chagas viviendas,viviendas evaluadas,2016-01-01,75,75
VALLEGRANDE,chagas viviendas,viviendas evaluadas,2016-01-01,68,68
VILLA MONTES,chagas viviendas,viviendas evaluadas,2016-01-01,396,396
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2016-01-01,232,232
ZUDAÑEZ,chagas viviendas,viviendas evaluadas,2016-01-01,317,317
ACACIO,chagas viviendas,viviendas evaluadas,2016-02-01,260,260
AIQUILE,chagas viviendas,viviendas evaluadas,2016-02-01,308,308
ALCALA,chagas viviendas,viviendas evaluadas,2016-02-01,61,61
ARANI,chagas viviendas,viviendas evaluadas,2016-02-01,286,286
ARBIETO,chagas viviendas,viviendas evaluadas,2016-02-01,52,52
ARQUE,chagas viviendas,viviendas evaluadas,2016-02-01,126,126
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas evaluadas,2016-02-01,220,220
"CAIZA ""D""",chagas viviendas,viviendas evaluadas,2016-02-01,48,48
CAPINOTA,chagas viviendas,viviendas evaluadas,2016-02-01,332,332
CLIZA,chagas viviendas,viviendas evaluadas,2016-02-01,406,406
COCHABAMBA,chagas viviendas,viviendas evaluadas,2016-02-01,402,402
CUATRO CAÑADAS,chagas viviendas,viviendas evaluadas,2016-02-01,13,13
EL PUENTE(TJA),chagas viviendas,viviendas evaluadas,2016-02-01,34,34
HUACARETA,chagas viviendas,viviendas evaluadas,2016-02-01,56,56
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas evaluadas,2016-02-01,26,26
MOJOCOYA,chagas viviendas,viviendas evaluadas,2016-02-01,248,248
MONTEAGUDO,chagas viviendas,viviendas evaluadas,2016-02-01,16,16
OCURI,chagas viviendas,viviendas evaluadas,2016-02-01,186,186
OMEREQUE,chagas viviendas,viviendas evaluadas,2016-02-01,282,282
PADILLA,chagas viviendas,viviendas evaluadas,2016-02-01,258,258
PAMPA GRANDE,chagas viviendas,viviendas evaluadas,2016-02-01,12,12
PASORAPA,chagas viviendas,viviendas evaluadas,2016-02-01,99,99
POCONA,chagas viviendas,viviendas evaluadas,2016-02-01,129,129
POJO (CBBA),chagas viviendas,viviendas evaluadas,2016-02-01,129,129
PUERTO SUAREZ,chagas viviendas,viviendas evaluadas,2016-02-01,2,2
QUILLACOLLO,chagas viviendas,viviendas evaluadas,2016-02-01,89,89
QUIRUSILLAS,chagas viviendas,viviendas evaluadas,2016-02-01,60,60
SACABA,chagas viviendas,viviendas evaluadas,2016-02-01,200,200
SAIPINA,chagas viviendas,viviendas evaluadas,2016-02-01,79,79
SAN BENITO,chagas viviendas,viviendas evaluadas,2016-02-01,158,158
SAN LORENZO(TJA),chagas viviendas,viviendas evaluadas,2016-02-01,85,85
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas evaluadas,2016-02-01,862,862
SANTIVAÑES,chagas viviendas,viviendas evaluadas,2016-02-01,154,154
SIPE SIPE,chagas viviendas,viviendas evaluadas,2016-02-01,284,284
SOPACHUY,chagas viviendas,viviendas evaluadas,2016-02-01,124,124
TACOPAYA,chagas viviendas,viviendas evaluadas,2016-02-01,28,28
TAPACARI,chagas viviendas,viviendas evaluadas,2016-02-01,95,95
TARATA,chagas viviendas,viviendas evaluadas,2016-02-01,261,261
TARIJA,chagas viviendas,viviendas evaluadas,2016-02-01,284,284
TIQUIPAYA,chagas viviendas,viviendas evaluadas,2016-02-01,285,285
TOCO,chagas viviendas,viviendas evaluadas,2016-02-01,178,178
TORO TORO,chagas viviendas,viviendas evaluadas,2016-02-01,198,198
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2016-02-01,58,58
URIONDO (A. CONCEPCION),chagas viviendas,viviendas evaluadas,2016-02-01,59,59
VALLEGRANDE,chagas viviendas,viviendas evaluadas,2016-02-01,122,122
VILLA CHARCAS,chagas viviendas,viviendas evaluadas,2016-02-01,215,215
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2016-02-01,167,167
VINTO,chagas viviendas,viviendas evaluadas,2016-02-01,201,201
ZUDAÑEZ,chagas viviendas,viviendas evaluadas,2016-02-01,141,141
ACACIO,chagas viviendas,viviendas evaluadas,2016-03-01,287,287
AIQUILE,chagas viviendas,viviendas evaluadas,2016-03-01,692,692
ALCALA,chagas viviendas,viviendas evaluadas,2016-03-01,116,116
ANZALDO,chagas viviendas,viviendas evaluadas,2016-03-01,61,61
ARAMPAMPA,chagas viviendas,viviendas evaluadas,2016-03-01,124,124
ARANI,chagas viviendas,viviendas evaluadas,2016-03-01,378,378
ARBIETO,chagas viviendas,viviendas evaluadas,2016-03-01,580,580
ARQUE,chagas viviendas,viviendas evaluadas,2016-03-01,136,136
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas evaluadas,2016-03-01,254,254
"CAIZA ""D""",chagas viviendas,viviendas evaluadas,2016-03-01,104,104
CAMARGO,chagas viviendas,viviendas evaluadas,2016-03-01,283,283
CAPINOTA,chagas viviendas,viviendas evaluadas,2016-03-01,270,270
CARAPARI,chagas viviendas,viviendas evaluadas,2016-03-01,288,288
CKOCHAS,chagas viviendas,viviendas evaluadas,2016-03-01,272,272
CLIZA,chagas viviendas,viviendas evaluadas,2016-03-01,235,235
COCHABAMBA,chagas viviendas,viviendas evaluadas,2016-03-01,632,632
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2016-03-01,129,129
COMARAPA,chagas viviendas,viviendas evaluadas,2016-03-01,148,148
COTAGAITA,chagas viviendas,viviendas evaluadas,2016-03-01,627,627
CUATRO CAÑADAS,chagas viviendas,viviendas evaluadas,2016-03-01,35,35
EL PUENTE(TJA),chagas viviendas,viviendas evaluadas,2016-03-01,164,164
ICLA,chagas viviendas,viviendas evaluadas,2016-03-01,2,2
MIZQUE,chagas viviendas,viviendas evaluadas,2016-03-01,790,790
MOJOCOYA,chagas viviendas,viviendas evaluadas,2016-03-01,366,366
MONTEAGUDO,chagas viviendas,viviendas evaluadas,2016-03-01,1,1
OCURI,chagas viviendas,viviendas evaluadas,2016-03-01,172,172
OMEREQUE,chagas viviendas,viviendas evaluadas,2016-03-01,393,393
PADCAYA,chagas viviendas,viviendas evaluadas,2016-03-01,144,144
PADILLA,chagas viviendas,viviendas evaluadas,2016-03-01,386,386
PAMPA GRANDE,chagas viviendas,viviendas evaluadas,2016-03-01,51,51
PASORAPA,chagas viviendas,viviendas evaluadas,2016-03-01,26,26
POCONA,chagas viviendas,viviendas evaluadas,2016-03-01,148,148
POJO (CBBA),chagas viviendas,viviendas evaluadas,2016-03-01,112,112
POROMA,chagas viviendas,viviendas evaluadas,2016-03-01,823,823
PUCARA,chagas viviendas,viviendas evaluadas,2016-03-01,16,16
QUILLACOLLO,chagas viviendas,viviendas evaluadas,2016-03-01,159,159
RAVELO,chagas viviendas,viviendas evaluadas,2016-03-01,135,135
SACABA,chagas viviendas,viviendas evaluadas,2016-03-01,676,676
SACABAMBA,chagas viviendas,viviendas evaluadas,2016-03-01,45,45
SAIPINA,chagas viviendas,viviendas evaluadas,2016-03-01,69,69
SAN BENITO,chagas viviendas,viviendas evaluadas,2016-03-01,289,289
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas evaluadas,2016-03-01,334,334
SICAYA,chagas viviendas,viviendas evaluadas,2016-03-01,88,88
SIPE SIPE,chagas viviendas,viviendas evaluadas,2016-03-01,207,207
SUCRE,chagas viviendas,viviendas evaluadas,2016-03-01,81,81
TACOPAYA,chagas viviendas,viviendas evaluadas,2016-03-01,18,18
TAPACARI,chagas viviendas,viviendas evaluadas,2016-03-01,128,128
TARATA,chagas viviendas,viviendas evaluadas,2016-03-01,277,277
TARIJA,chagas viviendas,viviendas evaluadas,2016-03-01,340,340
TIQUIPAYA,chagas viviendas,viviendas evaluadas,2016-03-01,35,35
TOLATA,chagas viviendas,viviendas evaluadas,2016-03-01,230,230
TOMAVE,chagas viviendas,viviendas evaluadas,2016-03-01,114,114
TORO TORO,chagas viviendas,viviendas evaluadas,2016-03-01,224,224
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2016-03-01,283,283
TUPIZA,chagas viviendas,viviendas evaluadas,2016-03-01,344,344
URIONDO (A. CONCEPCION),chagas viviendas,viviendas evaluadas,2016-03-01,173,173
VALLEGRANDE,chagas viviendas,viviendas evaluadas,2016-03-01,155,155
VILLA CHARCAS,chagas viviendas,viviendas evaluadas,2016-03-01,346,346
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2016-03-01,271,271
ZUDAÑEZ,chagas viviendas,viviendas evaluadas,2016-03-01,272,272
ACACIO,chagas viviendas,viviendas evaluadas,2016-04-01,360,360
