municipality,group,variable,month,Viviendas Roceadas,TOTAL
AIQUILE,chagas viviendas,viviendas roceadas,2016-01-01,9,9
ARANI,chagas viviendas,viviendas roceadas,2016-01-01,5,5
ARBIETO,chagas viviendas,viviendas roceadas,2016-01-01,46,46
CAMARGO,chagas viviendas,viviendas roceadas,2016-01-01,7,7
CLIZA,chagas viviendas,viviendas roceadas,2016-01-01,2,2
COCHABAMBA,chagas viviendas,viviendas roceadas,2016-01-01,28,28
COTAGAITA,chagas viviendas,viviendas roceadas,2016-01-01,1,1
MOJOCOYA,chagas viviendas,viviendas roceadas,2016-01-01,5,5
OMEREQUE,chagas viviendas,viviendas roceadas,2016-01-01,5,5
PADCAYA,chagas viviendas,viviendas roceadas,2016-01-01,4,4
POJO (CBBA),chagas viviendas,viviendas roceadas,2016-01-01,44,44
SACABA,chagas viviendas,viviendas roceadas,2016-01-01,24,24
SANTIVAÑES,chagas viviendas,viviendas roceadas,2016-01-01,18,18
SIPE SIPE,chagas viviendas,viviendas roceadas,2016-01-01,25,25
TOCO,chagas viviendas,viviendas roceadas,2016-01-01,1,1
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2016-01-01,13,13
VALLEGRANDE,chagas viviendas,viviendas roceadas,2016-01-01,5,5
VILLA MONTES,chagas viviendas,viviendas roceadas,2016-01-01,14,14
VILLA SERRANO,chagas viviendas,viviendas roceadas,2016-01-01,7,7
ZUDAÑEZ,chagas viviendas,viviendas roceadas,2016-01-01,11,11
ARANI,chagas viviendas,viviendas roceadas,2016-02-01,5,5
ARBIETO,chagas viviendas,viviendas roceadas,2016-02-01,52,52
ARQUE,chagas viviendas,viviendas roceadas,2016-02-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas roceadas,2016-02-01,44,44
CAPINOTA,chagas viviendas,viviendas roceadas,2016-02-01,18,18
CLIZA,chagas viviendas,viviendas roceadas,2016-02-01,2,2
COCHABAMBA,chagas viviendas,viviendas roceadas,2016-02-01,21,21
CUATRO CAÑADAS,chagas viviendas,viviendas roceadas,2016-02-01,13,13
