municipality,group,variable,month,Viviendas Positivas,TOTAL
ARANI,chagas viviendas,viviendas positivas,2016-01-01,2,2
ARBIETO,chagas viviendas,viviendas positivas,2016-01-01,46,46
CAMARGO,chagas viviendas,viviendas positivas,2016-01-01,2,2
CLIZA,chagas viviendas,viviendas positivas,2016-01-01,1,1
COCHABAMBA,chagas viviendas,viviendas positivas,2016-01-01,1,1
COTAGAITA,chagas viviendas,viviendas positivas,2016-01-01,1,1
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas positivas,2016-01-01,4,4
MOJOCOYA,chagas viviendas,viviendas positivas,2016-01-01,5,5
POJO (CBBA),chagas viviendas,viviendas positivas,2016-01-01,42,42
SACABA,chagas viviendas,viviendas positivas,2016-01-01,5,5
SANTIVAÑES,chagas viviendas,viviendas positivas,2016-01-01,1,1
TINGUIPAYA,chagas viviendas,viviendas positivas,2016-01-01,2,2
TOCO,chagas viviendas,viviendas positivas,2016-01-01,1,1
VILLA MONTES,chagas viviendas,viviendas positivas,2016-01-01,21,21
ZUDAÑEZ,chagas viviendas,viviendas positivas,2016-01-01,1,1
AIQUILE,chagas viviendas,viviendas positivas,2016-02-01,3,3
ARANI,chagas viviendas,viviendas positivas,2016-02-01,3,3
ARBIETO,chagas viviendas,viviendas positivas,2016-02-01,52,52
ARQUE,chagas viviendas,viviendas positivas,2016-02-01,11,11
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas positivas,2016-02-01,44,44
"CAIZA ""D""",chagas viviendas,viviendas positivas,2016-02-01,1,1
CAPINOTA,chagas viviendas,viviendas positivas,2016-02-01,10,10
CLIZA,chagas viviendas,viviendas positivas,2016-02-01,2,2
COCHABAMBA,chagas viviendas,viviendas positivas,2016-02-01,3,3
CUATRO CAÑADAS,chagas viviendas,viviendas positivas,2016-02-01,2,2
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas positivas,2016-02-01,8,8
MOJOCOYA,chagas viviendas,viviendas positivas,2016-02-01,3,3
MONTEAGUDO,chagas viviendas,viviendas positivas,2016-02-01,4,4
OMEREQUE,chagas viviendas,viviendas positivas,2016-02-01,3,3
PADILLA,chagas viviendas,viviendas positivas,2016-02-01,5,5
PASORAPA,chagas viviendas,viviendas positivas,2016-02-01,1,1
QUILLACOLLO,chagas viviendas,viviendas positivas,2016-02-01,14,14
SACABA,chagas viviendas,viviendas positivas,2016-02-01,2,2
SAIPINA,chagas viviendas,viviendas positivas,2016-02-01,2,2
SAN BENITO,chagas viviendas,viviendas positivas,2016-02-01,2,2
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas positivas,2016-02-01,8,8
SIPE SIPE,chagas viviendas,viviendas positivas,2016-02-01,7,7
TARIJA,chagas viviendas,viviendas positivas,2016-02-01,4,4
TOTORA(CBBA),chagas viviendas,viviendas positivas,2016-02-01,2,2
TUPIZA,chagas viviendas,viviendas positivas,2016-02-01,1,1
VALLEGRANDE,chagas viviendas,viviendas positivas,2016-02-01,1,1
VILLA CHARCAS,chagas viviendas,viviendas positivas,2016-02-01,5,5
VILLA RIVERO,chagas viviendas,viviendas positivas,2016-02-01,3,3
VINTO,chagas viviendas,viviendas positivas,2016-02-01,1,1
YUNCHARA,chagas viviendas,viviendas positivas,2016-02-01,1,1
AIQUILE,chagas viviendas,viviendas positivas,2016-03-01,49,49
ANZALDO,chagas viviendas,viviendas positivas,2016-03-01,1,1
ARANI,chagas viviendas,viviendas positivas,2016-03-01,2,2
ARBIETO,chagas viviendas,viviendas positivas,2016-03-01,4,4
ARQUE,chagas viviendas,viviendas positivas,2016-03-01,10,10
"CAIZA ""D""",chagas viviendas,viviendas positivas,2016-03-01,5,5
CAMARGO,chagas viviendas,viviendas positivas,2016-03-01,4,4
CAPINOTA,chagas viviendas,viviendas positivas,2016-03-01,12,12
CARAPARI,chagas viviendas,viviendas positivas,2016-03-01,7,7
CLIZA,chagas viviendas,viviendas positivas,2016-03-01,3,3
COCHABAMBA,chagas viviendas,viviendas positivas,2016-03-01,15,15
COLCAPIRHUA,chagas viviendas,viviendas positivas,2016-03-01,3,3
COMARAPA,chagas viviendas,viviendas positivas,2016-03-01,37,37
COTAGAITA,chagas viviendas,viviendas positivas,2016-03-01,5,5
MIZQUE,chagas viviendas,viviendas positivas,2016-03-01,28,28
MOJOCOYA,chagas viviendas,viviendas positivas,2016-03-01,2,2
OMEREQUE,chagas viviendas,viviendas positivas,2016-03-01,7,7
PADILLA,chagas viviendas,viviendas positivas,2016-03-01,7,7
PASORAPA,chagas viviendas,viviendas positivas,2016-03-01,1,1
POCONA,chagas viviendas,viviendas positivas,2016-03-01,1,1
POJO (CBBA),chagas viviendas,viviendas positivas,2016-03-01,4,4
POROMA,chagas viviendas,viviendas positivas,2016-03-01,26,26
PUCARA,chagas viviendas,viviendas positivas,2016-03-01,1,1
QUILLACOLLO,chagas viviendas,viviendas positivas,2016-03-01,11,11
SACABA,chagas viviendas,viviendas positivas,2016-03-01,4,4
SAIPINA,chagas viviendas,viviendas positivas,2016-03-01,3,3
SAN BENITO,chagas viviendas,viviendas positivas,2016-03-01,9,9
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas positivas,2016-03-01,1,1
SICAYA,chagas viviendas,viviendas positivas,2016-03-01,4,4
SUCRE,chagas viviendas,viviendas positivas,2016-03-01,15,15
TAPACARI,chagas viviendas,viviendas positivas,2016-03-01,4,4
TARATA,chagas viviendas,viviendas positivas,2016-03-01,1,1
TARIJA,chagas viviendas,viviendas positivas,2016-03-01,3,3
TINGUIPAYA,chagas viviendas,viviendas positivas,2016-03-01,3,3
TIQUIPAYA,chagas viviendas,viviendas positivas,2016-03-01,1,1
TOMAVE,chagas viviendas,viviendas positivas,2016-03-01,1,1
TORO TORO,chagas viviendas,viviendas positivas,2016-03-01,2,2
TOTORA(CBBA),chagas viviendas,viviendas positivas,2016-03-01,1,1
VALLEGRANDE,chagas viviendas,viviendas positivas,2016-03-01,6,6
VILLA RIVERO,chagas viviendas,viviendas positivas,2016-03-01,1,1
AIQUILE,chagas viviendas,viviendas positivas,2016-04-01,48,48
ANZALDO,chagas viviendas,viviendas positivas,2016-04-01,4,4
ARAMPAMPA,chagas viviendas,viviendas positivas,2016-04-01,1,1
ARANI,chagas viviendas,viviendas positivas,2016-04-01,3,3
ARBIETO,chagas viviendas,viviendas positivas,2016-04-01,3,3
ARQUE,chagas viviendas,viviendas positivas,2016-04-01,15,15
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas positivas,2016-04-01,2,2
"CAIZA ""D""",chagas viviendas,viviendas positivas,2016-04-01,13,13
CAMARGO,chagas viviendas,viviendas positivas,2016-04-01,3,3
CAPINOTA,chagas viviendas,viviendas positivas,2016-04-01,18,18
CARAPARI,chagas viviendas,viviendas positivas,2016-04-01,16,16
CKOCHAS,chagas viviendas,viviendas positivas,2016-04-01,1,1
COCHABAMBA,chagas viviendas,viviendas positivas,2016-04-01,6,6
COLCAPIRHUA,chagas viviendas,viviendas positivas,2016-04-01,6,6
COMARAPA,chagas viviendas,viviendas positivas,2016-04-01,125,125
COTAGAITA,chagas viviendas,viviendas positivas,2016-04-01,11,11
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas positivas,2016-04-01,3,3
GUTIERREZ,chagas viviendas,viviendas positivas,2016-04-01,18,18
MIZQUE,chagas viviendas,viviendas positivas,2016-04-01,29,29
MONTEAGUDO,chagas viviendas,viviendas positivas,2016-04-01,160,160
MOROCHATA,chagas viviendas,viviendas positivas,2016-04-01,8,8
OCURI,chagas viviendas,viviendas positivas,2016-04-01,3,3
OMEREQUE,chagas viviendas,viviendas positivas,2016-04-01,6,6
PADILLA,chagas viviendas,viviendas positivas,2016-04-01,4,4
POCOATA,chagas viviendas,viviendas positivas,2016-04-01,6,6
POCONA,chagas viviendas,viviendas positivas,2016-04-01,1,1
POJO (CBBA),chagas viviendas,viviendas positivas,2016-04-01,4,4
PRESTO,chagas viviendas,viviendas positivas,2016-04-01,2,2
PUCARA,chagas viviendas,viviendas positivas,2016-04-01,1,1
PUNA,chagas viviendas,viviendas positivas,2016-04-01,23,23
PUNATA,chagas viviendas,viviendas positivas,2016-04-01,7,7
QUILLACOLLO,chagas viviendas,viviendas positivas,2016-04-01,3,3
RAVELO,chagas viviendas,viviendas positivas,2016-04-01,5,5
SACABA,chagas viviendas,viviendas positivas,2016-04-01,5,5
SAIPINA,chagas viviendas,viviendas positivas,2016-04-01,5,5
SAN BENITO,chagas viviendas,viviendas positivas,2016-04-01,1,1
SAN LUCAS,chagas viviendas,viviendas positivas,2016-04-01,2,2
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas positivas,2016-04-01,3,3
SICAYA,chagas viviendas,viviendas positivas,2016-04-01,1,1
SUCRE,chagas viviendas,viviendas positivas,2016-04-01,18,18
TAPACARI,chagas viviendas,viviendas positivas,2016-04-01,1,1
TARIJA,chagas viviendas,viviendas positivas,2016-04-01,6,6
TINGUIPAYA,chagas viviendas,viviendas positivas,2016-04-01,4,4
TOLATA,chagas viviendas,viviendas positivas,2016-04-01,3,3
TOMAVE,chagas viviendas,viviendas positivas,2016-04-01,2,2
TOMINA,chagas viviendas,viviendas positivas,2016-04-01,2,2
TORO TORO,chagas viviendas,viviendas positivas,2016-04-01,4,4
TOTORA(CBBA),chagas viviendas,viviendas positivas,2016-04-01,1,1
TUPIZA,chagas viviendas,viviendas positivas,2016-04-01,36,36
URIONDO (A. CONCEPCION),chagas viviendas,viviendas positivas,2016-04-01,3,3
VALLEGRANDE,chagas viviendas,viviendas positivas,2016-04-01,13,13
VILLA MONTES,chagas viviendas,viviendas positivas,2016-04-01,32,32
VILLA RIVERO,chagas viviendas,viviendas positivas,2016-04-01,1,1
VILLA SERRANO,chagas viviendas,viviendas positivas,2016-04-01,10,10
VINTO,chagas viviendas,viviendas positivas,2016-04-01,4,4
VITICHI,chagas viviendas,viviendas positivas,2016-04-01,18,18
YAMPARAEZ,chagas viviendas,viviendas positivas,2016-04-01,2,2
YOTALA,chagas viviendas,viviendas positivas,2016-04-01,4,4
ACACIO,chagas viviendas,viviendas positivas,2016-05-01,3,3
AIQUILE,chagas viviendas,viviendas positivas,2016-05-01,35,35
ALCALA,chagas viviendas,viviendas positivas,2016-05-01,3,3
ARAMPAMPA,chagas viviendas,viviendas positivas,2016-05-01,1,1
ARANI,chagas viviendas,viviendas positivas,2016-05-01,2,2
ARBIETO,chagas viviendas,viviendas positivas,2016-05-01,9,9
ARQUE,chagas viviendas,viviendas positivas,2016-05-01,12,12
"CAIZA ""D""",chagas viviendas,viviendas positivas,2016-05-01,2,2
CAMARGO,chagas viviendas,viviendas positivas,2016-05-01,3,3
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas positivas,2016-05-01,4,4
CAPINOTA,chagas viviendas,viviendas positivas,2016-05-01,10,10
CARAPARI,chagas viviendas,viviendas positivas,2016-05-01,29,29
CHARAGUA,chagas viviendas,viviendas positivas,2016-05-01,49,49
CKOCHAS,chagas viviendas,viviendas positivas,2016-05-01,2,2
COCHABAMBA,chagas viviendas,viviendas positivas,2016-05-01,2,2
COLCAPIRHUA,chagas viviendas,viviendas positivas,2016-05-01,5,5
COMARAPA,chagas viviendas,viviendas positivas,2016-05-01,6,6
COTAGAITA,chagas viviendas,viviendas positivas,2016-05-01,4,4
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas positivas,2016-05-01,2,2
CULPINA,chagas viviendas,viviendas positivas,2016-05-01,33,33
EL PUENTE(TJA),chagas viviendas,viviendas positivas,2016-05-01,1,1
MAIRANA,chagas viviendas,viviendas positivas,2016-05-01,5,5
MINEROS,chagas viviendas,viviendas positivas,2016-05-01,1,1
MOJOCOYA,chagas viviendas,viviendas positivas,2016-05-01,10,10
MONTEAGUDO,chagas viviendas,viviendas positivas,2016-05-01,45,45
MOROCHATA,chagas viviendas,viviendas positivas,2016-05-01,5,5
OMEREQUE,chagas viviendas,viviendas positivas,2016-05-01,16,16
PAMPA GRANDE,chagas viviendas,viviendas positivas,2016-05-01,1,1
PASORAPA,chagas viviendas,viviendas positivas,2016-05-01,2,2
POCOATA,chagas viviendas,viviendas positivas,2016-05-01,5,5
POJO (CBBA),chagas viviendas,viviendas positivas,2016-05-01,15,15
PRESTO,chagas viviendas,viviendas positivas,2016-05-01,5,5
PUNA,chagas viviendas,viviendas positivas,2016-05-01,38,38
PUNATA,chagas viviendas,viviendas positivas,2016-05-01,9,9
QUILLACOLLO,chagas viviendas,viviendas positivas,2016-05-01,1,1
RAVELO,chagas viviendas,viviendas positivas,2016-05-01,5,5
SACABA,chagas viviendas,viviendas positivas,2016-05-01,9,9
SAIPINA,chagas viviendas,viviendas positivas,2016-05-01,9,9
SAN BENITO,chagas viviendas,viviendas positivas,2016-05-01,2,2
SAN LORENZO(TJA),chagas viviendas,viviendas positivas,2016-05-01,1,1
SANTIVAÑES,chagas viviendas,viviendas positivas,2016-05-01,28,28
SAPAHAQUI,chagas viviendas,viviendas positivas,2016-05-01,24,24
SICAYA,chagas viviendas,viviendas positivas,2016-05-01,5,5
SUCRE,chagas viviendas,viviendas positivas,2016-05-01,77,77
TAPACARI,chagas viviendas,viviendas positivas,2016-05-01,1,1
TARABUCO,chagas viviendas,viviendas positivas,2016-05-01,7,7
TARIJA,chagas viviendas,viviendas positivas,2016-05-01,18,18
TOCO,chagas viviendas,viviendas positivas,2016-05-01,1,1
TOMAVE,chagas viviendas,viviendas positivas,2016-05-01,2,2
TOMINA,chagas viviendas,viviendas positivas,2016-05-01,12,12
TORO TORO,chagas viviendas,viviendas positivas,2016-05-01,8,8
TOTORA(CBBA),chagas viviendas,viviendas positivas,2016-05-01,1,1
TUPIZA,chagas viviendas,viviendas positivas,2016-05-01,6,6
VALLEGRANDE,chagas viviendas,viviendas positivas,2016-05-01,17,17
VILLA CHARCAS,chagas viviendas,viviendas positivas,2016-05-01,5,5
VILLA MONTES,chagas viviendas,viviendas positivas,2016-05-01,12,12
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,viviendas positivas,2016-05-01,6,6
VINTO,chagas viviendas,viviendas positivas,2016-05-01,1,1
YACUIBA,chagas viviendas,viviendas positivas,2016-05-01,14,14
YOTALA,chagas viviendas,viviendas positivas,2016-05-01,15,15
ZUDAÑEZ,chagas viviendas,viviendas positivas,2016-05-01,5,5
ACACIO,chagas viviendas,viviendas positivas,2016-06-01,3,3
AIQUILE,chagas viviendas,viviendas positivas,2016-06-01,30,30
ALCALA,chagas viviendas,viviendas positivas,2016-06-01,1,1
ANZALDO,chagas viviendas,viviendas positivas,2016-06-01,1,1
ARAMPAMPA,chagas viviendas,viviendas positivas,2016-06-01,2,2
ARBIETO,chagas viviendas,viviendas positivas,2016-06-01,10,10
ARQUE,chagas viviendas,viviendas positivas,2016-06-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas positivas,2016-06-01,2,2
BETANZOS,chagas viviendas,viviendas positivas,2016-06-01,6,6
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas positivas,2016-06-01,6,6
CAPINOTA,chagas viviendas,viviendas positivas,2016-06-01,8,8
CARAPARI,chagas viviendas,viviendas positivas,2016-06-01,26,26
CHAQUI,chagas viviendas,viviendas positivas,2016-06-01,4,4
CHARAGUA,chagas viviendas,viviendas positivas,2016-06-01,15,15
CKOCHAS,chagas viviendas,viviendas positivas,2016-06-01,11,11
COCHABAMBA,chagas viviendas,viviendas positivas,2016-06-01,8,8
COLCAPIRHUA,chagas viviendas,viviendas positivas,2016-06-01,4,4
COLQUECHACA,chagas viviendas,viviendas positivas,2016-06-01,2,2
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas positivas,2016-06-01,1,1
EL PUENTE(TJA),chagas viviendas,viviendas positivas,2016-06-01,1,1
ENTRE RIOS TRJ,chagas viviendas,viviendas positivas,2016-06-01,6,6
GUTIERREZ,chagas viviendas,viviendas positivas,2016-06-01,119,119
HUACARETA,chagas viviendas,viviendas positivas,2016-06-01,5,5
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas positivas,2016-06-01,5,5
ICLA,chagas viviendas,viviendas positivas,2016-06-01,1,1
INCAHUASI,chagas viviendas,viviendas positivas,2016-06-01,3,3
LURIBAY,chagas viviendas,viviendas positivas,2016-06-01,20,20
MIZQUE,chagas viviendas,viviendas positivas,2016-06-01,14,14
MOJOCOYA,chagas viviendas,viviendas positivas,2016-06-01,18,18
MONTEAGUDO,chagas viviendas,viviendas positivas,2016-06-01,44,44
MORO MORO,chagas viviendas,viviendas positivas,2016-06-01,7,7
OMEREQUE,chagas viviendas,viviendas positivas,2016-06-01,6,6
PADCAYA,chagas viviendas,viviendas positivas,2016-06-01,1,1
PADILLA,chagas viviendas,viviendas positivas,2016-06-01,5,5
POCONA,chagas viviendas,viviendas positivas,2016-06-01,1,1
POJO (CBBA),chagas viviendas,viviendas positivas,2016-06-01,9,9
POROMA,chagas viviendas,viviendas positivas,2016-06-01,3,3
PUNATA,chagas viviendas,viviendas positivas,2016-06-01,10,10
QUILLACOLLO,chagas viviendas,viviendas positivas,2016-06-01,28,28
RAVELO,chagas viviendas,viviendas positivas,2016-06-01,5,5
SACABA,chagas viviendas,viviendas positivas,2016-06-01,5,5
SAIPINA,chagas viviendas,viviendas positivas,2016-06-01,6,6
SAN BENITO,chagas viviendas,viviendas positivas,2016-06-01,1,1
SAN LORENZO(TJA),chagas viviendas,viviendas positivas,2016-06-01,4,4
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas positivas,2016-06-01,20,20
SANTIVAÑES,chagas viviendas,viviendas positivas,2016-06-01,32,32
SAPAHAQUI,chagas viviendas,viviendas positivas,2016-06-01,4,4
SIPE SIPE,chagas viviendas,viviendas positivas,2016-06-01,4,4
TACACHI,chagas viviendas,viviendas positivas,2016-06-01,3,3
TAPACARI,chagas viviendas,viviendas positivas,2016-06-01,1,1
TARABUCO,chagas viviendas,viviendas positivas,2016-06-01,12,12
TARATA,chagas viviendas,viviendas positivas,2016-06-01,2,2
TARIJA,chagas viviendas,viviendas positivas,2016-06-01,8,8
TARVITA,chagas viviendas,viviendas positivas,2016-06-01,1,1
TOCO,chagas viviendas,viviendas positivas,2016-06-01,1,1
