municipality,group,variable,month,Niñas(os) de 6 meses con lactancia materna exclusiva,TOTAL
ACACIO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,5,5
ACHACACHI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,12,12
ACHOCALLA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,13,13
AIQUILE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,21,21
ALALAY,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,2,2
ALCALA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,2,2
ALTO BENI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,4,4
ANCORAIMES,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,5,5
ANDAMARCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,2,2
ANTEQUERA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,1,1
ANZALDO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,7,7
APOLO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,14,14
ARAMPAMPA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,6,6
ARANI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,5,5
ARBIETO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,1,1
ARQUE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,9,9
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,5,5
ATOCHA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,8,8
AYATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,17,17
AZURDUY,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,3,3
BATALLAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,5,5
BAURES,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,1,1
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,3,3
BELLA FLOR,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,3,3
BERMEJO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,7,7
BETANZOS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,43,43
BOLIVAR,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,6,6
BOYUIBE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,3,3
BUENA VISTA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,23,23
CABEZAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,12,12
CAIROMA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,17,17
"CAIZA ""D""",micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,11,11
CALACOTO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,1,1
CALAMARCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,7,7
CAMARGO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,8,8
CAMIRI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,27,27
CAPINOTA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,27,27
CARACOLLO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,28,28
CARANAVI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,23,23
CARAPARI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,12,12
CARIPUYO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,3,3
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,5,5
CHACARILLA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,1,1
CHALLAPATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,49,49
CHAQUI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,9,9
CHARAÑA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,1,1
CHAYANTA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,18,18
CHIMORE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,10,10
CHIPAYA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,2,2
CHOQUE COTA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,3,3
CHUMA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,9,9
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,4,4
CKOCHAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,19,19
CLIZA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,16,16
COBIJA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,36,36
COCAPATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,13,13
COCHABAMBA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,132,132
COLCAPIRHUA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,6,6
"COLCHA ""K""",micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,10,10
COLLANA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,1,1
COLOMI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,7,7
COLQUECHACA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,23,23
COLQUENCHA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,12,12
COLQUIRI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,8,8
COMARAPA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,16,16
CONCEPCION,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,27,27
COPACABANA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,2,2
CORIPATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,5,5
CORO CORO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,4,4
COROICO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,4,4
CORQUE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,4,4
COTAGAITA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,20,20
COTOCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,29,29
CRUZ DE MACHACAMARCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,1,1
CUATRO CAÑADAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,18,18
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,1,1
CUEVO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,2,2
CULPINA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,22,22
CURAHUARA DE CARANGAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,2,2
CURVA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,2,2
DESAGUADERO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,4,4
EL ALTO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,517,517
EL CHORO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,2,2
EL PUENTE(STC),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,9,9
EL PUENTE(TJA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,10,10
EL TORNO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,21,21
EL VILLAR,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,5,5
ENTRE RIOS TRJ,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,14,14
ENTRE RIOS CBBA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,18,18
ESCOMA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,4,4
EUCALIPTUS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,5,5
EUREKA (SANTOS MERCADO),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,1,1
FERNANDEZ ALONSO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,10,10
FILADELFIA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,8,8
GENERAL SAAVEDRA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,4,4
GUANAY,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,14,14
GUAYARAMERIN,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,31,31
GUTIERREZ,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,8,8
HUANUNI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,32,32
HUATAJATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,2,2
HUAYLLAMARCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,5,5
HUMANATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,1,1
ICLA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,9,9
INCAHUASI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,13,13
INGAVI (HUMAITA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,1,1
INQUISIVI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,10,10
IRUPANA (VILLA DE LANZA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,2,2
IXIAMAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,6,6
JESUS DE MACHACA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,6,6
LA ASUNTA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,28,28
LA GUARDIA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,180,180
LA PAZ,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,391,391
LAGUNILLAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,15,15
LAJA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,6,6
LAS CARRERAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,6,6
LLALLAGUA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,61,61
LLICA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,1,1
LORETO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,3,3
LURIBAY,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,8,8
MACHACAMARCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,4,4
MACHARETI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,3,3
MAGDALENA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,9,9
MALLA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,6,6
MAPIRI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,11,11
MINEROS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,14,14
MIZQUE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,7,7
MOCOMOCO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,16,16
MOJOCOYA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,7,7
MONTEAGUDO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,20,20
MONTERO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,74,74
MOROCHATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,3,3
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,2,2
NAZACARA DE PACAJES,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,1,1
OCURI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,11,11
OKINAWA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,3,3
OMEREQUE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,1,1
ORURO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,299,299
PADCAYA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,5,5
PADILLA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,11,11
PAILON,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,14,14
PALCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,7,7
PALOS BLANCOS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,5,5
PAMPA AULLAGAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,2,2
PAMPA GRANDE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,7,7
PAPEL PAMPA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,8,8
PASORAPA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,1,1
PATACAMAYA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,13,13
PAZÑA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,3,3
POCOATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,30,30
POCONA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,10,10
POJO (CBBA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,9,9
POOPO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,7,7
PORCO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,16,16
POROMA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,15,15
PORONGO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,13,13
PORTACHUELO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,16,16
PORVENIR,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,8,8
POTOSI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2021-01-01,174,174
